record_id,district_code,latitude,longitude,field_id,area_m2,crop_name,crop_type,season,agro_climatic_zone,N,P,K,ph,organic_carbon,soil_texture,soil_moisture_pct,groundwater_depth_m,avg_rainfall_mm,rainfall_mm,rainfall_30d_mm,rainfall_60d_mm,rainfall,avg_temp_c,temperature,humidity,et0_mm,kc_value,ndvi_mean,ndvi_max,ndvi_trend,ndvi_t1,ndvi_t2,ndvi_t3,ndvi_t4,ndvi_t5,ndvi_t6,evi_t1,evi_t2,ndwi_t1,ndwi_t2,sowing_day_of_year,growth_stage,irrigation_method,recommended_crop,yield_kg,water_required_m3,season_target,ndvi_seq_mean,ndvi_seq_std,ndvi_seq_slope
15,AP050,19.0,85.04,FLD00015,18760,Rice,Cereal,Kharif,Humid,313.0,43.0,200.0,6.3,0.54,3.0,27,6.4,1854,1721,537,1084,1534.0,26.5,26.5,76.0,5.2,1.12,0.6,0.68,0.024,0.54,0.54,0.55,0.62,0.68,0.66,0.47,0.47,0.34,0.3,146,1.0,0.0,Rice,5008.0,0.0,Kharif,0.5983333333333334,0.05785518319236593,0.03114285714285716
16,MP035,25.07,87.07,FLD00016,18692,Rice,Cereal,Kharif,Sub-Humid,319.0,47.0,198.0,6.8,0.63,1.0,20,9.9,1192,1055,380,667,899.0,28.4,28.4,76.0,5.2,1.12,0.6,0.68,0.018,0.55,0.56,0.55,0.62,0.68,0.64,0.46,0.47,0.3,0.29,159,12.0,1.0,Rice,4326.0,0.0,Kharif,0.6000000000000001,0.04999999999999999,0.02514285714285712
17,MH048,29.22,91.7,FLD00017,12705,Rice,Cereal,Kharif,Mountain,318.0,29.0,214.0,6.2,0.53,0.0,21,13.0,1912,1510,457,952,1353.0,17.3,17.3,66.0,6.0,1.12,0.6,0.68,0.024,0.56,0.53,0.58,0.64,0.63,0.68,0.49,0.44,0.26,0.3,158,13.0,2.0,Rice,3141.0,0.0,Kharif,0.6033333333333334,0.05120763831912405,0.027428571428571424
18,HR045,17.93,84.3,FLD00018,6245,Rice,Cereal,Kharif,Humid,242.0,31.0,208.0,7.5,0.79,4.0,38,8.9,1911,1636,653,1004,1407.0,27.6,27.6,82.0,5.0,1.12,0.61,0.69,0.028,0.55,0.57,0.58,0.62,0.67,0.69,0.46,0.5,0.31,0.3,153,9.0,1.0,Rice,1577.0,0.0,Kharif,0.6133333333333334,0.05185449728701348,0.02971428571428567
19,GJ018,11.76,85.53,FLD00019,18610,Rice,Cereal,Kharif,Coastal,295.0,35.0,229.0,6.9,0.82,3.0,20,9.0,1465,1152,382,875,1043.0,29.0,29.0,74.0,6.3,1.12,0.61,0.67,0.02,0.57,0.52,0.59,0.63,0.67,0.67,0.49,0.44,0.33,0.28,162,8.0,0.0,Rice,4608.0,0.0,Kharif,0.6083333333333333,0.05428832491634112,0.028285714285714286
20,PB034,16.12,81.63,FLD00020,12753,Rice,Cereal,Kharif,Semi-Arid,268.0,41.0,240.0,6.5,0.84,3.0,29,12.0,561,501,174,375,462.0,31.8,31.8,58.0,6.0,1.12,0.59,0.64,0.018,0.55,0.57,0.57,0.61,0.63,0.64,0.46,0.47,0.26,0.3,146,13.0,0.0,Rice,2784.0,0.0,Kharif,0.595,0.03354101966249685,0.019142857142857107
21,RJ007,21.07,83.95,FLD00021,7068,Rice,Cereal,Kharif,Arid,183.0,46.0,206.0,6.7,0.71,6.0,21,17.5,470,397,168,270,343.0,30.4,30.4,47.0,5.9,1.12,0.6,0.67,0.03,0.52,0.53,0.58,0.62,0.66,0.67,0.45,0.45,0.36,0.29,141,7.0,1.0,Rice,1740.0,0.0,Kharif,0.5966666666666667,0.05849976258261415,0.03371428571428572
22,GJ049,21.37,71.2,FLD00022,17125,Rice,Cereal,Kharif,Sub-Humid,233.0,48.0,197.0,6.3,0.54,6.0,25,10.8,930,697,256,500,641.0,27.9,27.9,72.0,5.3,1.12,0.6,0.68,0.032,0.52,0.53,0.56,0.65,0.66,0.68,0.43,0.44,0.29,0.28,162,4.0,1.0,Rice,4189.0,0.0,Kharif,0.6000000000000001,0.06506407098647712,0.036571428571428595
23,HR019,11.19,85.85,FLD00023,14749,Rice,Cereal,Kharif,Arid,292.0,31.0,229.0,7.2,0.84,3.0,36,20.4,362,277,84,190,262.0,31.9,31.9,48.0,5.4,1.12,0.6,0.67,0.018,0.57,0.56,0.56,0.6,0.67,0.66,0.49,0.49,0.27,0.31,142,16.0,1.0,Rice,3880.0,0.0,Kharif,0.6033333333333334,0.045704364002673636,0.023428571428571382
24,GJ011,19.4,78.17,FLD00024,10260,Rice,Cereal,Kharif,Arid,264.0,41.0,233.0,6.4,0.95,2.0,37,15.4,272,221,77,175,207.0,32.4,32.4,55.0,5.8,1.12,0.6,0.67,0.026,0.54,0.53,0.56,0.64,0.66,0.67,0.45,0.45,0.35,0.31,140,4.0,1.0,Rice,3230.0,0.0,Kharif,0.6,0.05802298395176403,0.032000000000000015
25,KA020,29.46,82.18,FLD00025,8920,Rice,Cereal,Kharif,Arid,183.0,45.0,222.0,6.0,0.98,4.0,34,24.5,415,380,142,282,360.0,33.1,33.1,52.0,5.4,1.12,0.59,0.67,0.02,0.54,0.52,0.55,0.63,0.67,0.64,0.45,0.45,0.35,0.3,166,2.0,1.0,Rice,1950.0,0.0,Kharif,0.5916666666666667,0.05698440332426253,0.029428571428571408
26,HR043,15.66,75.97,FLD00026,14616,Rice,Cereal,Kharif,Arid,305.0,32.0,227.0,6.9,0.67,5.0,37,18.8,488,397,130,293,339.0,33.4,33.4,51.0,5.4,1.12,0.61,0.69,0.028,0.55,0.56,0.57,0.64,0.67,0.69,0.47,0.46,0.31,0.31,164,0.0,0.0,Rice,3692.0,0.0,Kharif,0.6133333333333334,0.05557777333511021,0.031428571428571396
27,KA027,11.99,88.21,FLD00027,5251,Rice,Cereal,Kharif,Humid,219.0,30.0,230.0,7.4,0.63,5.0,32,8.2,2944,2401,963,1696,2250.0,28.8,28.8,82.0,5.9,1.12,0.59,0.64,0.016,0.55,0.53,0.58,0.61,0.64,0.63,0.48,0.46,0.33,0.27,168,3.0,0.0,Rice,1268.0,0.0,Kharif,0.59,0.040414518843273795,0.02171428571428568
28,UP024,10.92,85.92,FLD00028,9806,Rice,Cereal,Kharif,Arid,290.0,32.0,201.0,6.9,0.77,2.0,25,16.7,270,235,83,173,214.0,33.0,33.0,52.0,5.9,1.12,0.6,0.66,0.022,0.53,0.52,0.59,0.65,0.66,0.64,0.45,0.44,0.32,0.33,147,4.0,0.0,Rice,3046.0,0.0,Kharif,0.5983333333333334,0.05639641438562878,0.02942857142857143
29,RJ007,26.91,73.98,FLD00029,11302,Rice,Cereal,Kharif,Humid,240.0,40.0,215.0,6.9,0.98,3.0,20,9.9,2548,2112,636,1632,1952.0,28.1,28.1,84.0,6.5,1.12,0.6,0.64,0.016,0.56,0.53,0.59,0.61,0.64,0.64,0.48,0.46,0.32,0.28,169,7.0,0.0,Rice,2925.0,0.0,Kharif,0.5950000000000001,0.040311288741492736,0.02142857142857137
30,HR024,10.79,85.77,FLD00030,5546,Rice,Cereal,Kharif,Plateau,213.0,30.0,207.0,6.5,0.7,6.0,24,13.5,1024,876,382,671,770.0,27.5,27.5,74.0,6.2,1.12,0.6,0.67,0.022,0.56,0.54,0.55,0.64,0.64,0.67,0.48,0.46,0.34,0.32,155,1.0,0.0,Rice,1288.0,0.0,Kharif,0.6,0.05131601439446883,0.026857142857142823
31,AP038,15.29,72.47,FLD00031,11038,Rice,Cereal,Kharif,Arid,277.0,48.0,217.0,6.0,0.61,4.0,37,18.3,406,322,99,246,278.0,35.5,35.5,46.0,5.5,1.12,0.6,0.66,0.026,0.53,0.55,0.55,0.65,0.63,0.66,0.46,0.48,0.36,0.3,153,3.0,1.0,Rice,2814.0,0.0,Kharif,0.5950000000000001,0.05283622494715785,0.028285714285714227
32,MP018,23.1,86.67,FLD00032,15086,Rice,Cereal,Kharif,Humid,188.0,50.0,217.0,6.2,0.71,6.0,31,5.5,2604,2144,933,1562,2025.0,25.2,25.2,76.0,5.4,1.12,0.6,0.66,0.026,0.52,0.53,0.58,0.66,0.63,0.65,0.46,0.46,0.29,0.35,170,4.0,2.0,Rice,3517.0,0.0,Kharif,0.595,0.05560275772537426,0.029428571428571405
33,KA039,26.26,74.66,FLD00033,17687,Rice,Cereal,Kharif,Semi-Arid,180.0,36.0,188.0,7.8,0.76,2.0,25,10.9,513,398,140,301,343.0,30.4,30.4,55.0,5.0,1.12,0.6,0.66,0.02,0.54,0.56,0.57,0.64,0.66,0.64,0.46,0.49,0.27,0.33,148,15.0,1.0,Rice,3888.0,0.0,Kharif,0.6016666666666667,0.04633812924819281,0.02485714285714287
34,MP028,22.87,70.62,FLD00034,12847,Rice,Cereal,Kharif,Humid,207.0,43.0,226.0,5.9,0.54,5.0,24,5.3,1763,1542,597,1144,1388.0,26.5,26.5,82.0,5.9,1.12,0.61,0.67,0.03,0.52,0.56,0.59,0.64,0.67,0.67,0.43,0.47,0.29,0.29,149,15.0,1.0,Rice,3126.0,0.0,Kharif,0.6083333333333333,0.05639641438562877,0.032285714285714306
35,AP024,11.9,78.54,FLD00035,15897,Rice,Cereal,Kharif,Plateau,219.0,49.0,230.0,5.9,0.9,4.0,33,8.7,1031,940,360,674,832.0,29.4,29.4,68.0,5.5,1.12,0.61,0.66,0.02,0.56,0.56,0.6,0.63,0.65,0.66,0.47,0.48,0.28,0.26,143,15.0,2.0,Rice,3748.0,0.0,Kharif,0.61,0.03999999999999999,0.022857142857142836
36,PB050,27.79,79.52,FLD00036,12030,Rice,Cereal,Kharif,Mountain,186.0,47.0,204.0,5.9,0.63,2.0,29,14.4,2337,1755,755,1251,1507.0,20.0,20.0,60.0,5.2,1.12,0.6,0.68,0.032,0.52,0.54,0.56,0.62,0.67,0.68,0.44,0.45,0.27,0.28,160,8.0,2.0,Rice,2554.0,0.0,Kharif,0.5983333333333334,0.062294105303435855,0.035714285714285705
37,HR029,15.44,83.24,FLD00037,12957,Rice,Cereal,Kharif,Arid,286.0,36.0,197.0,7.3,0.55,1.0,23,17.8,423,367,139,242,319.0,31.3,31.3,45.0,6.5,1.12,0.6,0.66,0.02,0.56,0.56,0.56,0.6,0.65,0.66,0.46,0.48,0.28,0.31,141,14.0,1.0,Rice,3131.0,0.0,Kharif,0.5983333333333334,0.04258977446393545,0.023142857142857107
38,MH030,17.94,84.84,FLD00038,12147,Rice,Cereal,Kharif,Arid,199.0,38.0,224.0,6.9,0.84,1.0,29,16.2,255,240,78,189,214.0,32.8,32.8,46.0,6.0,1.12,0.59,0.65,0.024,0.53,0.55,0.57,0.62,0.64,0.65,0.45,0.46,0.32,0.27,151,11.0,1.0,Rice,3450.0,0.0,Kharif,0.5933333333333334,0.04570436400267363,0.026285714285714273
39,KA016,28.49,89.55,FLD00039,18417,Rice,Cereal,Kharif,Mountain,206.0,32.0,202.0,6.2,0.79,2.0,22,8.4,2923,2463,947,1763,2336.0,22.8,22.8,80.0,6.3,1.12,0.59,0.65,0.018,0.56,0.55,0.55,0.6,0.65,0.65,0.47,0.45,0.3,0.29,160,1.0,1.0,Rice,3723.0,0.0,Kharif,0.5933333333333334,0.04346134936801765,0.02285714285714279
40,GJ040,26.63,71.53,FLD00040,19159,Rice,Cereal,Kharif,Sub-Humid,309.0,40.0,229.0,7.0,0.96,0.0,21,10.2,1142,1005,349,698,952.0,27.5,27.5,73.0,5.1,1.12,0.59,0.66,0.024,0.54,0.53,0.56,0.62,0.65,0.66,0.45,0.45,0.29,0.31,143,5.0,1.0,Rice,4665.0,0.0,Kharif,0.5933333333333334,0.05217491947499509,0.029142857142857144
41,UP007,25.78,82.95,FLD00041,6079,Rice,Cereal,Kharif,Arid,278.0,37.0,202.0,7.2,0.82,5.0,24,18.3,399,352,154,233,324.0,33.9,33.9,54.0,6.0,1.12,0.61,0.68,0.03,0.53,0.54,0.59,0.65,0.66,0.68,0.46,0.47,0.32,0.33,144,5.0,0.0,Rice,1427.0,0.0,Kharif,0.6083333333333334,0.058713049846028466,0.033428571428571405
42,UP050,17.25,73.61,FLD00042,8509,Rice,Cereal,Kharif,Arid,304.0,34.0,198.0,7.8,0.57,3.0,23,20.1,388,355,153,215,315.0,32.0,32.0,54.0,6.1,1.12,0.6,0.67,0.022,0.52,0.56,0.58,0.65,0.67,0.63,0.44,0.48,0.36,0.32,144,10.0,1.0,Rice,2055.0,0.0,Kharif,0.6016666666666667,0.05273097339852125,0.027142857142857135
43,RJ013,20.68,76.19,FLD00043,18248,Rice,Cereal,Kharif,Semi-Arid,274.0,49.0,226.0,6.7,0.64,1.0,36,14.2,582,531,223,333,480.0,29.0,29.0,60.0,6.0,1.12,0.59,0.66,0.022,0.55,0.55,0.55,0.6,0.63,0.66,0.47,0.48,0.27,0.35,167,11.0,0.0,Rice,4615.0,0.0,Kharif,0.59,0.043588989435406726,0.02399999999999997
44,TN025,18.3,77.93,FLD00044,11126,Rice,Cereal,Kharif,Arid,200.0,39.0,198.0,5.9,0.95,2.0,30,22.9,285,215,94,149,195.0,35.0,35.0,52.0,6.1,1.12,0.59,0.66,0.028,0.51,0.53,0.55,0.65,0.66,0.65,0.44,0.44,0.28,0.29,155,5.0,1.0,Rice,3445.0,148.0,Kharif,0.5916666666666667,0.06282692274990255,0.033999999999999975
45,HR035,11.26,86.73,FLD00045,13189,Rice,Cereal,Kharif,Humid,184.0,48.0,235.0,7.0,0.84,3.0,33,5.0,1922,1533,555,1123,1386.0,25.3,25.3,83.0,6.5,1.12,0.6,0.68,0.02,0.54,0.54,0.57,0.64,0.68,0.64,0.44,0.47,0.3,0.33,142,8.0,2.0,Rice,3041.0,0.0,Kharif,0.6016666666666667,0.054288324916341106,0.028285714285714265
46,UP035,18.29,75.15,FLD00046,5726,Rice,Cereal,Kharif,Coastal,266.0,48.0,192.0,7.5,0.83,0.0,35,9.8,2461,1912,778,1508,1794.0,28.1,28.1,73.0,5.3,1.12,0.61,0.67,0.02,0.57,0.55,0.6,0.63,0.64,0.67,0.47,0.46,0.33,0.34,165,1.0,1.0,Rice,1379.0,0.0,Kharif,0.61,0.04123105625617662,0.02285714285714286
47,RJ025,28.68,92.79,FLD00047,17178,Rice,Cereal,Kharif,Mountain,266.0,33.0,233.0,7.2,0.68,2.0,36,9.1,1238,1108,345,798,950.0,24.2,24.2,63.0,5.8,1.12,0.6,0.65,0.02,0.53,0.55,0.57,0.64,0.65,0.63,0.46,0.46,0.36,0.28,150,7.0,0.0,Rice,3729.0,0.0,Kharif,0.595,0.04681523968396046,0.02485714285714285
48,KA002,18.12,80.26,FLD00048,17286,Rice,Cereal,Kharif,Plateau,216.0,47.0,226.0,5.9,0.53,2.0,31,10.5,1230,930,300,641,803.0,28.2,28.2,71.0,5.7,1.12,0.6,0.67,0.026,0.53,0.55,0.56,0.6,0.67,0.66,0.45,0.47,0.29,0.28,142,9.0,1.0,Rice,3882.0,0.0,Kharif,0.5950000000000001,0.053774219349672255,0.03000000000000001
49,TN008,12.0,86.83,FLD00049,13047,Rice,Cereal,Kharif,Coastal,214.0,30.0,227.0,6.1,0.84,4.0,30,10.0,2253,1719,655,1337,1570.0,30.6,30.6,81.0,6.1,1.12,0.59,0.67,0.018,0.54,0.52,0.55,0.61,0.67,0.63,0.46,0.44,0.34,0.32,169,9.0,2.0,Rice,3229.0,0.0,Kharif,0.5866666666666667,0.05374838498865699,0.027428571428571424
50,RJ034,16.19,89.99,FLD00050,16777,Rice,Cereal,Kharif,Arid,285.0,52.0,222.0,7.4,0.54,3.0,22,19.5,424,361,115,276,322.0,33.3,33.3,47.0,5.9,1.12,0.6,0.68,0.016,0.56,0.55,0.56,0.61,0.68,0.64,0.49,0.47,0.28,0.27,164,3.0,0.0,Rice,4179.0,0.0,Kharif,0.6000000000000001,0.04795831523312719,0.024
51,PB006,11.84,81.0,FLD00051,15066,Rice,Cereal,Kharif,Coastal,308.0,48.0,191.0,7.0,0.78,6.0,30,11.1,1954,1481,636,912,1290.0,30.8,30.8,80.0,6.2,1.12,0.6,0.66,0.02,0.55,0.52,0.6,0.63,0.66,0.65,0.46,0.45,0.3,0.31,148,15.0,2.0,Rice,3505.0,0.0,Kharif,0.6016666666666667,0.05145116346811044,0.027142857142857135
52,HR010,18.31,79.29,FLD00052,10573,Rice,Cereal,Kharif,Humid,260.0,50.0,210.0,7.3,0.91,1.0,24,8.8,2254,1943,675,1347,1707.0,26.1,26.1,75.0,5.4,1.12,0.62,0.69,0.026,0.56,0.54,0.6,0.65,0.67,0.69,0.48,0.45,0.27,0.36,143,12.0,1.0,Rice,2723.0,0.0,Kharif,0.6183333333333333,0.05580223014261067,0.0311428571428571
53,PB030,19.95,71.8,FLD00053,11442,Rice,Cereal,Kharif,Sub-Humid,241.0,34.0,215.0,5.9,0.64,5.0,35,9.4,854,785,286,609,698.0,29.2,29.2,68.0,6.1,1.12,0.6,0.68,0.03,0.53,0.53,0.57,0.62,0.66,0.68,0.45,0.45,0.28,0.27,151,14.0,1.0,Rice,2733.0,0.0,Kharif,0.5983333333333334,0.05927806414592914,0.03399999999999997
54,TN039,21.16,77.31,FLD00054,7363,Rice,Cereal,Kharif,Sub-Humid,310.0,40.0,234.0,5.9,0.52,0.0,30,12.0,1115,938,366,659,890.0,28.0,28.0,74.0,5.9,1.12,0.6,0.66,0.022,0.55,0.55,0.57,0.63,0.66,0.66,0.45,0.46,0.27,0.3,145,7.0,1.0,Rice,1860.0,0.0,Kharif,0.6033333333333334,0.04818944098266987,0.026857142857142854
55,RJ017,27.44,82.59,FLD00055,14779,Rice,Cereal,Kharif,Plateau,238.0,51.0,176.0,7.0,0.58,0.0,32,9.0,898,679,300,422,624.0,26.1,26.1,68.0,5.5,1.12,0.61,0.67,0.026,0.54,0.55,0.57,0.65,0.67,0.67,0.46,0.47,0.36,0.31,144,15.0,1.0,Rice,3362.0,0.0,Kharif,0.6083333333333333,0.05610010893235612,0.031142857142857104
56,UP044,19.19,80.66,FLD00056,13950,Rice,Cereal,Kharif,Semi-Arid,247.0,47.0,231.0,6.2,0.62,5.0,29,11.8,652,589,238,434,543.0,30.0,30.0,67.0,5.7,1.12,0.61,0.69,0.034,0.52,0.56,0.57,0.66,0.67,0.69,0.45,0.47,0.3,0.33,157,7.0,0.0,Rice,3612.0,0.0,Kharif,0.6116666666666667,0.06413960468297952,0.03628571428571428
57,PB018,15.13,79.58,FLD00057,8310,Rice,Cereal,Kharif,Plateau,249.0,32.0,183.0,7.0,0.78,6.0,21,12.7,1193,948,317,587,818.0,28.0,28.0,74.0,5.7,1.12,0.61,0.69,0.03,0.54,0.57,0.59,0.63,0.64,0.69,0.45,0.49,0.35,0.26,161,10.0,2.0,Rice,1793.0,0.0,Kharif,0.61,0.04932882862316246,0.028571428571428584
58,KA027,24.46,88.73,FLD00058,19962,Rice,Cereal,Kharif,Plateau,225.0,29.0,220.0,7.4,0.59,0.0,29,14.1,659,533,208,418,480.0,28.0,28.0,70.0,5.7,1.12,0.59,0.66,0.02,0.56,0.54,0.55,0.6,0.63,0.66,0.47,0.45,0.33,0.34,160,6.0,2.0,Rice,4541.0,0.0,Kharif,0.59,0.043969686527576386,0.023428571428571427
59,MP028,13.51,87.12,FLD00059,19697,Rice,Cereal,Kharif,Semi-Arid,311.0,38.0,181.0,6.6,0.55,6.0,35,12.6,627,471,168,324,427.0,29.1,29.1,66.0,5.5,1.12,0.59,0.65,0.02,0.55,0.56,0.55,0.6,0.64,0.65,0.47,0.49,0.33,0.29,158,13.0,0.0,Rice,4584.0,0.0,Kharif,0.5916666666666667,0.04139914116124739,0.022571428571428565
60,RJ010,17.35,74.42,FLD00060,7188,Rice,Cereal,Kharif,Sub-Humid,296.0,51.0,217.0,6.6,0.76,1.0,37,12.0,961,867,348,623,743.0,29.4,29.4,73.0,5.8,1.12,0.59,0.65,0.028,0.51,0.55,0.57,0.63,0.63,0.65,0.43,0.45,0.29,0.32,156,11.0,0.0,Rice,1834.0,0.0,Kharif,0.59,0.050332229568471665,0.028571428571428536
61,MP030,26.17,79.07,FLD00061,13409,Rice,Cereal,Kharif,Humid,194.0,45.0,229.0,7.1,0.65,4.0,32,6.3,1206,1084,419,660,1028.0,26.4,26.4,76.0,5.1,1.12,0.6,0.68,0.032,0.51,0.54,0.59,0.64,0.68,0.67,0.43,0.47,0.31,0.35,141,0.0,1.0,Rice,3210.0,0.0,Kharif,0.6050000000000001,0.06396613687465164,0.0362857142857143
62,UP008,29.28,87.49,FLD00062,7178,Rice,Cereal,Kharif,Plateau,225.0,45.0,220.0,6.9,0.85,6.0,20,13.3,955,804,327,550,695.0,28.3,28.3,67.0,5.3,1.12,0.61,0.68,0.022,0.57,0.56,0.55,0.65,0.65,0.68,0.5,0.46,0.27,0.26,154,14.0,0.0,Rice,1689.0,0.0,Kharif,0.61,0.05131601439446884,0.026285714285714263
