Crop_Name,pH_Min,pH_Max,N_Min,N_Max,P_Min,P_Max,K_Min,K_Max,Fe_Min,Fe_Max,Mn_Min,Mn_Max,Zn_Min,Zn_Max,Cu_Min,Cu_Max,B_Min,B_Max,Water_Requirement_Min,Water_Requirement_Max,Moisture_Min,Moisture_Max,Temp_Min,Temp_Max,Rainfall_Min,Rainfall_Max
Cashew,5.5,6.5,40,80,25,50,30,60,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,1200,2000,65,80,20,35,1200,2000
Cocoa,5.5,7.0,80,150,40,80,50,100,3.5,7.0,1.5,4.0,0.8,2.5,0.4,1.0,0.4,1.0,1500,2500,70,85,18,32,1500,2500
Areca Nut,5.0,7.0,50,100,30,60,40,80,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,1200,2000,65,80,20,35,1200,2000
Tomato,5.5,7.5,100,180,50,100,60,120,3.5,7.0,1.5,4.0,0.8,2.5,0.4,1.2,0.4,1.2,400,650,55,75,18,30,400,650
Potato,5.0,6.5,100,200,60,120,80,150,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,500,800,60,80,15,28,500,800
Onion,6.0,7.5,80,150,40,80,60,120,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,350,550,50,70,20,35,350,550
Cabbage,6.0,7.5,100,180,50,100,60,120,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,450,700,55,75,15,25,450,700
Cauliflower,5.5,7.5,100,180,50,100,60,120,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,450,700,55,75,15,25,450,700
Brinjal,5.5,7.0,100,180,50,100,60,120,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,400,650,55,75,20,35,400,650
Okra,6.0,7.5,80,150,40,80,50,100,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,400,650,55,75,25,35,400,650
Chilli,5.5,7.5,80,150,40,80,50,100,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,400,650,55,75,20,35,400,650
Capsicum,5.5,7.5,100,180,50,100,60,120,3.5,7.0,1.5,4.0,0.8,2.5,0.4,1.2,0.4,1.2,450,700,60,80,18,32,450,700
Carrot,5.5,7.0,80,150,40,80,50,100,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,350,550,50,70,15,25,350,550
Radish,5.5,7.0,60,120,30,60,40,80,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,300,500,45,65,15,25,300,500
Beetroot,6.0,7.5,80,150,40,80,50,100,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,350,550,50,70,15,28,350,550
Pumpkin,5.5,7.0,60,120,30,60,40,80,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,400,650,55,75,20,35,400,650
Bottle Gourd,5.5,7.5,60,120,30,60,40,80,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,400,650,55,75,25,35,400,650
Bitter Gourd,5.5,7.0,60,120,30,60,40,80,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,400,650,55,75,25,35,400,650
Ridge Gourd,5.5,7.0,60,120,30,60,40,80,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,400,650,55,75,25,35,400,650
Cucumber,5.5,7.0,60,120,30,60,40,80,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,350,550,50,70,20,32,350,550
Spinach,6.0,7.5,80,150,40,80,50,100,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,350,550,55,75,15,30,350,550
Coriander,6.0,7.5,40,80,25,50,30,60,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,300,500,45,65,20,30,300,500
Fenugreek,5.5,7.5,30,60,20,40,25,50,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,250,400,40,60,15,25,250,400
Mango,5.5,7.5,100,200,50,100,60,120,3.5,7.0,1.5,4.0,0.8,2.5,0.4,1.2,0.4,1.2,800,1500,60,80,24,35,800,1500
Banana,5.5,7.5,150,250,80,150,100,200,4.0,8.0,2.0,5.0,1.0,3.0,0.5,1.5,0.5,1.5,1500,2500,70,85,15,38,1500,2500
Papaya,6.0,7.5,100,180,50,100,60,120,3.5,7.0,1.5,4.0,0.8,2.5,0.4,1.2,0.4,1.2,800,1500,60,80,20,38,800,1500
Guava,6.0,7.5,80,150,40,80,50,100,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,600,1000,60,80,23,36,600,1000
Pomegranate,6.5,8.0,60,120,40,80,50,100,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,600,1000,55,75,15,38,600,1000
Sapota,6.0,8.0,80,150,40,80,50,100,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,800,1200,60,80,20,36,800,1200
Citrus,5.5,7.5,100,180,50,100,60,120,3.5,7.0,1.5,4.0,0.8,2.5,0.4,1.2,0.4,1.2,800,1500,60,80,13,35,800,1500
Apple,5.5,6.5,80,150,40,80,50,100,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,800,1200,60,80,10,24,800,1200
Grapes,5.5,8.5,60,120,40,80,50,100,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,600,1000,55,75,15,35,600,1000
Watermelon,5.5,7.0,60,120,30,60,40,80,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,400,650,50,70,20,35,400,650
Muskmelon,6.0,7.5,60,120,30,60,40,80,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,400,650,50,70,20,35,400,650
Pineapple,4.5,6.0,100,180,50,100,60,120,3.5,7.0,1.5,4.0,0.8,2.5,0.4,1.2,0.4,1.2,1200,2000,65,80,20,32,1200,2000
Strawberry,5.5,6.5,80,150,40,80,50,100,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,500,800,55,75,15,30,500,800
Litchi,5.5,7.5,100,180,50,100,60,120,3.5,7.0,1.5,4.0,0.8,2.5,0.4,1.2,0.4,1.2,1000,1800,65,80,20,35,1000,1800
Dragon Fruit,6.0,7.5,80,150,40,80,50,100,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,600,1000,55,75,20,35,600,1000
Turmeric,5.0,7.5,60,120,40,80,50,100,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,1000,2000,65,80,20,35,1000,2000
Ginger,5.5,7.5,80,150,50,100,60,120,3.5,7.0,1.5,4.0,0.8,2.5,0.4,1.2,0.4,1.2,1200,2000,65,80,20,35,1200,2000
Garlic,5.5,7.0,60,120,40,80,50,100,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,350,550,50,70,15,30,350,550
Cumin,6.5,8.0,30,60,20,40,25,50,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,300,500,45,65,20,30,300,500
Coriander Seed,6.0,7.5,40,80,25,50,30,60,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,350,550,50,70,20,30,350,550
Fennel,6.0,8.0,40,80,25,50,30,60,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,350,550,50,70,20,30,350,550
Black Pepper,5.5,6.5,50,100,30,60,40,80,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,1500,2500,75,90,23,32,1500,2500
Cardamom,5.0,6.5,60,120,40,80,50,100,3.5,7.0,1.5,4.0,0.8,2.5,0.4,1.2,0.4,1.2,1800,2500,75,90,10,20,1800,2500
Clove,5.5,7.0,50,100,30,60,40,80,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,1500,2500,75,90,20,30,1500,2500
Nutmeg,5.5,6.5,60,120,40,80,50,100,3.5,7.0,1.5,4.0,0.8,2.5,0.4,1.2,0.4,1.2,1800,2500,75,90,20,30,1800,2500
