crop,temperature,humidity,rainfall,growth_duration,area,water_requirement
Chickpea,36.51,64.07,2.79,100,1.0,1.17
Wheat,34.45,30.73,1.77,120,1.0,3.12
Rice,38.74,30.62,18.96,150,1.0,1.0
Onion,30.74,42.66,5.61,130,1.0,1.0
Potato,35.07,33.34,11.45,100,1.0,1.0
Banana,40.97,37.71,11.7,365,1.0,1.0
Sugarcane,22.06,55.68,17.24,365,1.0,1.0
Rice,43.59,43.18,4.6,150,1.0,4.69
Cotton,42.98,38.85,15.55,180,1.0,1.0
Potato,37.22,29.04,1.63,100,1.0,3.31
Sugarcane,38.93,87.8,5.16,365,1.0,1.41
Maize,29.88,58.6,5.87,110,1.0,1.0
Chickpea,40.17,79.35,2.21,100,1.0,1.44
Chickpea,37.5,75.15,4.59,100,1.0,1.0
Wheat,24.51,83.78,1.5,120,1.0,1.25
Chickpea,19.5,42.57,16.36,100,1.0,1.0
Potato,41.12,43.84,19.2,100,1.0,1.0
Onion,22.01,83.47,16.41,130,1.0,1.0
Potato,17.75,75.07,18.52,100,1.0,1.0
Chickpea,36.94,89.6,9.57,100,1.0,1.0
Rice,34.41,31.02,3.26,150,1.0,4.1
Sugarcane,38.58,31.69,8.83,365,1.0,1.51
Onion,24.56,51.58,18.36,130,1.0,1.0
Wheat,39.14,86.6,3.07,120,1.0,1.56
Maize,37.61,44.44,1.97,110,1.0,3.32
Sugarcane,18.95,21.43,10.78,365,1.0,1.0
Rice,23.61,50.49,1.39,150,1.0,2.89
Cotton,30.05,23.51,7.16,180,1.0,1.0
Cotton,39.82,25.04,2.85,180,1.0,3.44
Banana,29.21,20.12,18.49,365,1.0,1.0
Rice,35.41,84.08,5.63,150,1.0,1.24
Chickpea,28.25,35.11,1.33,100,1.0,1.74
Tomato,39.33,64.67,16.12,120,1.0,1.0
Onion,20.83,46.84,9.37,130,1.0,1.0
Potato,44.15,54.91,5.73,100,1.0,1.43
Chickpea,28.79,36.62,9.04,100,1.0,1.0
Tomato,21.41,37.16,11.34,120,1.0,1.0
Chickpea,19.23,63.66,15.55,100,1.0,1.0
Banana,34.25,69.69,15.52,365,1.0,1.0
Sugarcane,34.53,38.81,0.43,365,1.0,4.79
Banana,39.46,40.5,13.52,365,1.0,1.0
Banana,37.22,75.88,0.72,365,1.0,4.03
Onion,27.04,62.15,4.87,130,1.0,1.0
Tomato,31.92,70.42,17.32,120,1.0,1.0
Banana,20.88,85.32,17.64,365,1.0,1.0
Tomato,35.61,56.42,13.96,120,1.0,1.0
Sugarcane,39.03,59.49,10.74,365,1.0,1.0
Tomato,39.18,73.15,19.06,120,1.0,1.0
Onion,44.09,35.21,6.88,130,1.0,1.42
Potato,23.41,21.79,2.99,100,1.0,1.28
Rice,34.73,29.82,3.99,150,1.0,3.84
Potato,17.45,37.55,14.72,100,1.0,1.0
Wheat,37.43,88.43,18.23,120,1.0,1.0
Sugarcane,29.73,34.0,13.91,365,1.0,1.0
Banana,36.58,78.16,18.91,365,1.0,1.0
Maize,31.93,40.94,3.64,110,1.0,1.87
Sugarcane,24.95,64.73,19.7,365,1.0,1.0
Chickpea,23.69,71.82,11.65,100,1.0,1.0
Maize,32.44,81.8,2.22,110,1.0,1.68
Banana,35.55,28.4,4.9,365,1.0,3.32
Maize,21.98,71.93,3.78,110,1.0,1.0
Wheat,17.09,75.24,17.72,120,1.0,1.0
Cotton,39.39,27.71,15.94,180,1.0,1.0
Potato,21.76,65.85,7.61,100,1.0,1.0
Maize,20.51,39.93,19.56,110,1.0,1.0
Potato,40.35,29.27,12.06,100,1.0,1.0
Tomato,21.54,48.97,1.56,120,1.0,1.73
Sugarcane,27.81,80.52,11.18,365,1.0,1.0
Tomato,42.42,64.75,13.96,120,1.0,1.0
Cotton,28.51,43.6,13.98,180,1.0,1.0
Sugarcane,25.96,74.88,3.86,365,1.0,1.03
Tomato,15.02,51.78,8.13,120,1.0,1.0
Chickpea,17.03,31.58,3.33,100,1.0,1.0
Chickpea,16.98,50.15,10.92,100,1.0,1.0
Rice,19.54,23.46,15.71,150,1.0,1.0
Rice,28.07,28.45,16.12,150,1.0,1.0
Wheat,18.03,48.26,9.37,120,1.0,1.0
Chickpea,35.4,85.99,7.9,100,1.0,1.0
Potato,39.17,36.51,8.05,100,1.0,1.0
Cotton,16.54,34.43,9.76,180,1.0,1.0
Chickpea,25.23,89.09,6.71,100,1.0,1.0
Chickpea,26.36,64.83,3.41,100,1.0,1.0
Banana,41.98,60.64,3.9,365,1.0,3.73
Wheat,30.75,88.81,5.5,120,1.0,1.0
Cotton,42.43,78.8,3.72,180,1.0,1.78
Rice,42.78,46.32,16.1,150,1.0,1.0
Sugarcane,38.19,53.93,7.72,365,1.0,1.22
Cotton,39.25,89.03,8.85,180,1.0,1.0
Sugarcane,26.29,67.69,6.31,365,1.0,1.0
Onion,21.91,55.77,7.09,130,1.0,1.0
Cotton,37.23,63.85,1.92,180,1.0,2.54
Rice,18.4,41.69,12.59,150,1.0,1.0
Sugarcane,43.17,25.65,15.3,365,1.0,1.0
Chickpea,23.45,51.43,1.17,100,1.0,1.27
Sugarcane,42.03,28.14,11.79,365,1.0,1.0
Cotton,35.57,81.74,8.01,180,1.0,1.0
Maize,33.09,88.67,7.1,110,1.0,1.0
Wheat,23.08,24.96,17.66,120,1.0,1.0
Rice,22.52,24.77,5.61,150,1.0,1.26
Onion,24.98,57.92,18.83,130,1.0,1.0
Banana,24.08,40.8,18.52,365,1.0,1.0
Chickpea,40.12,66.21,10.13,100,1.0,1.0
Potato,42.66,86.37,17.77,100,1.0,1.0
Onion,25.41,84.94,1.4,130,1.0,1.21
Maize,43.93,22.62,18.16,110,1.0,1.0
Rice,23.56,40.6,2.71,150,1.0,2.47
Tomato,18.15,88.62,8.7,120,1.0,1.0
Onion,43.05,24.65,17.68,130,1.0,1.0
Banana,37.76,24.24,11.49,365,1.0,1.0
Potato,30.53,86.28,15.54,100,1.0,1.0
Chickpea,27.38,78.14,7.33,100,1.0,1.0
Wheat,44.44,28.02,1.41,120,1.0,4.76
Potato,37.54,86.5,11.4,100,1.0,1.0
Banana,34.64,31.81,10.44,365,1.0,1.0
Wheat,23.31,89.78,19.37,120,1.0,1.0
Sugarcane,34.55,49.22,1.71,365,1.0,3.84
Sugarcane,39.7,55.41,4.03,365,1.0,3.24
Sugarcane,33.78,32.76,18.16,365,1.0,1.0
Maize,17.29,26.02,7.26,110,1.0,1.0
Chickpea,22.42,38.45,19.82,100,1.0,1.0
Chickpea,22.65,63.43,5.78,100,1.0,1.0
Onion,40.95,57.04,5.75,130,1.0,1.0
Sugarcane,22.42,50.23,2.57,365,1.0,1.88
Wheat,38.1,20.87,5.8,120,1.0,1.83
Onion,31.27,76.08,13.08,130,1.0,1.0
Wheat,19.21,84.66,9.45,120,1.0,1.0
Cotton,15.35,89.33,19.5,180,1.0,1.0
Tomato,15.75,54.51,18.09,120,1.0,1.0
Cotton,35.98,61.01,6.95,180,1.0,1.0
Cotton,43.78,24.84,6.96,180,1.0,1.99
Maize,19.93,26.49,5.74,110,1.0,1.0
Rice,33.35,89.64,14.85,150,1.0,1.0
Potato,26.09,31.72,5.56,100,1.0,1.0
Banana,21.4,45.75,18.75,365,1.0,1.0
Banana,21.34,20.16,4.15,365,1.0,1.76
Chickpea,22.91,51.8,1.67,100,1.0,1.0
Rice,34.43,89.31,1.17,150,1.0,3.17
Wheat,16.85,88.57,10.53,120,1.0,1.0
Sugarcane,30.34,78.36,5.23,365,1.0,1.0
Wheat,29.62,87.15,9.42,120,1.0,1.0
Tomato,42.23,72.17,13.52,120,1.0,1.0
Potato,35.9,57.99,6.36,100,1.0,1.0
Cotton,31.02,54.97,19.35,180,1.0,1.0
Cotton,21.2,48.34,12.66,180,1.0,1.0
Tomato,28.99,29.94,17.73,120,1.0,1.0
Onion,38.7,71.41,4.42,130,1.0,1.03
Onion,36.69,20.48,19.2,130,1.0,1.0
Cotton,17.0,66.72,12.06,180,1.0,1.0
Cotton,29.17,22.88,11.88,180,1.0,1.0
Tomato,39.13,45.22,0.32,120,1.0,4.32
Onion,17.54,54.85,19.55,130,1.0,1.0
Cotton,39.09,53.9,1.25,180,1.0,3.35
Potato,41.26,65.84,13.39,100,1.0,1.0
Chickpea,17.98,22.49,16.58,100,1.0,1.0
Tomato,26.73,79.39,7.68,120,1.0,1.0
Cotton,23.32,70.09,11.08,180,1.0,1.0
Maize,37.4,73.94,6.56,110,1.0,1.0
Rice,39.83,22.26,10.51,150,1.0,1.85
Chickpea,18.96,67.99,1.37,100,1.0,1.0
Cotton,34.49,47.14,7.0,180,1.0,1.0
Wheat,34.19,46.84,15.57,120,1.0,1.0
Tomato,44.47,74.6,1.66,120,1.0,3.41
Wheat,30.7,74.74,9.29,120,1.0,1.0
Onion,40.88,68.35,5.65,130,1.0,1.0
Onion,38.39,57.34,0.45,130,1.0,3.34
Tomato,40.76,67.41,15.29,120,1.0,1.0
Cotton,36.77,32.38,9.74,180,1.0,1.0
Banana,15.94,72.76,13.89,365,1.0,1.0
Banana,22.51,55.44,11.26,365,1.0,1.0
Onion,25.39,20.77,17.49,130,1.0,1.0
Maize,34.45,68.49,1.32,110,1.0,2.64
Rice,30.21,65.9,6.48,150,1.0,1.0
Onion,35.5,84.81,4.02,130,1.0,1.0
Cotton,44.86,48.59,13.79,180,1.0,1.0
Onion,24.55,32.19,8.38,130,1.0,1.0
Potato,32.06,22.13,4.92,100,1.0,1.2
Onion,38.78,88.57,3.4,130,1.0,1.12
Cotton,28.7,45.21,4.84,180,1.0,1.0
Maize,27.93,24.87,10.13,110,1.0,1.0
Potato,37.66,47.71,4.63,100,1.0,1.41
Chickpea,21.58,62.47,13.99,100,1.0,1.0
Wheat,35.15,37.09,19.12,120,1.0,1.0
Onion,26.19,78.3,0.61,130,1.0,1.77
Cotton,19.37,40.54,15.3,180,1.0,1.0
Tomato,34.73,77.9,16.91,120,1.0,1.0
Rice,39.42,64.3,11.28,150,1.0,1.0
Sugarcane,34.65,78.75,17.52,365,1.0,1.0
Rice,33.39,62.28,15.8,150,1.0,1.0
Maize,21.82,77.98,12.43,110,1.0,1.0
Sugarcane,32.86,74.23,10.99,365,1.0,1.0
Onion,35.44,23.03,12.94,130,1.0,1.0
Tomato,16.48,87.49,8.7,120,1.0,1.0
Wheat,35.93,75.7,11.57,120,1.0,1.0
Banana,30.95,88.39,18.43,365,1.0,1.0
Rice,22.1,59.72,2.3,150,1.0,2.06
Wheat,15.25,66.77,14.28,120,1.0,1.0
Banana,43.41,82.6,14.77,365,1.0,1.0
Potato,26.16,42.26,16.31,100,1.0,1.0
Onion,25.04,47.97,14.78,130,1.0,1.0
Cotton,32.74,65.07,11.53,180,1.0,1.0
Tomato,22.28,85.92,16.61,120,1.0,1.0
Banana,29.8,20.23,0.91,365,1.0,4.59
Cotton,39.51,59.37,5.02,180,1.0,1.37
Chickpea,37.69,38.57,13.49,100,1.0,1.0
Rice,41.24,65.0,13.19,150,1.0,1.0
Chickpea,38.7,80.46,5.74,100,1.0,1.0
Onion,44.87,85.32,10.82,130,1.0,1.0
Potato,22.76,34.12,17.37,100,1.0,1.0
Chickpea,16.38,41.31,2.92,100,1.0,1.0
Chickpea,27.73,26.57,4.91,100,1.0,1.0
Cotton,34.7,40.33,14.03,180,1.0,1.0
Banana,28.46,77.45,18.17,365,1.0,1.0
Wheat,32.44,86.55,8.28,120,1.0,1.0
Wheat,19.93,86.08,5.15,120,1.0,1.0
Maize,34.89,61.94,19.92,110,1.0,1.0
Chickpea,38.24,23.36,10.82,100,1.0,1.0
Cotton,45.0,39.74,2.2,180,1.0,4.08
Banana,21.22,60.33,13.12,365,1.0,1.0
Onion,22.52,46.73,4.74,130,1.0,1.0
Maize,37.22,36.29,3.72,110,1.0,2.62
Onion,38.53,42.19,19.26,130,1.0,1.0
Tomato,16.79,54.92,11.16,120,1.0,1.0
Rice,22.84,28.1,9.12,150,1.0,1.0
Wheat,27.55,84.01,11.33,120,1.0,1.0
Wheat,25.5,63.91,5.89,120,1.0,1.0
Tomato,41.32,36.06,5.92,120,1.0,2.11
Sugarcane,38.98,53.7,16.79,365,1.0,1.0
Cotton,22.71,73.81,1.2,180,1.0,1.45
Banana,25.69,60.93,19.08,365,1.0,1.0
Wheat,42.49,76.36,2.44,120,1.0,2.5
Onion,43.84,57.4,0.59,130,1.0,3.89
Rice,19.33,66.66,8.47,150,1.0,1.0
Banana,17.52,62.78,15.99,365,1.0,1.0
Rice,29.9,80.93,4.07,150,1.0,1.47
Tomato,23.68,66.19,13.88,120,1.0,1.0
Chickpea,20.53,69.06,0.02,100,1.0,1.47
Wheat,18.55,35.26,1.36,120,1.0,1.66
Chickpea,21.63,28.18,16.97,100,1.0,1.0
Cotton,34.53,23.46,8.17,180,1.0,1.0
Wheat,23.48,44.32,9.35,120,1.0,1.0
Maize,43.99,67.21,16.3,110,1.0,1.0
Banana,30.94,46.91,11.69,365,1.0,1.0
Tomato,30.24,68.18,19.08,120,1.0,1.0
Chickpea,30.19,60.16,15.45,100,1.0,1.0
Cotton,31.61,60.45,1.68,180,1.0,2.18
Maize,21.37,45.31,15.42,110,1.0,1.0
Onion,37.58,83.19,16.08,130,1.0,1.0
Sugarcane,36.24,78.26,2.23,365,1.0,2.88
Wheat,20.75,51.66,18.11,120,1.0,1.0
Cotton,32.48,40.47,4.92,180,1.0,1.09
Wheat,37.96,48.42,4.28,120,1.0,1.85
Onion,29.0,68.89,9.04,130,1.0,1.0
Chickpea,33.63,25.34,14.57,100,1.0,1.0
Cotton,17.48,47.73,4.52,180,1.0,1.0
Potato,31.19,50.12,4.33,100,1.0,1.0
Maize,32.75,20.51,10.23,110,1.0,1.0
Onion,41.39,87.93,18.71,130,1.0,1.0
Potato,42.07,28.97,1.11,100,1.0,4.21
Wheat,25.65,73.87,9.49,120,1.0,1.0
Maize,35.38,25.49,8.35,110,1.0,1.0
Sugarcane,28.3,50.74,8.52,365,1.0,1.0
Wheat,33.99,48.55,14.17,120,1.0,1.0
Rice,22.39,27.04,18.34,150,1.0,1.0
Onion,27.82,88.56,17.37,130,1.0,1.0
Onion,40.06,48.88,5.35,130,1.0,1.3
Onion,41.32,73.6,14.8,130,1.0,1.0
Cotton,20.02,20.5,13.85,180,1.0,1.0
Onion,35.37,56.84,1.45,130,1.0,2.54
Tomato,41.89,63.01,12.73,120,1.0,1.0
Cotton,22.69,46.65,8.35,180,1.0,1.0
Banana,44.82,83.89,6.64,365,1.0,1.81
Banana,41.79,24.07,19.51,365,1.0,1.0
Rice,36.26,27.19,6.72,150,1.0,2.85
Rice,16.63,67.41,12.78,150,1.0,1.0
Sugarcane,28.74,47.06,1.05,365,1.0,3.43
Wheat,36.75,45.16,9.26,120,1.0,1.0
Chickpea,33.45,41.28,16.84,100,1.0,1.0
Banana,19.37,20.44,15.13,365,1.0,1.0
Cotton,34.07,39.4,1.49,180,1.0,3.01
Potato,31.74,67.03,12.78,100,1.0,1.0
Maize,28.66,23.69,3.61,110,1.0,1.88
Wheat,27.21,26.83,14.67,120,1.0,1.0
Rice,38.7,85.4,4.24,150,1.0,2.31
Onion,25.71,86.77,18.11,130,1.0,1.0
Wheat,15.37,74.07,0.7,120,1.0,1.27
Onion,39.55,24.27,18.55,130,1.0,1.0
Sugarcane,42.23,44.93,0.5,365,1.0,5.83
Tomato,22.78,27.07,1.35,120,1.0,2.31
Tomato,21.13,79.05,0.92,120,1.0,1.52
Chickpea,28.03,59.63,13.62,100,1.0,1.0
Potato,23.67,65.4,3.69,100,1.0,1.0
Maize,42.74,70.42,6.29,110,1.0,1.03
Rice,16.36,50.09,5.07,150,1.0,1.0
Banana,18.45,60.51,16.76,365,1.0,1.0
Banana,38.1,44.07,18.67,365,1.0,1.0
Rice,28.98,80.36,4.53,150,1.0,1.15
Rice,29.77,76.97,9.24,150,1.0,1.0
Banana,23.49,28.54,4.93,365,1.0,1.46
Onion,29.01,44.8,16.46,130,1.0,1.0
Onion,32.93,83.81,17.67,130,1.0,1.0
Wheat,29.21,49.45,13.81,120,1.0,1.0
Rice,26.06,80.78,15.02,150,1.0,1.0
Maize,42.61,27.24,8.7,110,1.0,1.19
Tomato,32.34,66.57,18.25,120,1.0,1.0
Onion,34.33,63.68,13.28,130,1.0,1.0
Cotton,17.8,71.14,1.09,180,1.0,1.24
Wheat,17.16,82.89,3.09,120,1.0,1.0
Cotton,32.04,63.98,14.76,180,1.0,1.0
Cotton,25.49,81.99,11.75,180,1.0,1.0
Maize,33.1,50.13,11.52,110,1.0,1.0
Cotton,21.01,71.04,12.03,180,1.0,1.0
Cotton,38.82,47.29,10.82,180,1.0,1.0
Tomato,30.4,27.78,2.27,120,1.0,2.67
Chickpea,20.32,55.46,17.21,100,1.0,1.0
Chickpea,43.29,57.53,2.05,100,1.0,2.27
Cotton,30.07,80.32,4.17,180,1.0,1.0
Cotton,31.06,21.28,7.44,180,1.0,1.0
Rice,34.29,53.39,1.64,150,1.0,4.14
Maize,28.55,51.72,1.22,110,1.0,2.48
Maize,39.09,38.5,0.9,110,1.0,4.22
Sugarcane,15.23,31.42,8.05,365,1.0,1.0
Wheat,41.91,26.98,18.04,120,1.0,1.0
Potato,37.77,31.5,12.19,100,1.0,1.0
Rice,21.95,43.95,7.49,150,1.0,1.0
Cotton,41.02,78.99,2.75,180,1.0,2.11
Potato,38.49,62.12,10.99,100,1.0,1.0
Wheat,28.04,38.94,11.07,120,1.0,1.0
Chickpea,36.96,62.0,6.96,100,1.0,1.0
Tomato,33.35,48.08,11.69,120,1.0,1.0
Rice,31.81,54.2,15.46,150,1.0,1.0
Maize,37.25,22.85,16.19,110,1.0,1.0
Onion,42.86,69.63,2.26,130,1.0,2.59
Onion,32.34,88.62,3.41,130,1.0,1.0
Tomato,23.4,50.47,1.36,120,1.0,1.96
Sugarcane,43.37,23.28,6.36,365,1.0,3.98
Chickpea,36.23,22.47,19.8,100,1.0,1.0
Maize,28.25,36.34,14.89,110,1.0,1.0
Rice,38.98,29.64,6.54,150,1.0,3.37
Wheat,35.11,86.4,1.61,120,1.0,1.93
Rice,15.99,65.63,14.44,150,1.0,1.0
Maize,25.05,60.56,16.42,110,1.0,1.0
Potato,33.25,42.41,19.31,100,1.0,1.0
Banana,40.83,36.52,14.99,365,1.0,1.0
Wheat,44.16,76.28,15.95,120,1.0,1.0
Chickpea,34.89,44.68,2.39,100,1.0,1.6
Onion,20.39,54.3,17.29,130,1.0,1.0
Chickpea,17.35,28.93,9.58,100,1.0,1.0
Rice,31.91,79.37,18.02,150,1.0,1.0
Chickpea,39.77,67.58,13.57,100,1.0,1.0
Onion,20.09,68.1,17.62,130,1.0,1.0
Maize,18.71,38.83,18.4,110,1.0,1.0
Rice,28.49,80.85,8.55,150,1.0,1.0
Maize,28.25,85.46,4.12,110,1.0,1.0
Sugarcane,16.13,32.09,16.58,365,1.0,1.0
Potato,40.92,51.12,18.43,100,1.0,1.0
Chickpea,20.85,87.53,19.91,100,1.0,1.0
Cotton,18.92,62.88,12.34,180,1.0,1.0
Tomato,16.23,21.11,13.15,120,1.0,1.0
Rice,34.47,43.93,1.07,150,1.0,4.77
Maize,19.62,55.26,10.83,110,1.0,1.0
Onion,26.16,46.25,18.06,130,1.0,1.0
Wheat,28.95,71.37,9.7,120,1.0,1.0
Tomato,20.72,54.65,18.92,120,1.0,1.0
Tomato,40.36,78.78,13.87,120,1.0,1.0
Cotton,15.7,89.54,14.04,180,1.0,1.0
Rice,28.15,36.22,17.18,150,1.0,1.0
Chickpea,33.61,22.67,11.63,100,1.0,1.0
Rice,44.73,83.76,8.66,150,1.0,1.02
Chickpea,36.43,44.89,5.86,100,1.0,1.0
Cotton,21.74,68.24,14.79,180,1.0,1.0
Cotton,27.6,60.32,13.26,180,1.0,1.0
Cotton,33.16,39.84,7.22,180,1.0,1.0
Cotton,15.95,63.07,16.31,180,1.0,1.0
Chickpea,17.84,40.79,0.76,100,1.0,1.28
Banana,17.6,83.51,10.77,365,1.0,1.0
Cotton,20.79,28.53,12.68,180,1.0,1.0
Sugarcane,27.47,80.19,19.56,365,1.0,1.0
Tomato,38.76,35.57,9.13,120,1.0,1.0
Rice,28.15,76.69,1.06,150,1.0,2.9
Onion,25.73,49.74,15.77,130,1.0,1.0
Wheat,28.04,25.55,15.93,120,1.0,1.0
Potato,25.72,87.37,17.64,100,1.0,1.0
Sugarcane,39.74,68.24,18.67,365,1.0,1.0
Maize,26.66,34.59,2.73,110,1.0,1.87
Wheat,18.24,43.63,6.02,120,1.0,1.0
Maize,36.84,48.56,14.82,110,1.0,1.0
Cotton,42.49,43.97,0.76,180,1.0,4.31
Sugarcane,44.93,55.27,18.93,365,1.0,1.0
Banana,38.42,75.46,16.64,365,1.0,1.0
Maize,19.45,74.47,11.32,110,1.0,1.0
Maize,27.05,73.45,18.58,110,1.0,1.0
Chickpea,27.03,69.22,6.5,100,1.0,1.0
Potato,34.08,55.67,18.36,100,1.0,1.0
Cotton,30.74,41.41,6.62,180,1.0,1.0
Potato,31.84,81.37,8.28,100,1.0,1.0
Maize,38.25,49.57,7.07,110,1.0,1.0
Onion,18.65,68.43,18.65,130,1.0,1.0
Potato,17.75,45.65,11.62,100,1.0,1.0
Sugarcane,44.52,32.41,2.55,365,1.0,5.73
Banana,43.87,58.16,19.59,365,1.0,1.0
Wheat,23.42,71.07,6.93,120,1.0,1.0
Banana,25.53,25.31,1.02,365,1.0,3.76
Tomato,41.92,48.71,1.59,120,1.0,3.96
Maize,27.14,62.89,14.63,110,1.0,1.0
Wheat,30.17,51.38,15.74,120,1.0,1.0
Cotton,32.54,40.95,19.71,180,1.0,1.0
Chickpea,27.42,58.11,15.49,100,1.0,1.0
Onion,24.01,71.45,9.26,130,1.0,1.0
Onion,43.79,34.86,12.57,130,1.0,1.0
Wheat,20.05,27.48,4.59,120,1.0,1.0
Rice,29.49,66.8,6.37,150,1.0,1.0
Wheat,31.88,46.21,18.55,120,1.0,1.0
Maize,34.69,27.73,13.66,110,1.0,1.0
Chickpea,29.83,67.07,12.64,100,1.0,1.0
Cotton,31.64,84.81,10.64,180,1.0,1.0
Rice,28.79,25.49,12.27,150,1.0,1.0
Sugarcane,16.09,28.38,15.2,365,1.0,1.0
Potato,25.1,63.9,19.89,100,1.0,1.0
Tomato,32.13,75.95,19.84,120,1.0,1.0
Rice,39.42,81.4,4.96,150,1.0,2.21
Tomato,32.51,43.13,9.88,120,1.0,1.0
Potato,38.64,71.35,8.5,100,1.0,1.0
Tomato,28.53,68.38,11.67,120,1.0,1.0
Cotton,44.16,63.82,3.66,180,1.0,2.46
Onion,21.38,23.79,8.98,130,1.0,1.0
Banana,33.34,75.11,12.45,365,1.0,1.0
Chickpea,31.77,75.35,9.81,100,1.0,1.0
Tomato,22.86,87.89,13.12,120,1.0,1.0
Banana,39.66,31.55,10.24,365,1.0,1.29
Banana,20.02,74.6,6.73,365,1.0,1.0
Maize,25.54,44.06,18.61,110,1.0,1.0
Potato,19.61,75.99,14.21,100,1.0,1.0
Sugarcane,20.58,85.41,12.52,365,1.0,1.0
Cotton,23.86,56.98,12.43,180,1.0,1.0
Onion,17.31,79.76,13.2,130,1.0,1.0
Potato,26.54,51.75,15.96,100,1.0,1.0
Chickpea,42.38,80.86,9.65,100,1.0,1.0
Chickpea,42.48,29.8,14.77,100,1.0,1.0
Onion,24.39,58.83,15.35,130,1.0,1.0
Chickpea,18.86,22.19,15.16,100,1.0,1.0
Banana,15.03,69.24,11.18,365,1.0,1.0
Chickpea,17.6,58.25,6.51,100,1.0,1.0
Tomato,36.17,61.39,13.59,120,1.0,1.0
Sugarcane,44.08,31.7,6.11,365,1.0,3.9
Chickpea,19.9,71.35,5.99,100,1.0,1.0
Rice,30.61,68.89,9.02,150,1.0,1.0
Tomato,29.35,21.17,13.2,120,1.0,1.0
Maize,26.71,54.11,5.74,110,1.0,1.0
Onion,19.84,73.8,13.5,130,1.0,1.0
Onion,31.76,24.22,14.8,130,1.0,1.0
Chickpea,28.16,22.53,1.84,100,1.0,1.66
Cotton,34.57,72.91,3.45,180,1.0,1.29
Sugarcane,43.76,39.27,6.02,365,1.0,3.57
Maize,31.82,38.37,0.44,110,1.0,3.52
Potato,39.51,48.97,8.37,100,1.0,1.0
Tomato,36.11,84.05,4.36,120,1.0,1.0
Sugarcane,22.76,66.56,12.84,365,1.0,1.0
