record_id,district_code,latitude,longitude,field_id,area_m2,crop_name,crop_type,season,agro_climatic_zone,soil_n,soil_p,soil_k,soil_ph,organic_carbon,soil_texture,soil_moisture_pct,groundwater_depth_m,avg_rainfall_mm,rainfall_mm,rainfall_30d_mm,rainfall_60d_mm,rainfall_effective_mm,avg_temp_c,temperature_avg_c,humidity_pct,et0_mm,kc_value,ndvi_mean,ndvi_max,ndvi_trend,ndvi_t1,ndvi_t2,ndvi_t3,ndvi_t4,ndvi_t5,ndvi_t6,evi_t1,evi_t2,ndwi_t1,ndwi_t2,sowing_day_of_year,growth_stage,irrigation_method,recommended_crop,yield_kg,water_required_m3,season_target
16,MP035,25.07,87.07,FLD00016,18692,Rice,Cereal,Kharif,Sub-Humid,319,47,198,6.8,0.63,Clay Loam,20,9.9,1192,1055,380,667,899,28.4,28.4,76,5.2,1.12,0.6,0.68,0.018,0.55,0.56,0.55,0.62,0.68,0.64,0.46,0.47,0.3,0.29,159,Rhizome development,Sprinkler,Rice,4326,0,Kharif
17,MH048,29.22,91.7,FLD00017,12705,Rice,Cereal,Kharif,Mountain,318,29,214,6.2,0.53,Clay,21,13.0,1912,1510,457,952,1353,17.3,17.3,66,6.0,1.12,0.6,0.68,0.024,0.56,0.53,0.58,0.64,0.63,0.68,0.49,0.44,0.26,0.3,158,Tillering,Surface,Rice,3141,0,Kharif
18,HR045,17.93,84.3,FLD00018,6245,Rice,Cereal,Kharif,Humid,242,31,208,7.5,0.79,Sandy,38,8.9,1911,1636,653,1004,1407,27.6,27.6,82,5.0,1.12,0.61,0.69,0.028,0.55,0.57,0.58,0.62,0.67,0.69,0.46,0.5,0.31,0.3,153,Nut development,Sprinkler,Rice,1577,0,Kharif
19,GJ018,11.76,85.53,FLD00019,18610,Rice,Cereal,Kharif,Coastal,295,35,229,6.9,0.82,Loam,20,9.0,1465,1152,382,875,1043,29.0,29.0,74,6.3,1.12,0.61,0.67,0.02,0.57,0.52,0.59,0.63,0.67,0.67,0.49,0.44,0.33,0.28,162,Mature,Drip,Rice,4608,0,Kharif
20,PB034,16.12,81.63,FLD00020,12753,Rice,Cereal,Kharif,Semi-Arid,268,41,240,6.5,0.84,Loam,29,12.0,561,501,174,375,462,31.8,31.8,58,6.0,1.12,0.59,0.64,0.018,0.55,0.57,0.57,0.61,0.63,0.64,0.46,0.47,0.26,0.3,146,Tillering,Drip,Rice,2784,0,Kharif
21,RJ007,21.07,83.95,FLD00021,7068,Rice,Cereal,Kharif,Arid,183,46,206,6.7,0.71,Sandy Loam,21,17.5,470,397,168,270,343,30.4,30.4,47,5.9,1.12,0.6,0.67,0.03,0.52,0.53,0.58,0.62,0.66,0.67,0.45,0.45,0.36,0.29,141,Grand growth,Sprinkler,Rice,1740,0,Kharif
22,GJ049,21.37,71.2,FLD00022,17125,Rice,Cereal,Kharif,Sub-Humid,233,48,197,6.3,0.54,Sandy Loam,25,10.8,930,697,256,500,641,27.9,27.9,72,5.3,1.12,0.6,0.68,0.032,0.52,0.53,0.56,0.65,0.66,0.68,0.43,0.44,0.29,0.28,162,Flush,Sprinkler,Rice,4189,0,Kharif
23,HR019,11.19,85.85,FLD00023,14749,Rice,Cereal,Kharif,Arid,292,31,229,7.2,0.84,Loam,36,20.4,362,277,84,190,262,31.9,31.9,48,5.4,1.12,0.6,0.67,0.018,0.57,0.56,0.56,0.6,0.67,0.66,0.49,0.49,0.27,0.31,142,Vegetative,Sprinkler,Rice,3880,0,Kharif
24,GJ011,19.4,78.17,FLD00024,10260,Rice,Cereal,Kharif,Arid,264,41,233,6.4,0.95,Laterite,37,15.4,272,221,77,175,207,32.4,32.4,55,5.8,1.12,0.6,0.67,0.026,0.54,0.53,0.56,0.64,0.66,0.67,0.45,0.45,0.35,0.31,140,Flush,Sprinkler,Rice,3230,0,Kharif
25,KA020,29.46,82.18,FLD00025,8920,Rice,Cereal,Kharif,Arid,183,45,222,6.0,0.98,Sandy,34,24.5,415,380,142,282,360,33.1,33.1,52,5.4,1.12,0.59,0.67,0.02,0.54,0.52,0.55,0.63,0.67,0.64,0.45,0.45,0.35,0.3,166,Bulbing,Sprinkler,Rice,1950,0,Kharif
26,HR043,15.66,75.97,FLD00026,14616,Rice,Cereal,Kharif,Arid,305,32,227,6.9,0.67,Sandy Clay,37,18.8,488,397,130,293,339,33.4,33.4,51,5.4,1.12,0.61,0.69,0.028,0.55,0.56,0.57,0.64,0.67,0.69,0.47,0.46,0.31,0.31,164,Bearing,Drip,Rice,3692,0,Kharif
27,KA027,11.99,88.21,FLD00027,5251,Rice,Cereal,Kharif,Humid,219,30,230,7.4,0.63,Sandy Clay,32,8.2,2944,2401,963,1696,2250,28.8,28.8,82,5.9,1.12,0.59,0.64,0.016,0.55,0.53,0.58,0.61,0.64,0.63,0.48,0.46,0.33,0.27,168,Flowering,Drip,Rice,1268,0,Kharif
28,UP024,10.92,85.92,FLD00028,9806,Rice,Cereal,Kharif,Arid,290,32,201,6.9,0.77,Laterite,25,16.7,270,235,83,173,214,33.0,33.0,52,5.9,1.12,0.6,0.66,0.022,0.53,0.52,0.59,0.65,0.66,0.64,0.45,0.44,0.32,0.33,147,Flush,Drip,Rice,3046,0,Kharif
29,RJ007,26.91,73.98,FLD00029,11302,Rice,Cereal,Kharif,Humid,240,40,215,6.9,0.98,Loam,20,9.9,2548,2112,636,1632,1952,28.1,28.1,84,6.5,1.12,0.6,0.64,0.016,0.56,0.53,0.59,0.61,0.64,0.64,0.48,0.46,0.32,0.28,169,Grand growth,Drip,Rice,2925,0,Kharif
30,HR024,10.79,85.77,FLD00030,5546,Rice,Cereal,Kharif,Plateau,213,30,207,6.5,0.7,Sandy Loam,24,13.5,1024,876,382,671,770,27.5,27.5,74,6.2,1.12,0.6,0.67,0.022,0.56,0.54,0.55,0.64,0.64,0.67,0.48,0.46,0.34,0.32,155,Boll formation,Drip,Rice,1288,0,Kharif
31,AP038,15.29,72.47,FLD00031,11038,Rice,Cereal,Kharif,Arid,277,48,217,6.0,0.61,Sandy,37,18.3,406,322,99,246,278,35.5,35.5,46,5.5,1.12,0.6,0.66,0.026,0.53,0.55,0.55,0.65,0.63,0.66,0.46,0.48,0.36,0.3,153,Flowering,Sprinkler,Rice,2814,0,Kharif
32,MP018,23.1,86.67,FLD00032,15086,Rice,Cereal,Kharif,Humid,188,50,217,6.2,0.71,Sandy Loam,31,5.5,2604,2144,933,1562,2025,25.2,25.2,76,5.4,1.12,0.6,0.66,0.026,0.52,0.53,0.58,0.66,0.63,0.65,0.46,0.46,0.29,0.35,170,Flush,Surface,Rice,3517,0,Kharif
33,KA039,26.26,74.66,FLD00033,17687,Rice,Cereal,Kharif,Semi-Arid,180,36,188,7.8,0.76,Laterite,25,10.9,513,398,140,301,343,30.4,30.4,55,5.0,1.12,0.6,0.66,0.02,0.54,0.56,0.57,0.64,0.66,0.64,0.46,0.49,0.27,0.33,148,Tuber development,Sprinkler,Rice,3888,0,Kharif
34,MP028,22.87,70.62,FLD00034,12847,Rice,Cereal,Kharif,Humid,207,43,226,5.9,0.54,Sandy Clay,24,5.3,1763,1542,597,1144,1388,26.5,26.5,82,5.9,1.12,0.61,0.67,0.03,0.52,0.56,0.59,0.64,0.67,0.67,0.43,0.47,0.29,0.29,149,Tuber development,Sprinkler,Rice,3126,0,Kharif
35,AP024,11.9,78.54,FLD00035,15897,Rice,Cereal,Kharif,Plateau,219,49,230,5.9,0.9,Sandy,33,8.7,1031,940,360,674,832,29.4,29.4,68,5.5,1.12,0.61,0.66,0.02,0.56,0.56,0.6,0.63,0.65,0.66,0.47,0.48,0.28,0.26,143,Tuber development,Surface,Rice,3748,0,Kharif
36,PB050,27.79,79.52,FLD00036,12030,Rice,Cereal,Kharif,Mountain,186,47,204,5.9,0.63,Laterite,29,14.4,2337,1755,755,1251,1507,20.0,20.0,60,5.2,1.12,0.6,0.68,0.032,0.52,0.54,0.56,0.62,0.67,0.68,0.44,0.45,0.27,0.28,160,Mature,Surface,Rice,2554,0,Kharif
37,HR029,15.44,83.24,FLD00037,12957,Rice,Cereal,Kharif,Arid,286,36,197,7.3,0.55,Clay Loam,23,17.8,423,367,139,242,319,31.3,31.3,45,6.5,1.12,0.6,0.66,0.02,0.56,0.56,0.56,0.6,0.65,0.66,0.46,0.48,0.28,0.31,141,Tuber bulking,Sprinkler,Rice,3131,0,Kharif
38,MH030,17.94,84.84,FLD00038,12147,Rice,Cereal,Kharif,Arid,199,38,224,6.9,0.84,Clay Loam,29,16.2,255,240,78,189,214,32.8,32.8,46,6.0,1.12,0.59,0.65,0.024,0.53,0.55,0.57,0.62,0.64,0.65,0.45,0.46,0.32,0.27,151,Reproductive,Sprinkler,Rice,3450,0,Kharif
39,KA016,28.49,89.55,FLD00039,18417,Rice,Cereal,Kharif,Mountain,206,32,202,6.2,0.79,Laterite,22,8.4,2923,2463,947,1763,2336,22.8,22.8,80,6.3,1.12,0.59,0.65,0.018,0.56,0.55,0.55,0.6,0.65,0.65,0.47,0.45,0.3,0.29,160,Boll formation,Sprinkler,Rice,3723,0,Kharif
40,GJ040,26.63,71.53,FLD00040,19159,Rice,Cereal,Kharif,Sub-Humid,309,40,229,7.0,0.96,Clay,21,10.2,1142,1005,349,698,952,27.5,27.5,73,5.1,1.12,0.59,0.66,0.024,0.54,0.53,0.56,0.62,0.65,0.66,0.45,0.45,0.29,0.31,143,Fruiting,Sprinkler,Rice,4665,0,Kharif
41,UP007,25.78,82.95,FLD00041,6079,Rice,Cereal,Kharif,Arid,278,37,202,7.2,0.82,Sandy Clay,24,18.3,399,352,154,233,324,33.9,33.9,54,6.0,1.12,0.61,0.68,0.03,0.53,0.54,0.59,0.65,0.66,0.68,0.46,0.47,0.32,0.33,144,Fruiting,Drip,Rice,1427,0,Kharif
42,UP050,17.25,73.61,FLD00042,8509,Rice,Cereal,Kharif,Arid,304,34,198,7.8,0.57,Loam,23,20.1,388,355,153,215,315,32.0,32.0,54,6.1,1.12,0.6,0.67,0.022,0.52,0.56,0.58,0.65,0.67,0.63,0.44,0.48,0.36,0.32,144,Pod formation,Sprinkler,Rice,2055,0,Kharif
43,RJ013,20.68,76.19,FLD00043,18248,Rice,Cereal,Kharif,Semi-Arid,274,49,226,6.7,0.64,Clay Loam,36,14.2,582,531,223,333,480,29.0,29.0,60,6.0,1.12,0.59,0.66,0.022,0.55,0.55,0.55,0.6,0.63,0.66,0.47,0.48,0.27,0.35,167,Reproductive,Drip,Rice,4615,0,Kharif
44,TN025,18.3,77.93,FLD00044,11126,Rice,Cereal,Kharif,Arid,200,39,198,5.9,0.95,Laterite,30,22.9,285,215,94,149,195,35.0,35.0,52,6.1,1.12,0.59,0.66,0.028,0.51,0.53,0.55,0.65,0.66,0.65,0.44,0.44,0.28,0.29,155,Fruiting,Sprinkler,Rice,3445,148,Kharif
45,HR035,11.26,86.73,FLD00045,13189,Rice,Cereal,Kharif,Humid,184,48,235,7.0,0.84,Loam,33,5.0,1922,1533,555,1123,1386,25.3,25.3,83,6.5,1.12,0.6,0.68,0.02,0.54,0.54,0.57,0.64,0.68,0.64,0.44,0.47,0.3,0.33,142,Mature,Surface,Rice,3041,0,Kharif
46,UP035,18.29,75.15,FLD00046,5726,Rice,Cereal,Kharif,Coastal,266,48,192,7.5,0.83,Clay,35,9.8,2461,1912,778,1508,1794,28.1,28.1,73,5.3,1.12,0.61,0.67,0.02,0.57,0.55,0.6,0.63,0.64,0.67,0.47,0.46,0.33,0.34,165,Boll formation,Sprinkler,Rice,1379,0,Kharif
47,RJ025,28.68,92.79,FLD00047,17178,Rice,Cereal,Kharif,Mountain,266,33,233,7.2,0.68,Laterite,36,9.1,1238,1108,345,798,950,24.2,24.2,63,5.8,1.12,0.6,0.65,0.02,0.53,0.55,0.57,0.64,0.65,0.63,0.46,0.46,0.36,0.28,150,Grand growth,Drip,Rice,3729,0,Kharif
48,KA002,18.12,80.26,FLD00048,17286,Rice,Cereal,Kharif,Plateau,216,47,226,5.9,0.53,Laterite,31,10.5,1230,930,300,641,803,28.2,28.2,71,5.7,1.12,0.6,0.67,0.026,0.53,0.55,0.56,0.6,0.67,0.66,0.45,0.47,0.29,0.28,142,Nut development,Sprinkler,Rice,3882,0,Kharif
49,TN008,12.0,86.83,FLD00049,13047,Rice,Cereal,Kharif,Coastal,214,30,227,6.1,0.84,Sandy,30,10.0,2253,1719,655,1337,1570,30.6,30.6,81,6.1,1.12,0.59,0.67,0.018,0.54,0.52,0.55,0.61,0.67,0.63,0.46,0.44,0.34,0.32,169,Nut development,Surface,Rice,3229,0,Kharif
50,RJ034,16.19,89.99,FLD00050,16777,Rice,Cereal,Kharif,Arid,285,52,222,7.4,0.54,Loam,22,19.5,424,361,115,276,322,33.3,33.3,47,5.9,1.12,0.6,0.68,0.016,0.56,0.55,0.56,0.61,0.68,0.64,0.49,0.47,0.28,0.27,164,Flowering,Drip,Rice,4179,0,Kharif
51,PB006,11.84,81.0,FLD00051,15066,Rice,Cereal,Kharif,Coastal,308,48,191,7.0,0.78,Sandy Loam,30,11.1,1954,1481,636,912,1290,30.8,30.8,80,6.2,1.12,0.6,0.66,0.02,0.55,0.52,0.6,0.63,0.66,0.65,0.46,0.45,0.3,0.31,148,Tuber development,Surface,Rice,3505,0,Kharif
52,HR010,18.31,79.29,FLD00052,10573,Rice,Cereal,Kharif,Humid,260,50,210,7.3,0.91,Clay Loam,24,8.8,2254,1943,675,1347,1707,26.1,26.1,75,5.4,1.12,0.62,0.69,0.026,0.56,0.54,0.6,0.65,0.67,0.69,0.48,0.45,0.27,0.36,143,Rhizome development,Sprinkler,Rice,2723,0,Kharif
53,PB030,19.95,71.8,FLD00053,11442,Rice,Cereal,Kharif,Sub-Humid,241,34,215,5.9,0.64,Sandy Clay,35,9.4,854,785,286,609,698,29.2,29.2,68,6.1,1.12,0.6,0.68,0.03,0.53,0.53,0.57,0.62,0.66,0.68,0.45,0.45,0.28,0.27,151,Tuber bulking,Sprinkler,Rice,2733,0,Kharif
54,TN039,21.16,77.31,FLD00054,7363,Rice,Cereal,Kharif,Sub-Humid,310,40,234,5.9,0.52,Clay,30,12.0,1115,938,366,659,890,28.0,28.0,74,5.9,1.12,0.6,0.66,0.022,0.55,0.55,0.57,0.63,0.66,0.66,0.45,0.46,0.27,0.3,145,Grand growth,Sprinkler,Rice,1860,0,Kharif
55,RJ017,27.44,82.59,FLD00055,14779,Rice,Cereal,Kharif,Plateau,238,51,176,7.0,0.58,Clay,32,9.0,898,679,300,422,624,26.1,26.1,68,5.5,1.12,0.61,0.67,0.026,0.54,0.55,0.57,0.65,0.67,0.67,0.46,0.47,0.36,0.31,144,Tuber development,Sprinkler,Rice,3362,0,Kharif
56,UP044,19.19,80.66,FLD00056,13950,Rice,Cereal,Kharif,Semi-Arid,247,47,231,6.2,0.62,Sandy Clay,29,11.8,652,589,238,434,543,30.0,30.0,67,5.7,1.12,0.61,0.69,0.034,0.52,0.56,0.57,0.66,0.67,0.69,0.45,0.47,0.3,0.33,157,Grand growth,Drip,Rice,3612,0,Kharif
57,PB018,15.13,79.58,FLD00057,8310,Rice,Cereal,Kharif,Plateau,249,32,183,7.0,0.78,Sandy Loam,21,12.7,1193,948,317,587,818,28.0,28.0,74,5.7,1.12,0.61,0.69,0.03,0.54,0.57,0.59,0.63,0.64,0.69,0.45,0.49,0.35,0.26,161,Pod formation,Surface,Rice,1793,0,Kharif
58,KA027,24.46,88.73,FLD00058,19962,Rice,Cereal,Kharif,Plateau,225,29,220,7.4,0.59,Clay,29,14.1,659,533,208,418,480,28.0,28.0,70,5.7,1.12,0.59,0.66,0.02,0.56,0.54,0.55,0.6,0.63,0.66,0.47,0.45,0.33,0.34,160,Grain filling,Surface,Rice,4541,0,Kharif
59,MP028,13.51,87.12,FLD00059,19697,Rice,Cereal,Kharif,Semi-Arid,311,38,181,6.6,0.55,Sandy Loam,35,12.6,627,471,168,324,427,29.1,29.1,66,5.5,1.12,0.59,0.65,0.02,0.55,0.56,0.55,0.6,0.64,0.65,0.47,0.49,0.33,0.29,158,Tillering,Drip,Rice,4584,0,Kharif
60,RJ010,17.35,74.42,FLD00060,7188,Rice,Cereal,Kharif,Sub-Humid,296,51,217,6.6,0.76,Clay Loam,37,12.0,961,867,348,623,743,29.4,29.4,73,5.8,1.12,0.59,0.65,0.028,0.51,0.55,0.57,0.63,0.63,0.65,0.43,0.45,0.29,0.32,156,Reproductive,Drip,Rice,1834,0,Kharif
61,MP030,26.17,79.07,FLD00061,13409,Rice,Cereal,Kharif,Humid,194,45,229,7.1,0.65,Sandy,32,6.3,1206,1084,419,660,1028,26.4,26.4,76,5.1,1.12,0.6,0.68,0.032,0.51,0.54,0.59,0.64,0.68,0.67,0.43,0.47,0.31,0.35,141,Bearing,Sprinkler,Rice,3210,0,Kharif
62,UP008,29.28,87.49,FLD00062,7178,Rice,Cereal,Kharif,Plateau,225,45,220,6.9,0.85,Sandy Loam,20,13.3,955,804,327,550,695,28.3,28.3,67,5.3,1.12,0.61,0.68,0.022,0.57,0.56,0.55,0.65,0.65,0.68,0.5,0.46,0.27,0.26,154,Tuber bulking,Drip,Rice,1689,0,Kharif
63,MH026,24.07,70.97,FLD00063,17133,Rice,Cereal,Kharif,Plateau,292,35,239,6.2,0.91,Sandy,24,11.5,946,753,329,538,657,29.5,29.5,67,6.2,1.12,0.6,0.66,0.018,0.57,0.55,0.57,0.61,0.66,0.66,0.49,0.46,0.32,0.31,166,Grain filling,Drip,Rice,4376,0,Kharif
64,MP027,23.43,85.72,FLD00064,10222,Rice,Cereal,Kharif,Plateau,218,37,218,6.2,0.76,Sandy Loam,27,10.1,797,726,317,517,634,31.8,31.8,68,5.8,1.12,0.6,0.68,0.03,0.53,0.52,0.57,0.62,0.66,0.68,0.44,0.44,0.32,0.27,144,Tuber bulking,Drip,Rice,2217,0,Kharif
65,RJ014,30.88,88.43,FLD00065,8555,Rice,Cereal,Kharif,Mountain,265,37,171,6.2,0.59,Clay,23,13.0,2861,2668,1078,1976,2343,20.0,20.0,84,5.4,1.12,0.59,0.65,0.02,0.54,0.54,0.56,0.63,0.65,0.64,0.47,0.46,0.34,0.35,150,Flush,Sprinkler,Rice,1836,0,Kharif
66,MH017,21.25,74.43,FLD00066,7390,Rice,Cereal,Kharif,Arid,286,37,189,6.2,0.61,Sandy Clay,27,20.0,417,391,137,294,350,32.9,32.9,52,6.1,1.12,0.6,0.67,0.03,0.52,0.56,0.57,0.65,0.66,0.67,0.43,0.46,0.35,0.35,163,Nut development,Sprinkler,Rice,1574,0,Kharif
67,GJ046,18.25,86.85,FLD00067,8791,Rice,Cereal,Kharif,Arid,218,28,197,6.8,0.68,Sandy Clay,35,21.6,254,190,72,114,171,33.2,33.2,45,5.4,1.12,0.59,0.64,0.016,0.56,0.57,0.55,0.6,0.63,0.64,0.48,0.5,0.28,0.29,149,Tuber development,Drip,Rice,2726,102,Kharif
68,AP044,21.3,89.8,FLD00068,8700,Rice,Cereal,Kharif,Humid,200,48,174,6.0,0.68,Sandy Clay,35,5.3,1219,1085,338,834,1019,27.6,27.6,76,5.5,1.12,0.6,0.68,0.032,0.52,0.57,0.58,0.63,0.64,0.68,0.45,0.48,0.32,0.32,167,Flowering,Drip,Rice,2201,0,Kharif
69,MP005,10.31,74.14,FLD00069,7362,Rice,Cereal,Kharif,Sub-Humid,256,33,200,6.9,0.91,Clay,37,9.7,921,836,337,514,730,29.2,29.2,74,5.5,1.12,0.6,0.67,0.02,0.53,0.56,0.6,0.62,0.67,0.63,0.44,0.49,0.31,0.29,143,Fruiting,Sprinkler,Rice,1648,0,Kharif
70,HR019,21.72,77.6,FLD00070,17651,Rice,Cereal,Kharif,Plateau,243,50,179,6.0,0.57,Clay,24,13.2,974,800,250,630,686,28.7,28.7,64,6.1,1.12,0.59,0.65,0.018,0.54,0.55,0.57,0.6,0.65,0.63,0.46,0.46,0.3,0.29,143,Tuber development,Sprinkler,Rice,4206,0,Kharif
71,HR034,28.02,88.1,FLD00071,8977,Rice,Cereal,Kharif,Plateau,223,49,218,6.1,0.63,Loam,35,9.0,821,687,249,478,626,26.5,26.5,73,5.4,1.12,0.59,0.67,0.022,0.54,0.52,0.54,0.62,0.67,0.65,0.47,0.44,0.3,0.35,147,Tuber bulking,Surface,Rice,2243,0,Kharif
72,TN031,16.01,82.06,FLD00072,16391,Rice,Cereal,Kharif,Semi-Arid,260,33,220,7.7,0.64,Clay,35,17.7,624,508,173,384,482,29.5,29.5,64,6.4,1.12,0.61,0.67,0.022,0.55,0.55,0.6,0.63,0.67,0.66,0.46,0.47,0.34,0.34,146,Pod formation,Drip,Rice,3933,0,Kharif
73,KA046,22.67,74.84,FLD00073,15791,Rice,Cereal,Kharif,Semi-Arid,288,40,179,6.7,0.79,Sandy Clay,32,14.3,714,613,256,411,527,31.6,31.6,56,5.8,1.12,0.6,0.68,0.024,0.55,0.54,0.58,0.6,0.68,0.67,0.46,0.47,0.35,0.3,160,Bulbing,Drip,Rice,3395,0,Kharif
74,HR015,20.21,80.38,FLD00074,14511,Rice,Cereal,Kharif,Semi-Arid,294,39,220,6.7,0.83,Clay,36,11.2,512,433,149,339,383,28.3,28.3,57,6.2,1.12,0.6,0.67,0.026,0.54,0.53,0.57,0.63,0.65,0.67,0.45,0.44,0.34,0.28,163,Boll formation,Drip,Rice,3517,0,Kharif
75,TN034,26.0,88.6,FLD00075,17132,Rice,Cereal,Kharif,Plateau,224,45,190,6.5,0.7,Clay Loam,27,13.6,1294,1018,403,698,925,26.2,26.2,69,5.9,1.12,0.6,0.67,0.03,0.51,0.53,0.56,0.64,0.67,0.66,0.44,0.45,0.31,0.28,146,Rhizome development,Drip,Rice,3769,0,Kharif
