N,P,K,temperature,humidity,ph,rainfall,label
101.97,28.64,36.08,28.31,78.6,6.12,679.5,Rice
94.64,37.09,30.45,27.4,78.49,6.13,774.9,Rice
97.48,31.37,37.17,28.95,83.48,6.23,898.1,Rice
99.3,35.03,29.86,29.48,81.57,6.19,904.9,Rice
115.54,29.81,36.46,25.35,73.8,6.2,1391.6,Rice
93.05,34.32,31.51,29.1,77.36,6.33,891.2,Rice
111.4,35.36,31.38,26.99,78.63,6.2,747.8,Rice
106.96,33.41,34.59,28.33,83.67,6.19,956.8,Rice
105.49,33.24,36.03,24.58,82.5,6.07,971.1,Rice
89.32,34.76,35.22,26.2,83.22,6.33,817.5,Rice
96.89,35.39,37.08,27.6,80.23,6.04,768.6,Rice
102.72,33.47,35.32,27.7,79.61,6.14,837.4,Rice
101.95,37.2,37.51,29.67,80.73,6.37,789.8,Rice
92.21,35.07,29.33,27.99,80.99,6.21,1076.6,Rice
89.07,36.9,34.38,29.03,80.18,6.08,609.0,Rice
97.81,33.4,30.14,29.22,82.85,6.12,972.1,Rice
81.24,35.53,35.43,26.97,83.34,6.33,1095.4,Rice
96.9,33.46,31.08,30.48,82.47,6.19,1125.6,Rice
115.84,35.56,32.29,26.44,81.0,6.45,902.3,Rice
87.95,40.0,39.7,25.77,76.61,6.33,994.5,Rice
80.0,34.31,40.0,25.99,79.34,6.17,838.4,Rice
115.53,35.62,33.88,28.99,78.79,6.17,876.7,Rice
101.33,36.13,33.47,28.76,84.17,6.18,556.7,Rice
93.87,40.0,35.47,30.47,81.96,6.17,887.8,Rice
89.27,29.68,35.31,29.06,80.94,6.14,971.1,Rice
95.56,31.9,34.39,27.96,77.85,6.08,971.6,Rice
104.06,35.53,36.42,25.03,79.09,6.2,796.6,Rice
101.27,38.62,34.46,27.83,81.08,6.01,798.1,Rice
101.22,32.65,34.49,30.26,79.51,6.21,958.1,Rice
93.16,37.73,32.19,26.1,80.49,6.29,1117.3,Rice
92.72,38.78,36.9,28.97,80.45,6.25,923.2,Rice
99.85,35.37,30.92,28.33,78.34,6.26,910.6,Rice
105.59,37.56,34.84,26.21,77.73,5.98,804.7,Rice
96.04,35.55,36.05,29.97,80.04,6.16,934.1,Rice
112.45,34.04,31.84,26.43,74.97,6.22,1097.5,Rice
84.19,31.65,36.71,25.64,75.8,6.05,775.8,Rice
89.62,34.63,36.5,26.95,76.55,6.2,1128.0,Rice
100.13,38.09,35.79,27.4,81.64,6.15,1103.5,Rice
90.41,33.88,32.9,30.93,81.01,6.65,878.2,Rice
97.45,31.34,32.82,27.21,80.05,6.27,841.3,Rice
86.15,32.78,39.05,26.97,85.62,6.09,1079.3,Rice
101.95,31.47,40.0,26.22,81.63,6.1,918.7,Rice
107.01,35.17,30.8,28.08,78.38,6.24,1075.1,Rice
104.69,40.0,40.0,26.97,78.88,6.03,704.3,Rice
98.86,40.0,34.68,27.13,80.29,6.15,1070.4,Rice
90.67,34.17,40.0,29.34,79.78,6.17,921.4,Rice
95.51,39.35,30.88,27.48,84.18,6.33,567.1,Rice
99.28,34.48,37.47,22.32,75.4,5.98,896.9,Rice
98.23,31.44,33.8,26.48,80.59,6.09,635.1,Rice
97.46,35.14,34.12,27.91,76.25,6.12,1030.5,Rice
87.29,38.48,34.58,30.07,80.65,6.09,1078.1,Rice
93.87,31.73,34.46,27.68,77.57,6.29,947.1,Rice
104.02,32.57,38.91,25.93,76.21,5.89,854.8,Rice
86.76,35.56,34.42,30.31,81.41,6.16,1012.2,Rice
106.57,37.26,32.67,26.66,75.13,6.34,814.9,Rice
134.75,33.51,37.14,20.23,65.85,6.89,460.4,Wheat
147.05,42.77,43.48,19.98,66.84,6.82,296.9,Wheat
135.98,37.3,36.78,20.0,69.64,6.71,309.7,Wheat
125.77,35.29,37.72,21.0,64.91,6.71,306.5,Wheat
109.8,45.21,41.66,17.4,65.11,6.72,250.6,Wheat
119.19,36.36,35.78,19.16,61.55,6.71,461.4,Wheat
109.4,37.92,37.27,18.53,66.15,6.62,386.3,Wheat
140.93,40.96,41.9,16.9,63.43,6.74,396.7,Wheat
118.26,42.07,35.91,20.69,61.27,6.84,341.2,Wheat
123.73,47.76,38.34,19.46,58.38,6.86,294.0,Wheat
126.08,34.26,41.68,19.25,62.19,6.95,307.4,Wheat
128.25,31.77,36.66,20.08,65.85,7.05,325.6,Wheat
143.61,38.44,44.39,22.05,67.88,6.99,291.4,Wheat
110.53,43.93,38.61,19.97,63.61,6.71,350.3,Wheat
125.69,40.98,39.69,19.11,66.89,6.68,566.6,Wheat
132.82,40.75,41.9,20.76,62.84,6.72,406.8,Wheat
123.81,40.68,37.09,21.09,67.2,6.78,321.6,Wheat
118.48,45.16,46.87,22.37,65.08,6.87,318.0,Wheat
131.19,39.52,39.22,22.11,65.4,6.8,320.1,Wheat
127.92,39.75,35.12,19.96,62.27,6.82,418.8,Wheat
132.49,41.12,39.6,20.5,60.28,6.91,364.1,Wheat
124.21,35.98,40.53,19.46,62.44,6.84,249.8,Wheat
128.22,36.62,36.26,18.23,71.91,6.89,365.8,Wheat
122.19,37.66,32.53,18.8,61.66,6.76,389.0,Wheat
127.16,37.67,43.73,19.54,65.54,6.72,337.5,Wheat
129.09,41.32,39.31,20.26,64.08,6.75,432.3,Wheat
118.36,39.02,41.79,18.92,67.82,6.67,375.9,Wheat
121.75,38.42,37.63,21.8,67.92,6.73,302.6,Wheat
116.85,46.1,31.04,20.69,61.99,6.61,375.1,Wheat
116.89,39.72,42.51,19.7,63.03,7.0,447.8,Wheat
128.23,39.33,39.26,19.98,63.33,6.75,347.5,Wheat
136.65,40.87,34.89,20.34,65.4,6.67,267.7,Wheat
117.92,37.58,36.08,19.1,65.68,6.76,389.6,Wheat
128.48,37.99,35.84,19.82,64.37,6.71,333.1,Wheat
125.41,40.52,42.11,19.96,67.14,6.9,306.1,Wheat
113.72,43.62,33.72,22.15,67.09,6.76,378.3,Wheat
114.94,40.62,40.54,19.02,68.85,6.77,432.4,Wheat
122.93,41.67,37.52,18.76,63.45,6.85,344.4,Wheat
132.61,42.35,44.16,21.08,66.88,6.74,424.2,Wheat
106.7,41.17,37.3,20.48,66.27,6.77,404.0,Wheat
119.82,40.67,35.38,20.06,60.95,6.76,290.7,Wheat
119.4,34.33,34.36,19.52,64.02,6.64,280.3,Wheat
132.58,44.47,41.65,19.51,67.44,6.77,455.0,Wheat
124.51,33.32,37.63,21.04,63.4,6.67,451.6,Wheat
135.23,40.83,41.16,22.05,68.11,6.74,303.6,Wheat
124.82,40.06,44.29,18.64,66.08,6.73,304.0,Wheat
135.03,37.15,44.59,20.42,61.64,6.77,385.6,Wheat
110.58,46.76,35.49,19.21,67.75,6.77,303.2,Wheat
121.88,35.81,43.38,20.96,64.22,6.98,299.1,Wheat
111.27,43.12,34.24,19.42,62.3,6.87,386.1,Wheat
132.24,41.18,42.51,21.31,64.11,6.73,327.4,Wheat
133.99,45.53,44.08,21.27,60.72,7.0,288.3,Wheat
119.73,38.3,41.66,21.01,61.41,6.81,398.1,Wheat
128.93,38.69,37.36,19.08,65.68,6.69,406.4,Wheat
123.17,41.62,35.8,20.59,63.02,6.7,354.5,Wheat
133.28,47.21,38.45,20.21,63.76,6.69,288.3,Wheat
115.96,46.18,44.65,20.58,63.42,6.91,397.2,Wheat
121.84,31.06,43.7,20.23,67.59,6.86,344.1,Wheat
128.88,41.15,50.0,19.8,65.41,6.93,434.0,Wheat
131.26,42.97,34.59,21.21,67.87,6.86,354.7,Wheat
128.67,42.57,35.66,19.79,62.09,6.88,303.8,Wheat
127.97,33.77,43.43,19.44,65.31,6.79,463.4,Wheat
126.24,40.11,42.22,18.5,66.43,6.94,314.2,Wheat
121.37,41.48,39.76,18.59,64.53,6.77,338.7,Wheat
103.8,39.98,40.72,20.26,62.86,6.58,424.5,Wheat
108.85,39.4,41.05,17.89,63.75,6.83,348.0,Wheat
111.55,46.38,42.67,19.03,65.53,6.65,505.6,Wheat
122.96,40.05,37.4,18.7,68.27,6.71,416.4,Wheat
131.75,45.07,35.78,20.94,63.54,6.88,456.8,Wheat
125.35,32.86,39.13,19.93,64.04,6.53,419.4,Wheat
122.52,45.15,42.84,19.43,68.06,6.7,335.5,Wheat
127.36,42.55,37.28,20.96,64.98,6.78,239.3,Wheat
138.61,35.76,31.07,21.02,67.57,6.66,337.7,Wheat
119.41,35.8,31.2,18.59,67.93,6.65,376.2,Wheat
133.66,40.0,41.96,19.87,62.19,6.66,333.5,Wheat
132.74,30.0,44.44,19.41,70.21,6.79,359.0,Wheat
116.24,43.49,37.42,21.55,66.9,6.88,412.3,Wheat
128.0,31.87,37.79,21.13,61.96,6.77,421.5,Wheat
129.63,44.55,45.42,21.5,65.5,6.86,291.3,Wheat
120.61,42.95,41.77,21.91,64.99,6.64,371.5,Wheat
121.49,45.65,39.01,18.28,66.12,6.82,228.9,Wheat
110.97,44.32,49.48,17.6,67.17,6.83,317.2,Wheat
139.11,34.6,47.83,21.83,62.15,6.72,289.7,Wheat
123.38,38.39,44.67,19.27,64.98,6.74,418.5,Wheat
113.2,33.12,37.09,20.36,65.13,6.62,394.4,Wheat
111.12,35.06,42.86,18.31,65.04,6.68,351.0,Wheat
117.29,41.26,40.62,18.72,66.02,6.76,282.5,Wheat
139.7,39.21,32.1,20.63,64.8,6.73,329.6,Wheat
135.17,39.67,43.0,20.82,66.14,6.74,329.0,Wheat
145.02,41.91,43.0,19.08,64.03,6.8,414.0,Wheat
123.91,39.69,40.81,21.34,64.04,6.66,344.1,Wheat
125.66,37.45,36.28,17.74,63.94,6.55,299.5,Wheat
108.18,37.31,43.02,19.29,64.33,6.77,365.9,Wheat
124.55,37.77,50.0,19.74,63.91,6.6,440.7,Wheat
116.26,46.22,37.49,20.45,67.72,6.83,360.0,Wheat
131.83,35.64,40.73,18.87,63.21,6.87,314.2,Wheat
150.0,39.77,36.63,18.84,68.86,6.99,371.4,Wheat
142.5,35.95,44.41,21.58,64.6,6.73,471.2,Wheat
122.85,30.0,41.66,20.43,60.94,6.79,388.7,Wheat
121.94,36.17,35.97,20.37,63.86,6.74,379.2,Wheat
196.91,66.89,80.82,29.6,82.99,6.87,957.0,Sugarcane
180.55,59.75,77.14,28.79,81.25,7.09,920.1,Sugarcane
197.23,68.19,95.63,27.08,81.88,6.66,1381.0,Sugarcane
175.9,55.97,76.67,28.05,83.07,6.65,992.1,Sugarcane
230.13,56.97,86.76,30.93,78.27,6.87,1000.3,Sugarcane
182.5,74.66,78.16,31.12,78.78,6.73,989.2,Sugarcane
182.02,54.24,82.18,26.8,80.21,6.77,1257.9,Sugarcane
189.75,52.05,72.93,28.13,83.57,6.77,1106.5,Sugarcane
206.69,59.25,76.39,28.02,79.76,6.96,1299.3,Sugarcane
225.82,66.58,73.69,29.45,85.88,6.49,924.0,Sugarcane
195.27,51.15,75.55,27.29,74.44,6.86,1234.7,Sugarcane
191.62,80.0,66.74,26.32,81.69,6.87,1106.4,Sugarcane
185.3,54.87,81.05,28.81,80.93,7.09,1062.9,Sugarcane
230.08,62.63,69.98,28.05,78.51,6.9,1288.3,Sugarcane
215.42,61.75,84.04,27.39,81.62,7.0,983.4,Sugarcane
150.38,55.89,92.14,30.61,80.25,6.81,1143.5,Sugarcane
211.58,52.17,85.29,30.22,77.71,6.9,1013.9,Sugarcane
191.59,55.77,76.29,28.69,81.03,6.92,1274.0,Sugarcane
212.74,50.23,81.81,27.35,78.55,6.63,762.0,Sugarcane
194.09,48.21,84.1,30.05,81.46,6.85,780.8,Sugarcane
199.1,64.2,85.77,27.11,79.85,6.59,861.8,Sugarcane
212.93,63.17,71.8,26.02,79.78,6.96,826.0,Sugarcane
169.97,48.31,88.96,27.94,76.85,6.89,865.8,Sugarcane
225.0,62.77,78.79,28.42,79.75,7.27,958.2,Sugarcane
150.0,54.92,73.37,29.77,79.89,6.84,959.0,Sugarcane
178.83,55.79,73.92,28.97,82.68,6.7,1112.7,Sugarcane
201.64,66.67,80.96,26.96,77.33,6.8,1135.8,Sugarcane
218.43,56.98,98.59,27.86,78.84,6.8,1244.6,Sugarcane
158.72,65.41,80.53,28.38,80.37,6.83,1181.8,Sugarcane
209.89,55.22,83.37,28.73,84.69,7.05,803.9,Sugarcane
235.67,59.19,73.04,25.8,77.93,6.73,1000.7,Sugarcane
223.02,61.22,86.65,32.07,82.18,6.95,1147.9,Sugarcane
201.47,71.14,75.72,28.35,77.95,6.37,1049.6,Sugarcane
223.48,44.65,82.58,27.12,83.57,6.61,1678.0,Sugarcane
196.22,60.24,85.39,25.54,75.68,6.72,1165.7,Sugarcane
229.73,47.01,70.2,29.15,83.76,6.77,1237.0,Sugarcane
205.21,50.01,97.4,32.21,80.54,6.48,879.1,Sugarcane
242.62,46.91,75.56,26.37,82.02,6.9,1021.1,Sugarcane
198.11,78.38,93.11,24.62,80.88,6.61,1283.3,Sugarcane
213.24,60.81,84.42,27.72,85.59,6.62,1122.0,Sugarcane
214.63,48.97,90.38,25.38,80.02,6.88,1156.9,Sugarcane
153.06,54.15,72.78,29.57,83.72,6.98,714.8,Sugarcane
203.27,48.94,77.0,28.44,80.23,6.44,1300.4,Sugarcane
220.12,61.46,92.45,30.13,80.16,6.54,977.5,Sugarcane
176.01,50.8,80.97,30.28,80.13,6.69,1357.3,Sugarcane
194.89,63.74,82.58,28.79,82.74,6.86,1212.9,Sugarcane
211.66,51.43,85.75,29.29,79.89,6.68,1453.6,Sugarcane
167.48,60.21,76.46,26.34,82.09,6.62,877.1,Sugarcane
214.13,45.53,73.64,29.82,81.66,6.54,1072.1,Sugarcane
220.53,68.31,73.91,32.05,81.13,7.13,1188.5,Sugarcane
180.39,64.22,82.21,28.2,84.55,6.76,749.2,Sugarcane
229.24,75.24,98.41,27.66,77.21,6.67,959.6,Sugarcane
228.84,67.72,77.75,28.07,79.42,6.65,1075.5,Sugarcane
192.31,54.97,69.37,30.15,81.71,6.96,1400.8,Sugarcane
205.71,57.3,68.99,27.9,77.91,6.88,987.5,Sugarcane
210.58,63.35,88.07,26.26,79.17,6.79,853.6,Sugarcane
214.9,56.44,87.04,27.54,82.3,6.98,1106.8,Sugarcane
207.45,57.06,88.85,29.77,80.99,6.74,1032.8,Sugarcane
207.08,60.24,91.2,27.01,79.12,6.91,905.5,Sugarcane
194.32,49.48,70.1,27.22,81.9,6.94,945.3,Sugarcane
188.38,56.83,91.91,25.65,80.18,7.21,952.5,Sugarcane
181.74,67.78,86.76,26.11,78.35,6.86,1204.7,Sugarcane
193.52,57.78,71.7,27.29,83.56,6.97,1024.0,Sugarcane
188.94,53.12,69.35,28.17,79.09,6.72,1017.9,Sugarcane
185.29,46.38,76.17,25.57,83.94,7.02,1111.5,Sugarcane
217.42,55.89,73.74,27.67,79.42,7.04,954.7,Sugarcane
195.46,66.18,80.41,25.83,79.81,6.97,1138.5,Sugarcane
206.66,61.49,69.44,26.34,79.99,6.65,919.2,Sugarcane
203.77,50.95,80.97,25.43,81.4,6.7,1000.1,Sugarcane
190.81,66.75,70.61,27.52,78.71,6.83,960.3,Sugarcane
181.47,60.93,88.1,29.03,83.15,6.42,1058.4,Sugarcane
191.29,53.36,75.65,27.66,78.44,6.72,1487.4,Sugarcane
203.55,63.57,76.29,27.09,82.36,6.87,1103.7,Sugarcane
184.27,53.68,76.15,29.41,77.25,6.62,1409.5,Sugarcane
226.4,63.7,82.18,29.13,81.38,6.74,760.7,Sugarcane
198.59,65.1,86.0,29.0,83.14,6.63,1248.4,Sugarcane
199.98,55.61,80.29,27.22,82.41,7.0,864.9,Sugarcane
200.65,68.21,61.09,25.9,79.9,6.89,1177.6,Sugarcane
180.43,61.74,80.99,28.1,78.01,6.9,929.6,Sugarcane
219.26,59.36,66.38,27.16,79.64,6.89,1237.7,Sugarcane
194.77,58.05,70.13,28.84,79.93,6.82,1489.9,Sugarcane
250.0,52.96,82.3,28.79,77.64,6.62,650.9,Sugarcane
190.25,57.24,69.02,28.5,81.14,6.67,965.8,Sugarcane
206.77,58.07,89.76,26.75,83.35,6.94,991.2,Sugarcane
154.7,58.46,76.77,31.07,79.02,7.09,1209.8,Sugarcane
188.7,56.39,65.42,28.19,76.4,6.88,1072.3,Sugarcane
220.54,49.17,83.37,28.58,79.27,6.78,1086.7,Sugarcane
192.52,66.78,77.81,31.1,80.06,6.94,1347.1,Sugarcane
207.63,58.18,82.25,26.77,79.64,6.57,1052.4,Sugarcane
237.29,54.5,88.95,26.1,78.88,6.77,928.0,Sugarcane
202.74,61.88,71.33,30.53,83.33,6.87,1147.1,Sugarcane
190.48,65.84,77.37,27.23,78.5,6.74,668.6,Sugarcane
217.33,55.76,91.66,28.26,83.49,6.88,1071.7,Sugarcane
229.85,72.32,80.72,30.19,73.48,6.84,1052.4,Sugarcane
208.46,59.55,76.31,26.56,84.56,6.94,1170.2,Sugarcane
199.51,58.98,79.8,26.86,77.91,6.89,1264.7,Sugarcane
216.77,53.84,65.38,28.71,80.57,6.9,1269.9,Sugarcane
234.23,58.27,84.04,27.87,80.99,6.49,1121.2,Sugarcane
178.26,54.33,65.55,27.17,78.29,6.58,1091.2,Sugarcane
183.26,76.1,85.75,30.02,79.21,6.8,841.0,Sugarcane
81.81,40.0,33.36,27.64,64.23,6.8,669.1,Cotton
103.61,30.79,25.09,27.03,64.34,6.81,449.5,Cotton
91.05,31.16,30.39,25.92,61.93,7.07,496.2,Cotton
97.37,27.6,32.85,26.42,69.01,7.21,549.2,Cotton
72.99,29.38,33.66,26.32,59.47,6.76,427.0,Cotton
94.75,27.6,41.13,26.96,63.19,6.75,647.5,Cotton
115.43,23.08,33.99,26.85,62.86,7.24,605.1,Cotton
97.4,28.58,34.26,25.8,65.95,7.28,539.9,Cotton
96.8,34.17,38.15,26.84,62.45,6.9,541.4,Cotton
83.18,26.13,35.69,28.79,71.74,7.09,663.4,Cotton
79.85,26.92,36.71,25.18,67.89,7.27,501.7,Cotton
100.16,32.05,33.55,28.25,55.42,6.84,532.5,Cotton
81.16,29.52,34.83,27.52,69.42,7.1,459.8,Cotton
93.61,23.12,35.29,27.95,72.28,6.75,593.3,Cotton
90.49,30.39,38.67,28.44,58.76,7.2,700.8,Cotton
84.44,27.1,34.45,26.54,65.06,6.99,667.7,Cotton
78.96,31.66,34.73,27.58,66.09,6.94,558.5,Cotton
88.03,29.76,38.47,27.64,59.69,7.14,593.3,Cotton
94.68,32.04,41.66,26.34,63.94,6.99,442.9,Cotton
98.24,32.66,34.4,26.63,67.64,6.8,470.3,Cotton
69.33,29.62,33.92,27.6,62.25,6.86,456.0,Cotton
101.34,28.63,32.21,27.33,64.95,6.86,513.1,Cotton
80.9,22.98,36.71,27.13,65.43,7.0,486.6,Cotton
77.49,29.59,42.31,27.48,65.18,6.84,651.7,Cotton
108.85,31.72,31.85,28.42,66.06,7.29,419.7,Cotton
79.17,35.96,36.12,27.43,67.21,7.08,472.9,Cotton
87.87,27.8,32.95,26.62,68.56,7.04,548.3,Cotton
96.41,32.6,42.9,25.16,64.18,6.98,492.2,Cotton
92.55,26.03,34.94,27.49,67.85,6.58,573.0,Cotton
65.5,40.0,39.62,27.49,71.84,7.17,611.2,Cotton
70.37,32.4,39.79,27.71,59.78,7.2,562.5,Cotton
120.0,33.43,31.85,26.44,68.9,7.22,457.6,Cotton
104.39,38.94,35.04,27.21,66.82,7.05,618.6,Cotton
92.19,35.99,31.57,28.49,59.13,7.25,653.5,Cotton
85.7,32.73,37.01,27.51,66.59,7.18,597.0,Cotton
86.05,27.86,40.72,28.49,69.17,6.9,740.2,Cotton
88.28,21.39,31.24,28.38,69.6,7.13,729.5,Cotton
93.1,30.0,36.5,26.97,66.72,6.86,414.6,Cotton
60.0,33.49,31.91,25.8,68.12,6.94,421.8,Cotton
76.87,29.08,32.8,29.28,68.11,7.18,493.5,Cotton
88.59,31.87,38.4,26.81,60.5,7.07,577.6,Cotton
90.33,32.25,34.15,27.59,63.66,6.95,462.5,Cotton
107.25,28.87,28.63,26.9,67.91,7.11,609.2,Cotton
99.33,27.0,36.47,26.06,60.85,7.1,468.2,Cotton
101.38,28.56,38.76,25.06,65.36,7.32,401.5,Cotton
112.92,27.04,38.18,26.88,69.01,7.16,482.2,Cotton
97.57,29.16,33.53,26.08,68.74,7.3,592.0,Cotton
78.64,22.17,33.22,24.31,66.17,7.08,536.0,Cotton
79.1,21.41,34.89,27.62,59.85,7.25,561.1,Cotton
82.61,40.0,33.95,27.25,63.25,7.01,658.4,Cotton
116.35,31.28,34.23,25.99,67.34,6.98,502.9,Cotton
96.34,31.27,29.56,25.64,64.47,6.62,524.5,Cotton
79.39,38.46,31.63,26.44,64.36,6.72,468.9,Cotton
100.26,26.58,38.09,26.72,64.37,6.89,499.5,Cotton
78.35,38.15,37.03,26.52,67.31,6.77,610.3,Cotton
103.71,29.4,33.28,27.48,63.58,6.96,671.5,Cotton
81.55,25.01,37.88,27.35,67.29,7.07,733.1,Cotton
65.93,32.08,30.66,27.62,67.61,7.02,541.2,Cotton
70.15,32.57,35.47,28.25,59.05,7.23,468.8,Cotton
80.77,28.88,42.37,25.13,64.84,7.26,491.5,Cotton
111.79,26.83,33.07,28.45,71.54,7.17,663.5,Cotton
101.58,32.71,39.45,29.54,63.45,6.96,610.6,Cotton
102.23,36.91,35.88,27.02,64.52,6.98,720.2,Cotton
89.07,29.89,42.23,25.82,73.84,6.98,578.2,Cotton
97.78,29.94,39.48,25.91,58.98,6.87,522.3,Cotton
88.72,32.14,31.77,25.91,61.06,6.72,505.1,Cotton
103.98,24.95,28.85,26.85,70.66,7.53,626.4,Cotton
106.53,35.85,30.73,27.58,60.39,7.19,617.6,Cotton
72.77,33.1,34.95,25.86,66.75,6.95,553.7,Cotton
81.58,23.15,33.49,28.64,62.02,6.98,547.3,Cotton
69.33,30.76,36.65,27.71,67.01,7.21,740.8,Cotton
106.53,29.11,36.49,25.66,69.69,7.12,399.4,Cotton
98.13,27.87,42.51,24.4,66.33,6.93,771.7,Cotton
100.9,21.96,34.98,26.18,67.05,7.36,470.0,Cotton
98.41,33.68,32.55,26.15,70.22,6.79,624.0,Cotton
84.51,29.74,34.71,26.67,71.03,6.92,533.2,Cotton
98.7,27.28,31.98,28.27,64.23,7.23,520.1,Cotton
110.41,32.19,40.6,26.3,63.05,6.84,585.6,Cotton
98.55,27.95,33.72,27.5,62.29,7.13,421.3,Cotton
83.8,40.0,26.49,25.44,71.47,6.86,513.2,Cotton
81.4,27.63,36.64,26.9,63.11,7.41,628.1,Cotton
100.01,29.35,34.1,27.72,63.06,7.09,545.6,Cotton
89.41,29.55,34.34,26.49,61.53,7.28,499.2,Cotton
91.11,28.09,29.69,26.39,70.03,6.89,574.4,Cotton
85.98,30.91,33.35,26.87,63.23,6.92,481.9,Cotton
104.56,31.86,40.95,26.89,65.98,6.98,539.3,Cotton
85.61,35.97,35.1,29.09,61.22,7.16,570.7,Cotton
97.71,29.69,33.18,26.96,67.61,7.19,533.9,Cotton
93.03,28.19,41.96,26.17,70.44,7.02,570.4,Cotton
100.05,24.08,29.31,29.02,68.65,6.87,458.3,Cotton
87.76,24.13,40.13,27.59,60.05,7.15,591.7,Cotton
86.06,32.2,34.17,25.48,67.42,6.98,685.1,Cotton
100.65,29.39,35.75,25.99,58.7,7.08,525.6,Cotton
100.4,28.3,29.22,27.19,60.31,6.99,579.6,Cotton
87.3,34.87,38.32,27.01,68.32,6.7,584.3,Cotton
77.0,31.34,34.9,26.52,63.35,7.13,538.3,Cotton
89.28,30.98,40.66,26.21,66.5,7.06,508.2,Cotton
97.58,28.1,35.66,25.08,65.09,6.64,435.6,Cotton
89.92,34.58,37.94,26.18,62.91,7.0,541.6,Cotton
64.1,29.13,36.01,27.25,68.91,6.78,564.4,Cotton
61.97,24.69,28.56,30.05,88.73,6.03,726.0,Jute
58.53,20.38,29.36,30.76,90.31,6.3,630.6,Jute
56.26,23.52,28.76,31.19,89.24,6.19,934.4,Jute
56.26,19.11,33.51,30.92,87.95,6.19,1130.2,Jute
43.21,27.34,32.64,29.59,89.89,6.04,980.2,Jute
57.62,20.72,27.7,30.9,91.29,6.27,1232.6,Jute
59.8,30.0,29.14,30.08,88.57,6.08,974.6,Jute
66.47,24.98,27.47,29.21,86.59,6.04,1037.0,Jute
55.34,22.47,33.7,31.9,89.69,6.13,1251.5,Jute
53.37,27.09,31.85,28.3,90.29,6.16,1071.2,Jute
44.65,23.7,35.0,30.58,87.96,6.2,1050.2,Jute
55.26,24.48,32.22,31.08,87.67,6.2,754.7,Jute
62.96,29.83,33.62,29.83,86.41,6.42,1146.4,Jute
73.97,25.75,27.64,28.46,86.47,6.22,1186.0,Jute
59.58,24.96,34.18,30.51,86.43,6.18,1154.4,Jute
49.94,20.87,26.86,31.07,89.67,6.2,702.3,Jute
64.56,22.09,29.75,28.48,91.0,6.23,738.3,Jute
