crop,temperature,humidity,rainfall,area,water_requirement
Apple,18.87,53.49,8.46,1.0,1.21
Apple,30.41,23.77,0.08,1.0,1.51
Apple,30.46,21.49,4.33,1.0,1.52
Apple,17.66,76.21,3.8,1.0,1.07
Apple,20.38,25.25,4.12,1.0,1.4
Apple,23.5,60.49,2.05,1.0,1.21
Apple,36.05,42.58,6.77,1.0,1.43
Apple,26.51,63.39,2.27,1.0,1.21
Apple,31.22,36.93,1.05,1.0,1.43
Apple,32.25,20.52,2.74,1.0,1.55
Apple,38.0,41.42,3.19,1.0,1.45
Apple,37.65,61.9,1.11,1.0,1.31
Apple,18.17,83.82,0.5,1.0,1.02
Apple,29.85,70.49,3.58,1.0,1.19
Apple,31.68,37.12,2.25,1.0,1.43
Apple,16.11,61.32,5.56,1.0,1.14
Apple,24.78,41.8,11.95,1.0,1.34
Apple,18.82,77.42,13.5,1.0,1.07
Apple,39.6,29.16,9.33,1.0,1.55
Apple,16.87,36.67,10.17,1.0,1.3
Apple,39.53,51.93,5.69,1.0,1.39
Apple,18.97,60.98,9.55,1.0,1.17
Apple,23.77,79.11,12.51,1.0,1.09
Apple,29.55,50.35,5.16,1.0,1.32
Apple,23.12,62.67,8.64,1.0,1.19
Apple,25.99,65.45,3.21,1.0,1.2
Apple,15.09,59.12,7.24,1.0,1.15
Apple,23.51,77.01,13.31,1.0,1.1
Apple,38.4,75.56,3.82,1.0,1.22
Apple,22.19,72.49,2.5,1.0,1.12
Apple,17.96,30.93,8.64,1.0,1.35
Apple,16.19,53.0,2.5,1.0,1.2
Apple,31.12,85.34,11.36,1.0,1.1
Apple,24.26,46.61,4.49,1.0,1.3
Apple,30.01,71.54,13.34,1.0,1.19
Apple,37.54,36.58,13.63,1.0,1.48
Apple,24.81,82.84,0.29,1.0,1.07
Apple,20.06,34.9,0.03,1.0,1.34
Apple,38.78,29.42,12.18,1.0,1.55
Apple,38.59,54.22,3.38,1.0,1.37
Apple,33.41,70.47,13.64,1.0,1.22
Apple,33.21,46.16,1.94,1.0,1.38
Apple,31.7,30.77,5.37,1.0,1.47
Apple,36.06,32.53,12.12,1.0,1.5
Apple,24.82,51.32,12.82,1.0,1.28
Arecanut,33.89,87.9,0.62,1.0,1.1
Arecanut,27.5,83.01,8.89,1.0,1.09
Arecanut,22.94,51.72,12.83,1.0,1.26
Arecanut,33.91,55.94,4.01,1.0,1.32
Arecanut,27.93,65.17,1.12,1.0,1.21
Arecanut,38.37,30.86,7.3,1.0,1.53
Arecanut,35.02,67.46,2.85,1.0,1.25
Arecanut,16.98,70.72,4.09,1.0,1.09
Arecanut,20.99,23.93,14.83,1.0,1.42
Arecanut,19.69,69.45,8.09,1.0,1.12
Arecanut,35.52,49.38,4.37,1.0,1.38
Arecanut,16.22,32.96,4.17,1.0,1.32
Arecanut,26.38,34.43,13.93,1.0,1.4
Arecanut,36.89,64.63,8.89,1.0,1.28
Arecanut,38.19,27.21,7.63,1.0,1.56
Arecanut,39.64,42.7,3.86,1.0,1.46
Arecanut,17.66,65.65,7.3,1.0,1.13
Arecanut,39.12,41.9,13.01,1.0,1.46
Arecanut,35.63,47.81,10.53,1.0,1.39
Arecanut,21.85,73.83,12.12,1.0,1.11
Arecanut,39.68,44.97,12.24,1.0,1.44
Arecanut,38.5,56.12,10.91,1.0,1.36
Arecanut,17.9,66.69,9.47,1.0,1.13
Arecanut,17.33,40.06,1.12,1.0,1.28
Arecanut,33.19,32.34,11.07,1.0,1.47
Arecanut,30.24,39.79,13.06,1.0,1.4
Arecanut,39.59,74.11,0.34,1.0,1.24
Arecanut,26.0,68.55,0.8,1.0,1.18
Arecanut,18.52,86.53,7.64,1.0,1.01
Arecanut,36.62,39.14,7.1,1.0,1.46
Arecanut,37.34,70.64,9.33,1.0,1.25
Arecanut,24.8,77.37,12.76,1.0,1.11
Arecanut,34.17,84.27,3.61,1.0,1.13
Arecanut,21.36,40.96,7.67,1.0,1.31
Arecanut,21.65,39.97,3.66,1.0,1.32
Arecanut,17.89,57.05,5.23,1.0,1.18
Arecanut,15.26,48.21,11.07,1.0,1.22
Arecanut,18.58,70.96,8.43,1.0,1.1
Arecanut,19.62,62.75,2.54,1.0,1.16
Arecanut,38.85,83.16,13.58,1.0,1.17
Arecanut,25.72,29.66,10.6,1.0,1.42
Arecanut,25.22,73.9,3.92,1.0,1.13
Arecanut,37.78,84.03,8.21,1.0,1.16
Arecanut,20.92,67.69,10.94,1.0,1.14
Arecanut,25.64,74.96,13.4,1.0,1.13
Arecanut,27.71,46.72,2.96,1.0,1.33
Arecanut,22.24,38.58,4.41,1.0,1.34
Arecanut,24.2,51.09,3.3,1.0,1.27
Arecanut,30.26,60.91,11.04,1.0,1.26
Arecanut,17.22,23.24,0.09,1.0,1.39
Arhar,16.88,55.27,5.19,1.0,1.19
Arhar,16.47,67.24,5.12,1.0,1.11
Arhar,16.62,81.13,9.42,1.0,1.03
Arhar,29.53,37.02,6.13,1.0,1.41
Arhar,31.87,71.85,4.68,1.0,1.2
Arhar,32.71,67.35,1.12,1.0,1.23
Arhar,17.36,58.12,11.56,1.0,1.17
Arhar,28.99,31.5,10.87,1.0,1.44
Arhar,38.72,24.44,4.84,1.0,1.58
Arhar,21.4,31.74,0.37,1.0,1.37
Arhar,34.51,66.38,4.57,1.0,1.25
Arhar,22.97,89.8,3.48,1.0,1.02
Arhar,35.25,27.24,13.94,1.0,1.53
Arhar,16.3,88.25,8.19,1.0,0.98
Arhar,38.68,52.22,3.35,1.0,1.38
Arhar,39.41,66.57,11.23,1.0,1.29
Arhar,18.14,20.4,9.86,1.0,1.41
Arhar,21.42,60.17,14.3,1.0,1.19
Arhar,24.61,54.54,2.22,1.0,1.25
Arhar,33.39,50.79,7.06,1.0,1.35
Arhar,31.28,85.7,6.64,1.0,1.1
Arhar,18.5,37.6,13.57,1.0,1.31
Arhar,21.94,80.67,3.06,1.0,1.07
Arhar,30.93,79.67,2.79,1.0,1.14
Arhar,20.43,43.34,9.74,1.0,1.29
Arhar,19.97,68.11,10.27,1.0,1.13
Arhar,33.21,24.33,12.9,1.0,1.53
Arhar,30.11,50.72,3.52,1.0,1.32
Arhar,27.39,45.84,3.26,1.0,1.33
Arhar,26.2,41.36,3.49,1.0,1.35
Arhar,30.69,59.86,3.5,1.0,1.27
Arhar,23.24,43.48,6.43,1.0,1.31
Arhar,24.46,66.84,8.5,1.0,1.17
Arhar,35.5,48.9,11.74,1.0,1.38
Arhar,31.77,61.3,13.46,1.0,1.27
Arhar,24.43,58.64,3.29,1.0,1.23
Arhar,29.91,54.69,9.71,1.0,1.3
Arhar,31.89,44.26,2.65,1.0,1.38
Arhar,29.18,52.42,14.87,1.0,1.31
Arhar,33.86,81.74,11.4,1.0,1.14
Arhar,36.62,89.2,14.31,1.0,1.11
Arhar,20.56,38.1,10.61,1.0,1.32
Arhar,27.31,20.72,0.51,1.0,1.5
Arhar,16.06,38.69,6.78,1.0,1.28
Arhar,22.61,66.56,11.31,1.0,1.16
Arhar,39.38,26.02,9.64,1.0,1.57
Arhar,15.88,74.12,1.32,1.0,1.07
Arhar,17.68,67.67,5.67,1.0,1.12
Arhar,27.74,23.62,2.22,1.0,1.48
Arhar,25.64,85.77,6.1,1.0,1.06
Bajra,28.49,50.92,14.79,1.0,1.31
Bajra,29.51,88.73,11.21,1.0,1.07
Bajra,35.94,45.71,1.81,1.0,1.41
Bajra,15.15,33.71,13.62,1.0,1.3
Bajra,35.04,52.62,0.19,1.0,1.35
Bajra,17.79,53.6,11.84,1.0,1.21
Bajra,33.5,76.2,12.15,1.0,1.18
Bajra,32.79,84.21,2.2,1.0,1.12
Bajra,36.14,32.66,6.43,1.0,1.5
Bajra,36.97,21.99,4.83,1.0,1.58
Bajra,22.78,52.66,3.91,1.0,1.25
Bajra,15.61,87.65,5.47,1.0,0.98
Bajra,32.81,45.74,9.37,1.0,1.38
Bajra,28.61,21.87,14.72,1.0,1.5
Bajra,34.71,59.82,14.15,1.0,1.3
Bajra,20.38,51.01,13.39,1.0,1.24
Bajra,28.2,55.96,8.89,1.0,1.27
Bajra,17.64,60.37,11.41,1.0,1.16
Bajra,38.58,86.27,6.95,1.0,1.15
Bajra,15.19,71.03,12.2,1.0,1.08
Bajra,37.26,54.74,5.57,1.0,1.36
Bajra,32.04,57.56,2.9,1.0,1.29
Bajra,39.09,50.75,6.91,1.0,1.4
Bajra,28.84,28.36,2.63,1.0,1.46
Bajra,38.95,59.57,1.74,1.0,1.34
Bajra,21.99,68.96,5.01,1.0,1.14
Bajra,37.06,62.81,14.54,1.0,1.3
Bajra,29.77,63.45,13.91,1.0,1.24
Bajra,21.76,57.46,10.71,1.0,1.21
Bajra,32.99,41.33,3.39,1.0,1.41
Bajra,19.39,28.86,14.15,1.0,1.37
Bajra,16.02,81.22,0.22,1.0,1.02
Bajra,30.16,30.88,10.55,1.0,1.46
Bajra,32.6,42.75,14.86,1.0,1.4
Bajra,16.03,26.52,10.06,1.0,1.36
Bajra,29.46,54.36,2.68,1.0,1.3
Bajra,32.17,59.53,0.88,1.0,1.28
Bajra,27.35,24.37,5.82,1.0,1.47
Bajra,28.95,46.13,13.64,1.0,1.35
Bajra,26.59,23.74,7.87,1.0,1.47
Bajra,17.15,84.22,13.94,1.0,1.01
Bajra,33.53,83.77,1.02,1.0,1.13
Bajra,15.05,50.53,4.55,1.0,1.2
Bajra,19.21,70.21,5.1,1.0,1.11
Bajra,19.25,29.3,12.99,1.0,1.37
Bajra,20.03,29.11,3.83,1.0,1.38
Bajra,32.8,25.02,9.84,1.0,1.52
Bajra,22.58,47.84,14.82,1.0,1.28
Bajra,25.71,69.8,11.28,1.0,1.16
Bajra,25.23,60.85,0.01,1.0,1.22
Banana,29.95,57.03,8.37,1.0,1.28
Banana,37.48,72.41,7.84,1.0,1.23
Banana,17.47,74.06,6.13,1.0,1.08
Banana,33.39,75.83,9.21,1.0,1.18
Banana,23.83,80.48,4.9,1.0,1.08
Banana,34.09,56.26,5.34,1.0,1.32
Banana,21.59,23.56,8.23,1.0,1.43
Banana,39.26,77.16,8.77,1.0,1.21
Banana,39.97,65.12,3.7,1.0,1.3
Banana,32.41,78.5,9.13,1.0,1.16
Banana,34.61,55.2,3.72,1.0,1.33
Banana,38.04,21.33,1.61,1.0,1.59
Banana,20.02,24.34,5.96,1.0,1.41
Banana,39.1,25.18,1.62,1.0,1.58
Banana,30.41,74.91,11.73,1.0,1.17
Banana,22.44,71.49,2.42,1.0,1.13
Banana,24.92,82.06,1.53,1.0,1.08
Banana,22.91,25.68,13.6,1.0,1.42
Banana,24.79,57.91,13.48,1.0,1.23
Banana,39.46,34.3,6.88,1.0,1.52
Banana,19.54,51.97,8.83,1.0,1.23
Banana,31.63,31.49,6.99,1.0,1.47
Banana,20.58,83.28,6.07,1.0,1.04
Banana,20.88,85.97,7.84,1.0,1.03
Banana,29.51,41.11,7.19,1.0,1.38
Banana,17.69,32.55,7.51,1.0,1.33
Banana,18.25,29.81,8.63,1.0,1.36
Banana,18.44,66.97,0.09,1.0,1.13
Banana,15.68,20.51,5.6,1.0,1.39
Banana,24.74,71.44,8.85,1.0,1.15
Banana,22.21,78.36,8.57,1.0,1.08
Banana,23.22,84.79,6.58,1.0,1.05
Banana,34.77,54.03,13.34,1.0,1.34
Banana,17.93,47.97,14.32,1.0,1.24
Banana,34.47,81.1,14.06,1.0,1.15
Banana,39.19,43.38,9.26,1.0,1.45
Banana,21.56,47.55,3.1,1.0,1.27
Banana,39.27,37.28,14.23,1.0,1.49
Banana,28.21,40.56,7.05,1.0,1.38
Banana,30.93,66.02,3.17,1.0,1.23
Banana,35.32,31.38,9.11,1.0,1.5
Banana,35.96,76.1,4.7,1.0,1.2
Banana,17.46,57.2,7.11,1.0,1.18
Banana,29.76,69.35,14.29,1.0,1.2
Banana,18.97,30.18,6.79,1.0,1.36
Banana,22.07,46.5,9.91,1.0,1.28
Banana,24.05,84.87,4.86,1.0,1.06
Banana,37.19,82.34,9.54,1.0,1.16
Banana,28.46,68.17,11.39,1.0,1.2
Banana,16.26,33.59,4.19,1.0,1.31
Barley,18.37,28.65,7.92,1.0,1.36
Barley,27.63,31.01,11.32,1.0,1.43
Barley,16.94,51.52,5.49,1.0,1.21
Barley,23.74,21.42,6.62,1.0,1.46
Barley,28.03,38.71,4.37,1.0,1.39
Barley,23.13,38.04,9.6,1.0,1.35
Barley,29.2,86.15,6.47,1.0,1.08
Barley,26.62,65.21,10.39,1.0,1.2
Barley,18.09,36.43,4.67,1.0,1.31
Barley,32.01,25.84,11.76,1.0,1.51
Barley,38.57,50.9,11.08,1.0,1.39
Barley,36.92,53.22,2.75,1.0,1.36
Barley,28.15,34.26,14.74,1.0,1.42
Barley,29.62,86.77,6.14,1.0,1.08
Barley,17.2,84.61,1.29,1.0,1.01
Barley,36.66,46.55,13.5,1.0,1.41
Barley,29.18,67.16,11.13,1.0,1.21
Barley,38.16,65.65,1.21,1.0,1.29
Barley,36.73,88.62,3.85,1.0,1.12
Barley,37.02,56.81,5.27,1.0,1.34
Barley,35.85,50.83,4.18,1.0,1.37
Barley,19.01,63.98,14.05,1.0,1.15
Barley,23.73,40.4,7.67,1.0,1.34
Barley,27.61,70.97,12.34,1.0,1.17
Barley,16.21,32.64,0.17,1.0,1.32
Barley,25.36,58.58,8.51,1.0,1.23
Barley,24.09,20.56,2.95,1.0,1.47
Barley,34.53,48.75,6.72,1.0,1.37
Barley,33.97,26.93,4.17,1.0,1.52
Barley,21.13,30.51,10.9,1.0,1.38
Barley,19.09,66.69,10.67,1.0,1.13
Barley,39.6,83.05,10.07,1.0,1.18
Barley,24.81,28.11,5.39,1.0,1.43
Barley,25.5,64.92,10.64,1.0,1.19
Barley,16.39,62.02,6.71,1.0,1.14
Barley,25.45,54.91,3.79,1.0,1.26
Barley,31.67,70.32,11.13,1.0,1.21
Barley,36.5,85.48,4.53,1.0,1.14
Barley,35.74,87.57,12.95,1.0,1.12
Barley,18.08,60.29,10.18,1.0,1.17
Barley,19.15,49.89,2.12,1.0,1.24
Barley,31.76,72.24,10.16,1.0,1.19
Barley,29.48,84.04,13.16,1.0,1.1
Barley,26.78,56.66,6.47,1.0,1.26
Barley,31.43,83.01,12.44,1.0,1.12
Barley,28.59,52.02,2.32,1.0,1.3
Barley,29.87,75.11,4.79,1.0,1.16
Barley,22.1,41.08,8.67,1.0,1.32
Barley,34.61,70.35,3.24,1.0,1.23
Barley,36.61,72.75,2.36,1.0,1.23
Barnyard_Millet,25.64,20.71,5.42,1.0,1.48
Barnyard_Millet,19.05,53.49,11.93,1.0,1.22
Barnyard_Millet,29.12,57.07,14.68,1.0,1.27
Barnyard_Millet,37.68,41.56,8.9,1.0,1.45
Barnyard_Millet,18.3,42.06,14.6,1.0,1.28
Barnyard_Millet,15.06,48.54,8.81,1.0,1.21
Barnyard_Millet,20.36,81.69,13.0,1.0,1.05
Barnyard_Millet,28.84,53.45,5.59,1.0,1.3
Barnyard_Millet,24.75,46.6,10.96,1.0,1.31
Barnyard_Millet,28.17,88.51,12.13,1.0,1.06
Barnyard_Millet,16.91,50.12,4.78,1.0,1.22
Barnyard_Millet,27.7,48.85,8.09,1.0,1.32
Barnyard_Millet,32.46,88.77,3.71,1.0,1.09
Barnyard_Millet,35.18,59.9,5.78,1.0,1.3
Barnyard_Millet,29.12,51.46,5.01,1.0,1.31
Barnyard_Millet,16.19,84.38,0.74,1.0,1.01
Barnyard_Millet,30.57,68.81,14.17,1.0,1.21
Barnyard_Millet,15.38,29.92,5.58,1.0,1.33
Barnyard_Millet,17.3,81.49,11.59,1.0,1.03
Barnyard_Millet,33.62,26.12,1.39,1.0,1.52
Barnyard_Millet,39.91,61.93,2.02,1.0,1.33
Barnyard_Millet,26.77,34.69,5.06,1.0,1.4
Barnyard_Millet,17.49,40.62,6.82,1.0,1.28
Barnyard_Millet,15.33,59.53,7.94,1.0,1.15
Barnyard_Millet,28.83,30.02,7.69,1.0,1.45
Barnyard_Millet,33.88,55.28,9.92,1.0,1.32
Barnyard_Millet,28.4,82.02,0.42,1.0,1.1
Barnyard_Millet,39.63,55.73,5.85,1.0,1.37
Barnyard_Millet,22.99,38.23,14.24,1.0,1.35
Barnyard_Millet,19.24,47.0,1.77,1.0,1.26
Barnyard_Millet,23.2,87.24,9.9,1.0,1.04
Barnyard_Millet,15.96,79.07,1.36,1.0,1.04
Barnyard_Millet,33.05,66.18,7.87,1.0,1.24
Barnyard_Millet,17.49,36.65,6.62,1.0,1.31
Barnyard_Millet,16.73,47.53,10.85,1.0,1.23
Barnyard_Millet,15.59,52.34,7.05,1.0,1.19
Barnyard_Millet,39.84,26.57,5.46,1.0,1.58
Barnyard_Millet,31.17,72.41,5.77,1.0,1.19
Barnyard_Millet,25.76,44.14,3.98,1.0,1.33
Barnyard_Millet,29.98,30.6,1.1,1.0,1.46
Barnyard_Millet,31.15,20.79,2.39,1.0,1.53
Barnyard_Millet,32.55,55.06,4.62,1.0,1.32
Barnyard_Millet,19.08,58.79,12.04,1.0,1.18
Barnyard_Millet,26.24,72.68,6.29,1.0,1.15
Barnyard_Millet,25.65,42.77,3.24,1.0,1.34
Barnyard_Millet,18.3,49.16,11.13,1.0,1.24
Barnyard_Millet,32.68,20.01,12.53,1.0,1.55
Barnyard_Millet,35.99,85.56,10.15,1.0,1.13
Barnyard_Millet,30.69,84.73,5.94,1.0,1.1
Barnyard_Millet,35.15,35.77,0.04,1.0,1.47
Beetroot,35.09,86.11,5.82,1.0,1.12
Beetroot,38.25,21.59,11.15,1.0,1.6
Beetroot,28.76,36.3,8.32,1.0,1.41
Beetroot,16.45,52.37,1.24,1.0,1.2
Beetroot,34.41,48.87,3.57,1.0,1.37
Beetroot,37.84,26.89,4.5,1.0,1.55
Beetroot,33.09,51.44,6.06,1.0,1.34
Beetroot,32.78,77.72,10.65,1.0,1.16
Beetroot,26.87,71.4,0.61,1.0,1.16
Beetroot,28.17,76.75,8.89,1.0,1.14
Beetroot,15.27,61.96,6.78,1.0,1.13
Beetroot,17.03,77.31,12.93,1.0,1.05
Beetroot,29.47,47.33,10.55,1.0,1.34
Beetroot,24.96,74.87,8.55,1.0,1.13
Beetroot,20.79,31.16,6.81,1.0,1.37
Beetroot,27.46,23.4,6.77,1.0,1.48
Beetroot,35.64,27.84,3.15,1.0,1.53
Beetroot,29.41,52.87,13.4,1.0,1.3
Beetroot,19.12,78.86,1.23,1.0,1.06
Beetroot,20.6,36.37,0.81,1.0,1.34
Beetroot,26.67,28.63,9.72,1.0,1.44
Beetroot,19.81,47.13,5.34,1.0,1.26
Beetroot,38.46,49.47,9.12,1.0,1.4
Beetroot,21.99,24.89,12.09,1.0,1.42
Beetroot,16.78,84.44,13.17,1.0,1.01
Beetroot,23.15,76.48,10.32,1.0,1.1
Beetroot,17.93,45.53,3.79,1.0,1.26
Beetroot,26.74,26.38,0.79,1.0,1.46
Beetroot,37.23,88.24,7.32,1.0,1.12
Beetroot,32.02,38.95,4.8,1.0,1.42
Beetroot,38.97,87.15,7.21,1.0,1.14
Beetroot,18.01,87.71,8.91,1.0,1.0
Beetroot,34.0,57.24,13.64,1.0,1.31
Beetroot,32.33,22.62,5.33,1.0,1.53
Beetroot,35.22,62.3,13.66,1.0,1.29
Beetroot,21.1,22.21,5.95,1.0,1.43
Beetroot,29.47,86.68,8.16,1.0,1.08
Beetroot,35.71,65.09,2.18,1.0,1.27
Beetroot,22.95,27.1,5.11,1.0,1.42
Beetroot,38.38,20.18,9.43,1.0,1.61
Beetroot,33.33,47.9,2.31,1.0,1.37
Beetroot,22.87,68.68,2.67,1.0,1.15
Beetroot,21.96,20.27,10.05,1.0,1.45
Beetroot,38.08,42.95,14.13,1.0,1.44
Beetroot,26.67,22.98,5.02,1.0,1.48
Beetroot,32.78,39.27,2.64,1.0,1.42
Beetroot,18.1,45.04,9.26,1.0,1.26
Beetroot,19.5,30.59,11.08,1.0,1.36
Beetroot,19.33,38.72,6.69,1.0,1.31
Beetroot,17.54,40.11,12.1,1.0,1.29
Bitter_Gourd,27.52,58.32,7.11,1.0,1.25
Bitter_Gourd,20.72,69.92,8.62,1.0,1.13
Bitter_Gourd,33.22,43.8,0.46,1.0,1.4
Bitter_Gourd,31.64,26.79,10.54,1.0,1.5
Bitter_Gourd,29.28,25.03,5.08,1.0,1.49
Bitter_Gourd,39.15,52.33,11.48,1.0,1.39
Bitter_Gourd,38.04,41.14,0.07,1.0,1.46
Bitter_Gourd,37.33,56.54,4.91,1.0,1.34
Bitter_Gourd,19.84,89.02,4.39,1.0,1.0
Bitter_Gourd,33.39,56.95,14.05,1.0,1.31
Bitter_Gourd,19.19,57.67,11.26,1.0,1.19
Bitter_Gourd,25.24,37.13,1.7,1.0,1.37
Bitter_Gourd,34.31,30.91,5.57,1.0,1.49
Bitter_Gourd,32.56,59.83,11.43,1.0,1.28
Bitter_Gourd,22.79,72.2,2.75,1.0,1.13
Bitter_Gourd,21.62,31.52,6.56,1.0,1.38
Bitter_Gourd,39.12,57.24,4.6,1.0,1.35
Bitter_Gourd,20.11,42.55,14.95,1.0,1.29
Bitter_Gourd,24.28,66.91,4.51,1.0,1.17
Bitter_Gourd,16.69,30.67,10.23,1.0,1.34
Bitter_Gourd,29.88,23.34,3.1,1.0,1.5
Bitter_Gourd,23.8,48.01,13.53,1.0,1.29
Bitter_Gourd,17.43,63.06,8.94,1.0,1.14
Bitter_Gourd,25.25,66.37,9.58,1.0,1.18
Bitter_Gourd,36.48,23.79,3.18,1.0,1.56
Bitter_Gourd,26.09,82.11,10.88,1.0,1.09
Bitter_Gourd,20.76,63.63,9.36,1.0,1.17
Bitter_Gourd,23.05,70.16,6.73,1.0,1.14
Bitter_Gourd,35.94,53.46,4.58,1.0,1.35
Bitter_Gourd,34.17,73.36,13.31,1.0,1.2
Bitter_Gourd,29.58,71.8,11.66,1.0,1.18
Bitter_Gourd,26.2,71.65,7.61,1.0,1.16
Bitter_Gourd,19.85,83.82,8.96,1.0,1.03
Bitter_Gourd,15.3,75.16,4.38,1.0,1.05
Bitter_Gourd,35.89,47.46,1.85,1.0,1.39
Bitter_Gourd,15.55,46.98,1.15,1.0,1.23
Bitter_Gourd,21.17,72.52,0.93,1.0,1.11
Bitter_Gourd,15.07,82.84,11.25,1.0,1.01
Bitter_Gourd,26.29,45.71,8.74,1.0,1.33
Bitter_Gourd,17.5,42.16,7.89,1.0,1.27
Bitter_Gourd,37.15,36.62,2.07,1.0,1.48
Bitter_Gourd,31.33,45.68,13.02,1.0,1.37
Bitter_Gourd,23.12,70.6,9.05,1.0,1.14
Bitter_Gourd,39.23,55.68,5.23,1.0,1.36
Bitter_Gourd,17.06,37.0,8.91,1.0,1.3
Bitter_Gourd,35.58,88.45,14.27,1.0,1.11
Bitter_Gourd,28.99,75.29,8.93,1.0,1.15
Bitter_Gourd,29.01,69.99,14.44,1.0,1.19
Bitter_Gourd,35.9,49.2,0.68,1.0,1.38
Bitter_Gourd,27.26,56.29,6.48,1.0,1.26
Black_Pepper,29.51,80.82,0.1,1.0,1.12
Black_Pepper,29.42,64.6,3.9,1.0,1.23
Black_Pepper,24.67,42.68,6.17,1.0,1.33
Black_Pepper,33.76,61.59,11.39,1.0,1.28
Black_Pepper,36.99,41.02,0.27,1.0,1.45
Black_Pepper,17.0,55.83,2.27,1.0,1.19
Black_Pepper,22.6,68.9,4.52,1.0,1.15
Black_Pepper,16.13,75.9,12.01,1.0,1.06
Black_Pepper,19.74,81.24,1.23,1.0,1.05
Black_Pepper,20.54,70.98,5.11,1.0,1.12
Black_Pepper,24.63,80.75,6.37,1.0,1.09
Black_Pepper,32.09,51.18,8.83,1.0,1.34
Black_Pepper,21.24,73.8,11.68,1.0,1.11
Black_Pepper,39.67,41.42,13.35,1.0,1.47
Black_Pepper,30.17,27.04,6.94,1.0,1.48
Black_Pepper,28.3,21.48,4.62,1.0,1.5
Black_Pepper,26.53,48.89,6.57,1.0,1.31
Black_Pepper,18.48,38.64,13.46,1.0,1.3
Black_Pepper,31.66,79.93,1.39,1.0,1.14
Black_Pepper,30.2,31.42,0.92,1.0,1.45
Black_Pepper,15.28,84.08,11.59,1.0,1.0
Black_Pepper,35.83,77.47,11.15,1.0,1.19
Black_Pepper,25.3,50.74,6.96,1.0,1.28
Black_Pepper,21.01,53.96,11.47,1.0,1.23
Black_Pepper,38.31,68.61,6.47,1.0,1.27
Black_Pepper,31.19,53.49,13.06,1.0,1.31
Black_Pepper,38.79,26.24,9.86,1.0,1.57
Black_Pepper,29.94,87.09,10.25,1.0,1.08
Black_Pepper,15.34,72.4,10.24,1.0,1.07
Black_Pepper,15.26,81.75,7.78,1.0,1.01
Black_Pepper,29.45,26.35,5.38,1.0,1.48
Black_Pepper,25.1,30.14,0.7,1.0,1.42
Black_Pepper,32.83,47.69,12.9,1.0,1.37
Black_Pepper,17.74,65.33,1.67,1.0,1.13
Black_Pepper,18.98,78.45,1.71,1.0,1.06
Black_Pepper,26.87,80.82,5.01,1.0,1.1
Black_Pepper,33.29,53.81,14.56,1.0,1.33
