N,P,K,temperature,humidity,ph,rainfall,soil_type,state,season,label
157.76,53.16,171.67,23.01,84.59,5.2,1136.04,Laterite,Kerala,Perennial,Coffee
106.39,45.31,41.79,29.63,58.69,7.36,535.59,Sandy Loam,Madhya Pradesh,Kharif,Maize
17.68,42.62,31.4,21.82,56.06,7.01,340.83,Sandy Loam,Uttar Pradesh,Rabi,Lentil
105.23,50.66,148.86,24.1,69.93,6.13,746.52,Loamy,Maharashtra,Perennial,Orange
13.07,53.93,19.48,35.47,43.93,6.3,646.38,Sandy Loam,Rajasthan,Kharif,Mungbean
79.62,52.12,44.04,18.77,100.0,6.35,1477.31,Alluvial,Punjab,Kharif,Rice
17.91,44.28,13.73,30.5,43.02,7.88,358.05,Arid,Maharashtra,Kharif,Mothbeans
80.78,14.9,29.58,29.32,95.49,5.52,1646.6,Alluvial,West Bengal,Kharif,Jute
93.88,44.97,233.02,25.62,82.63,6.32,1731.57,Coastal Sandy,Andhra Pradesh,Perennial,Coconut
80.64,48.62,26.69,26.32,90.27,6.3,1478.29,Alluvial,Andhra Pradesh,Kharif,Rice
20.04,55.72,22.7,34.06,53.98,6.5,663.66,Red Soil,Gujarat,Kharif,Pigeonpeas
104.75,54.47,61.74,36.95,61.77,6.16,333.25,Sandy Loam,Andhra Pradesh,Summer,Watermelon
57.98,31.36,53.37,35.19,54.08,6.09,533.2,Sandy Loam,Maharashtra,Summer,Muskmelon
122.33,50.33,246.71,32.88,80.83,5.53,1366.63,Coastal Sandy,Andhra Pradesh,Perennial,Coconut
53.91,16.41,22.25,27.93,77.28,6.87,1818.44,Alluvial,Odisha,Kharif,Jute
132.61,69.51,144.99,26.48,46.78,6.26,599.64,Sandy Loam,Karnataka,Perennial,Grapes
59.36,30.74,13.12,23.49,84.23,6.78,810.38,Alluvial,Odisha,Kharif,Jute
70.96,52.14,72.74,18.52,74.8,5.93,1606.51,Loamy,Uttarakhand,Perennial,Apple
22.61,36.29,28.58,23.36,42.9,6.28,333.12,Loamy,Madhya Pradesh,Rabi,Lentil
18.6,73.58,19.79,25.8,54.95,6.86,306.23,Black Soil,Maharashtra,Rabi,Chickpea
97.76,42.39,49.98,29.15,63.49,6.25,1024.57,Alluvial,Madhya Pradesh,Perennial,Orange
20.39,55.67,15.48,26.71,65.34,6.88,714.68,Loamy,Tamil Nadu,Kharif,Blackgram
80.66,81.25,147.73,24.32,70.79,6.41,559.26,Sandy Loam,Karnataka,Perennial,Grapes
25.53,36.64,26.4,23.93,37.5,6.59,263.72,Sandy Loam,Uttar Pradesh,Rabi,Lentil
15.45,55.55,16.41,39.17,34.06,7.98,100.0,Sandy Loam,Maharashtra,Kharif,Mothbeans
99.98,45.77,55.42,36.15,81.69,6.64,1028.14,Loamy,Karnataka,Perennial,Mango
18.61,20.42,30.07,33.45,72.71,7.51,507.17,Loamy,Uttar Pradesh,Kharif,Blackgram
27.49,44.27,23.97,27.06,67.08,6.78,878.11,Black Soil,Madhya Pradesh,Kharif,Blackgram
93.32,51.01,113.75,26.66,56.63,5.99,1316.61,Loamy,Maharashtra,Perennial,Mango
121.44,46.36,193.73,28.6,100.0,5.77,1614.26,Coastal Sandy,Karnataka,Perennial,Coconut
102.35,59.53,40.17,24.97,51.34,5.59,569.39,Alluvial,Bihar,Kharif,Maize
15.71,54.97,20.08,27.21,42.36,6.5,377.87,Black Soil,Maharashtra,Rabi,Chickpea
179.84,50.39,273.89,34.34,70.22,6.63,1315.21,Alluvial,Tamil Nadu,Perennial,Banana
24.33,77.43,19.02,26.6,73.74,6.22,381.03,Sandy Loam,Himachal Pradesh,Kharif,Kidneybeans
56.38,28.95,30.91,30.14,90.3,7.24,1290.83,Alluvial,West Bengal,Kharif,Jute
87.83,61.66,145.21,21.67,69.77,5.88,1976.02,Sandy Loam,Rajasthan,Perennial,Orange
44.62,29.34,45.81,26.23,56.18,6.69,426.82,Black Soil,Maharashtra,Perennial,Pomegranate
32.87,41.54,33.81,37.93,70.84,6.29,537.38,Black Soil,Maharashtra,Kharif,Pigeonpeas
108.37,53.73,30.11,29.69,56.45,6.34,729.38,Loamy,Rajasthan,Kharif,Maize
91.9,47.98,36.83,35.45,82.18,6.94,973.79,Clayey,Bihar,Kharif,Jute
23.8,60.32,20.62,30.03,69.75,5.77,595.66,Alluvial,Tamil Nadu,Kharif,Blackgram
44.53,40.86,40.9,36.73,56.98,6.59,424.28,Sandy Loam,Punjab,Summer,Muskmelon
18.17,68.65,23.63,25.86,30.01,6.53,487.7,Black Soil,Maharashtra,Rabi,Chickpea
163.74,247.69,408.4,34.75,72.69,6.43,1736.61,Alluvial,Gujarat,Perennial,Papaya
27.18,66.64,26.37,30.02,66.98,6.6,691.24,Black Soil,Gujarat,Kharif,Pigeonpeas
74.55,36.1,94.5,17.17,68.65,5.82,868.7,Alluvial,Jammu Kashmir,Perennial,Apple
226.38,163.28,353.31,26.21,73.44,7.4,1606.48,Sandy Loam,Andhra Pradesh,Perennial,Papaya
20.57,32.96,24.57,23.98,43.92,6.8,340.26,Loamy,Maharashtra,Rabi,Chickpea
80.72,49.49,19.08,25.76,39.15,7.39,664.23,Red Soil,Telangana,Kharif,Cotton
153.27,43.59,178.14,23.02,79.9,5.64,2020.29,Laterite,Kerala,Perennial,Coffee
122.76,77.17,232.7,29.62,77.36,5.52,1664.96,Clayey,Andhra Pradesh,Perennial,Banana
100.87,39.72,114.62,28.48,74.68,6.18,579.89,Alluvial,Maharashtra,Perennial,Orange
55.98,33.65,32.07,26.0,53.8,6.34,284.05,Sandy Loam,Andhra Pradesh,Perennial,Pomegranate
21.71,57.22,21.69,25.92,61.52,5.47,704.58,Black Soil,Tamil Nadu,Kharif,Blackgram
75.14,75.75,96.44,24.37,65.93,6.36,1208.91,Alluvial,Andhra Pradesh,Perennial,Mango
195.56,56.96,271.62,26.17,83.65,5.9,1807.87,Loamy,Andhra Pradesh,Perennial,Banana
89.66,48.67,147.16,33.54,45.09,6.96,573.24,Sandy Loam,Karnataka,Perennial,Grapes
108.04,68.7,98.24,24.58,35.27,6.64,325.54,Black Soil,Karnataka,Perennial,Grapes
17.59,44.53,24.55,17.33,39.7,7.39,487.81,Loamy,Maharashtra,Rabi,Chickpea
134.43,51.01,257.61,26.76,84.15,6.19,1222.32,Coastal Sandy,Tamil Nadu,Perennial,Coconut
99.8,54.13,59.52,19.33,59.91,6.4,894.23,Loamy,Jammu Kashmir,Perennial,Apple
18.18,28.03,6.57,38.3,49.95,7.44,417.84,Arid,Rajasthan,Kharif,Mothbeans
64.78,47.58,111.29,29.61,57.79,6.62,341.83,Red Soil,Maharashtra,Perennial,Grapes
88.22,24.32,31.18,38.97,39.23,6.05,400.32,Black Soil,Andhra Pradesh,Perennial,Pomegranate
165.38,64.14,411.01,31.02,82.98,6.79,1450.72,Alluvial,Maharashtra,Perennial,Banana
86.27,51.83,65.34,28.77,72.48,7.15,725.05,Alluvial,Andhra Pradesh,Kharif,Cotton
193.93,216.18,310.69,28.4,83.39,6.23,1296.56,Alluvial,Karnataka,Perennial,Papaya
90.95,44.82,79.99,27.73,74.83,6.05,1229.46,Loamy,Rajasthan,Perennial,Orange
189.74,199.1,392.97,33.08,70.29,5.68,1903.05,Loamy,Maharashtra,Perennial,Papaya
18.9,51.25,17.08,20.96,44.93,7.21,355.58,Loamy,Madhya Pradesh,Rabi,Lentil
66.72,30.58,40.41,31.21,89.73,6.92,1529.92,Alluvial,Odisha,Kharif,Jute
92.08,54.22,83.02,12.97,67.99,6.65,1086.27,Loamy,Jammu Kashmir,Perennial,Apple
16.15,54.68,15.24,29.02,61.66,7.74,707.96,Black Soil,Maharashtra,Kharif,Blackgram
234.51,175.54,539.42,32.38,97.65,7.16,1004.95,Sandy Loam,Maharashtra,Perennial,Papaya
121.53,71.64,40.69,27.5,42.23,7.05,714.33,Sandy Loam,Karnataka,Rabi,Maize
11.68,60.0,18.68,22.56,23.56,6.63,278.81,Black Soil,Maharashtra,Rabi,Chickpea
16.78,46.9,19.49,26.0,30.58,7.69,313.33,Sandy Loam,Rajasthan,Kharif,Mothbeans
108.65,81.56,154.16,34.47,49.91,7.19,708.16,Red Soil,Maharashtra,Perennial,Grapes
164.49,61.48,96.99,21.03,44.81,6.43,890.19,Black Soil,Karnataka,Perennial,Grapes
14.32,61.25,19.36,28.57,64.68,6.9,551.5,Loamy,Maharashtra,Kharif,Pigeonpeas
27.69,47.88,16.96,26.07,67.1,7.67,516.25,Black Soil,Maharashtra,Kharif,Pigeonpeas
241.45,49.19,122.88,23.82,100.0,5.6,1845.43,Loamy,Tamil Nadu,Perennial,Coffee
11.74,37.5,13.4,31.78,72.31,6.11,1035.9,Black Soil,Uttar Pradesh,Kharif,Blackgram
19.79,47.9,24.52,17.99,49.31,5.95,353.07,Loamy,Uttarakhand,Kharif,Kidneybeans
95.6,30.73,60.65,35.17,68.48,6.41,499.05,Sandy Loam,Andhra Pradesh,Summer,Watermelon
29.67,36.56,50.53,27.54,46.47,6.2,362.13,Loamy,Punjab,Summer,Muskmelon
23.54,42.14,25.05,22.03,44.49,7.12,520.87,Sandy Loam,Rajasthan,Rabi,Chickpea
20.21,41.6,17.69,31.73,73.67,7.24,367.41,Alluvial,Rajasthan,Summer,Mungbean
170.46,51.58,179.65,20.29,78.83,5.14,2401.56,Laterite,Tamil Nadu,Perennial,Coffee
79.31,37.71,37.57,27.47,69.86,6.22,1250.91,Loamy,Punjab,Kharif,Rice
84.72,46.69,53.85,23.88,64.74,5.54,1245.36,Loamy,Rajasthan,Perennial,Orange
107.9,38.1,69.28,39.1,49.8,6.34,679.19,Alluvial,Tamil Nadu,Summer,Watermelon
70.41,44.25,90.73,28.17,52.43,5.34,1094.54,Laterite,Maharashtra,Perennial,Mango
94.71,43.55,107.86,25.24,67.32,6.01,1301.88,Loamy,Rajasthan,Perennial,Orange
76.65,37.75,45.06,23.29,35.13,6.41,294.67,Black Soil,Gujarat,Perennial,Pomegranate
20.67,51.26,12.52,27.97,81.34,6.18,538.88,Black Soil,Tamil Nadu,Kharif,Blackgram
99.86,56.99,98.25,19.28,77.39,5.09,1058.47,Sandy Loam,Punjab,Perennial,Orange
17.01,44.93,13.92,18.22,67.29,6.29,497.14,Black Soil,Maharashtra,Kharif,Blackgram
72.95,11.34,30.36,29.43,95.03,6.82,1870.28,Alluvial,West Bengal,Kharif,Jute
55.95,17.81,44.11,32.22,60.12,7.08,688.17,Black Soil,Gujarat,Perennial,Pomegranate
69.52,29.4,55.5,31.95,73.08,6.53,331.48,Sandy Loam,Rajasthan,Summer,Muskmelon
88.51,45.96,138.9,24.68,35.96,6.59,751.65,Sandy Loam,Andhra Pradesh,Perennial,Grapes
18.51,35.26,25.75,35.93,44.62,6.46,539.33,Sandy Loam,Rajasthan,Kharif,Mungbean
16.09,33.28,24.52,27.85,78.53,6.75,901.64,Loamy,Tamil Nadu,Kharif,Blackgram
139.64,72.38,70.71,25.62,59.95,6.74,1178.76,Alluvial,Karnataka,Perennial,Mango
102.96,51.93,52.26,26.26,54.75,7.13,754.17,Black Soil,Andhra Pradesh,Kharif,Cotton
107.99,20.92,35.76,27.36,87.65,5.41,1203.52,Alluvial,Andhra Pradesh,Kharif,Rice
18.65,42.37,30.49,23.54,40.67,6.08,457.05,Alluvial,Himachal Pradesh,Kharif,Kidneybeans
90.72,19.32,64.06,32.01,54.6,6.75,262.46,Alluvial,Punjab,Summer,Muskmelon
14.09,42.37,18.81,26.19,39.29,6.16,410.65,Sandy,Maharashtra,Kharif,Mothbeans
96.81,38.58,22.7,24.99,70.75,5.95,1209.85,Loamy,West Bengal,Kharif,Rice
13.92,51.33,19.07,34.29,23.22,7.47,107.92,Sandy,Rajasthan,Kharif,Mothbeans
47.02,21.33,23.86,35.68,61.91,6.33,316.5,Sandy Loam,Andhra Pradesh,Perennial,Pomegranate
28.6,44.08,20.09,25.42,66.61,7.06,545.41,Loamy,Karnataka,Kharif,Mungbean
11.83,54.41,22.98,24.77,43.72,7.58,179.5,Sandy Loam,Rajasthan,Kharif,Mothbeans
180.9,59.89,173.16,18.46,73.98,6.22,1715.11,Loamy,Karnataka,Perennial,Coffee
106.96,36.7,100.1,22.73,48.39,7.22,1037.0,Loamy,Punjab,Perennial,Orange
17.51,44.16,16.04,27.08,71.85,5.92,696.13,Loamy,Rajasthan,Kharif,Mungbean
205.56,250.11,377.3,30.35,68.49,6.79,970.22,Sandy Loam,Andhra Pradesh,Perennial,Papaya
124.05,46.57,116.48,24.79,67.9,7.03,1009.19,Sandy Loam,Maharashtra,Perennial,Grapes
13.33,32.48,10.87,33.0,40.78,7.57,503.96,Loamy,Andhra Pradesh,Summer,Mungbean
15.39,50.59,24.48,29.88,77.25,6.58,612.95,Loamy,Maharashtra,Kharif,Blackgram
16.63,55.62,26.61,26.56,53.12,6.06,497.06,Black Soil,Tamil Nadu,Kharif,Blackgram
113.12,54.43,160.45,24.43,71.81,5.65,1627.96,Loamy,Kerala,Perennial,Coffee
76.27,25.91,36.13,30.33,50.61,6.86,394.6,Alluvial,Maharashtra,Summer,Muskmelon
146.7,38.02,177.32,28.16,72.43,6.93,2557.29,Loamy,Andhra Pradesh,Perennial,Coconut
21.84,69.01,23.36,18.08,57.36,6.69,667.16,Alluvial,Himachal Pradesh,Kharif,Kidneybeans
12.4,86.24,21.83,17.17,65.74,6.77,648.39,Alluvial,Jammu Kashmir,Kharif,Kidneybeans
62.04,34.2,57.33,31.71,41.39,6.95,546.98,Black Soil,Maharashtra,Perennial,Pomegranate
20.88,71.49,9.94,26.22,78.43,7.09,984.41,Alluvial,Uttar Pradesh,Kharif,Blackgram
74.41,50.19,233.8,27.75,81.77,5.7,2202.76,Loamy,Karnataka,Perennial,Coconut
101.24,49.98,119.58,26.7,51.23,6.27,448.54,Red Soil,Maharashtra,Perennial,Grapes
13.23,42.19,15.85,30.6,58.73,6.69,705.42,Alluvial,Tamil Nadu,Kharif,Blackgram
109.93,32.02,65.34,22.29,60.64,6.01,997.91,Loamy,Rajasthan,Perennial,Orange
136.91,57.41,57.45,26.66,62.8,7.23,600.99,Black Soil,Telangana,Kharif,Cotton
3.11,40.69,18.63,29.88,60.87,5.78,308.03,Alluvial,Andhra Pradesh,Kharif,Mungbean
25.07,40.42,13.72,23.99,66.25,6.64,324.78,Black Soil,Uttar Pradesh,Kharif,Blackgram
91.64,28.84,92.83,27.11,60.03,5.02,1559.22,Alluvial,Maharashtra,Perennial,Mango
97.86,45.0,42.93,30.37,70.62,6.57,494.92,Sandy Loam,Rajasthan,Kharif,Maize
22.92,18.73,26.76,30.93,81.68,6.0,877.36,Loamy,Bihar,Kharif,Jute
19.07,58.77,22.18,20.02,42.63,5.78,400.52,Sandy Loam,Madhya Pradesh,Rabi,Lentil
178.22,159.1,295.81,29.86,86.6,6.95,1309.99,Loamy,Andhra Pradesh,Perennial,Papaya
15.46,44.38,25.67,23.65,54.8,6.32,403.34,Black Soil,Karnataka,Rabi,Chickpea
22.85,43.42,16.78,21.29,67.36,6.09,493.39,Black Soil,Uttar Pradesh,Kharif,Blackgram
63.53,33.43,54.01,24.7,50.07,7.43,327.77,Alluvial,Maharashtra,Summer,Muskmelon
95.27,56.3,89.9,32.05,59.81,6.89,1482.2,Loamy,Rajasthan,Perennial,Orange
92.23,47.85,88.5,16.57,66.9,5.28,1336.05,Alluvial,Himachal Pradesh,Perennial,Apple
19.44,45.16,17.78,29.18,36.58,6.95,208.7,Arid,Maharashtra,Kharif,Mothbeans
23.22,54.91,20.62,26.33,44.06,6.65,289.38,Black Soil,Madhya Pradesh,Rabi,Chickpea
140.25,55.01,110.11,29.26,76.44,6.81,1083.5,Loamy,Madhya Pradesh,Perennial,Orange
186.86,270.66,527.39,29.46,85.3,7.17,1097.97,Loamy,Maharashtra,Perennial,Papaya
19.28,46.59,19.38,21.59,49.26,7.25,339.31,Loamy,Bihar,Rabi,Lentil
66.48,29.14,51.94,31.71,69.41,5.82,358.77,Sandy Loam,Uttar Pradesh,Summer,Muskmelon
94.02,37.32,33.41,29.06,87.96,5.91,1156.65,Alluvial,West Bengal,Kharif,Rice
81.79,21.13,21.32,35.87,91.0,5.85,1813.76,Alluvial,Odisha,Kharif,Jute
20.87,44.8,19.67,38.75,56.46,7.12,632.89,Loamy,Karnataka,Kharif,Mungbean
22.0,39.15,11.59,27.1,82.1,6.47,546.62,Sandy Loam,Maharashtra,Summer,Mungbean
108.0,42.15,180.33,25.79,94.63,6.53,2141.13,Loamy,Kerala,Perennial,Coconut
68.57,44.1,37.32,24.81,50.34,7.24,669.38,Black Soil,Maharashtra,Kharif,Cotton
116.16,75.83,83.8,23.31,90.46,6.74,1304.38,Loamy,Rajasthan,Perennial,Orange
137.18,65.32,47.08,22.56,80.72,6.44,302.91,Alluvial,Rajasthan,Kharif,Maize
59.92,45.15,59.95,33.45,55.88,6.23,335.34,Sandy Loam,Maharashtra,Summer,Muskmelon
106.09,36.28,34.33,23.62,81.16,5.91,1402.27,Loamy,Punjab,Kharif,Rice
20.5,48.52,20.19,30.21,71.81,5.25,674.47,Black Soil,Uttar Pradesh,Kharif,Blackgram
18.77,40.04,25.09,35.7,60.79,6.96,553.4,Loamy,Andhra Pradesh,Kharif,Mungbean
79.49,28.63,34.71,32.29,63.06,7.01,150.13,Alluvial,Rajasthan,Summer,Muskmelon
82.71,38.21,78.76,18.03,77.65,5.22,389.29,Loamy,Uttarakhand,Perennial,Apple
107.65,59.6,137.03,21.67,73.4,4.8,1600.46,Loamy,Tamil Nadu,Perennial,Coffee
52.76,33.38,54.51,34.84,36.45,6.41,783.17,Black Soil,Andhra Pradesh,Perennial,Pomegranate
26.44,50.01,18.85,29.37,79.47,6.25,601.33,Alluvial,Maharashtra,Kharif,Blackgram
57.3,33.86,26.39,30.08,83.97,6.86,1255.22,Loamy,Assam,Kharif,Jute
12.8,40.71,28.59,16.73,55.72,6.46,245.66,Sandy Loam,West Bengal,Rabi,Lentil
23.51,26.79,17.09,32.82,84.98,6.83,316.53,Loamy,Andhra Pradesh,Kharif,Mungbean
106.44,47.49,199.48,29.3,100.0,6.53,2261.53,Loamy,Andhra Pradesh,Perennial,Coconut
25.62,54.94,16.27,27.92,55.28,6.86,669.55,Loamy,Karnataka,Kharif,Pigeonpeas
245.16,222.32,284.07,28.71,89.6,7.01,1687.92,Alluvial,Maharashtra,Perennial,Papaya
59.55,41.47,50.16,25.95,43.37,7.81,579.57,Sandy Loam,Gujarat,Perennial,Pomegranate
14.58,35.39,18.67,28.46,27.8,7.47,263.08,Sandy Loam,Maharashtra,Kharif,Mothbeans
76.82,40.4,81.92,16.36,60.07,6.52,489.88,Alluvial,Uttarakhand,Perennial,Apple
17.66,38.44,8.2,34.33,31.16,7.04,376.23,Arid,Maharashtra,Kharif,Mothbeans
66.31,46.53,39.52,29.51,69.72,6.54,307.77,Alluvial,Punjab,Summer,Muskmelon
122.14,56.08,101.53,36.54,45.07,5.59,1035.09,Alluvial,Uttar Pradesh,Perennial,Mango
20.77,43.46,30.34,15.54,63.63,6.97,781.62,Sandy Loam,Himachal Pradesh,Kharif,Kidneybeans
77.22,33.33,50.61,32.93,62.86,6.84,599.43,Black Soil,Andhra Pradesh,Perennial,Pomegranate
77.23,28.01,51.29,29.63,54.84,6.5,281.12,Loamy,Uttar Pradesh,Summer,Muskmelon
112.1,72.87,59.87,25.63,72.52,6.0,1132.63,Loamy,Maharashtra,Perennial,Orange
8.37,25.21,22.31,33.19,39.7,7.63,319.98,Sandy,Gujarat,Kharif,Mothbeans
17.34,39.25,11.85,33.32,28.27,7.07,146.51,Sandy,Rajasthan,Kharif,Mothbeans
105.25,24.02,36.16,27.43,82.69,6.6,1020.9,Alluvial,West Bengal,Kharif,Rice
140.56,40.42,49.7,26.01,48.3,5.37,401.11,Black Soil,Maharashtra,Perennial,Grapes
75.72,38.41,33.46,24.23,85.92,5.7,1307.49,Loamy,West Bengal,Kharif,Rice
20.29,57.97,29.35,20.23,66.83,6.02,299.83,Alluvial,Jammu Kashmir,Kharif,Kidneybeans
19.62,48.23,18.71,31.93,72.13,6.0,937.09,Alluvial,Tamil Nadu,Kharif,Blackgram
18.45,47.75,19.04,19.46,48.66,6.23,366.58,Loamy,Bihar,Rabi,Lentil
144.09,71.62,28.6,17.55,52.23,6.69,798.15,Sandy Loam,Karnataka,Rabi,Maize
20.43,87.79,34.89,21.54,71.47,6.98,643.94,Sandy Loam,Himachal Pradesh,Kharif,Kidneybeans
146.28,93.1,43.6,20.16,48.18,6.85,810.89,Sandy Loam,Madhya Pradesh,Rabi,Maize
127.98,63.24,239.12,26.71,68.5,5.33,1865.84,Coastal Sandy,Karnataka,Perennial,Coconut
184.65,48.96,164.38,24.26,75.34,5.36,1653.36,Loamy,Tamil Nadu,Perennial,Coffee
105.65,75.09,41.95,19.87,65.66,5.71,603.13,Loamy,Bihar,Kharif,Maize
84.47,34.25,29.2,31.81,94.73,6.08,1035.6,Alluvial,West Bengal,Kharif,Jute
14.27,49.27,10.78,18.32,57.98,7.76,416.94,Loamy,Rajasthan,Rabi,Chickpea
20.96,41.19,13.07,19.39,52.97,7.16,288.74,Sandy Loam,Maharashtra,Rabi,Chickpea
12.63,53.83,24.13,26.42,63.18,7.25,424.2,Loamy,Uttar Pradesh,Kharif,Blackgram
13.05,29.86,29.7,29.7,88.98,6.5,889.93,Alluvial,Andhra Pradesh,Kharif,Mungbean
144.11,81.47,360.13,29.26,88.35,6.62,1922.63,Loamy,Maharashtra,Perennial,Banana
26.17,41.29,27.52,36.39,62.52,6.15,827.4,Black Soil,Tamil Nadu,Kharif,Blackgram
101.56,48.21,31.78,25.59,62.19,7.12,741.94,Alluvial,Rajasthan,Rabi,Maize
23.16,55.81,22.89,28.7,76.55,7.35,428.96,Black Soil,Uttar Pradesh,Kharif,Blackgram
226.79,54.54,175.34,19.85,66.98,5.48,1774.76,Forest Soil,Kerala,Perennial,Coffee
56.29,31.85,48.95,34.04,35.17,7.14,814.52,Red Soil,Andhra Pradesh,Perennial,Pomegranate
25.95,44.59,22.73,26.82,58.49,6.32,424.51,Loamy,Karnataka,Kharif,Pigeonpeas
76.6,26.57,63.29,31.59,58.01,5.85,364.79,Black Soil,Karnataka,Perennial,Pomegranate
85.2,31.35,63.64,36.25,47.87,6.75,379.37,Loamy,Maharashtra,Summer,Muskmelon
17.2,33.45,13.45,34.41,33.31,6.87,292.03,Arid,Maharashtra,Kharif,Mothbeans
81.24,50.34,65.86,18.43,52.92,6.65,654.7,Loamy,Punjab,Perennial,Orange
23.09,40.58,22.7,26.39,67.17,6.59,568.96,Alluvial,Rajasthan,Kharif,Mungbean
52.15,20.47,46.23,27.92,64.96,6.81,385.36,Black Soil,Karnataka,Perennial,Pomegranate
15.82,53.41,33.68,28.85,88.47,7.74,504.45,Loamy,Maharashtra,Kharif,Pigeonpeas
71.64,27.23,77.05,17.85,63.05,5.72,1450.01,Loamy,Himachal Pradesh,Perennial,Apple
17.76,59.98,20.28,34.71,64.82,5.64,717.03,Black Soil,Maharashtra,Kharif,Blackgram
82.73,43.26,184.75,29.34,85.34,6.08,2196.61,Coastal Sandy,Karnataka,Perennial,Coconut
182.09,72.59,53.96,23.89,60.38,6.74,600.25,Sandy Loam,Karnataka,Rabi,Maize
131.34,55.43,48.48,28.98,60.77,7.61,569.16,Alluvial,Andhra Pradesh,Kharif,Cotton
142.13,182.51,335.0,30.74,84.71,6.61,1975.85,Alluvial,Andhra Pradesh,Perennial,Papaya
110.35,53.65,41.89,26.01,62.17,6.53,512.46,Loamy,Rajasthan,Rabi,Maize
119.89,51.3,51.27,29.67,77.07,6.5,429.86,Loamy,Bihar,Kharif,Maize
126.39,51.7,25.3,21.84,75.75,6.94,1107.23,Alluvial,Andhra Pradesh,Kharif,Rice
245.0,189.06,338.49,29.87,75.57,6.36,1532.26,Sandy Loam,Andhra Pradesh,Perennial,Papaya
146.87,196.32,499.69,30.4,71.65,6.45,1776.27,Alluvial,Gujarat,Perennial,Papaya
