date,location,crop_type,growth_stage,soil_moisture_pct,ndvi,canopy_cover_pct,weed_density_plants_per_m2,dominant_weed_species,recommended_action,herbicide,dosage_ml_per_ha,manual_removal_required,image_path
2024-12-25,Field_18,Wheat,Vegetative,36.1,0.377,60.0,59.0,Cyperus,Broadcast spray,Metribuzin,400,No,images/weed_14.jpg
2024-05-31,Field_3,Wheat,Flowering,18.6,0.817,6.6,36.1,Amaranthus,Broadcast spray,"2,4-D",300,No,images/weed_15.jpg
2024-05-10,Field_19,Maize,Vegetative,42.2,0.479,83.5,9.2,Chenopodium,Spot treatment,Dicamba,50,Maybe,images/weed_16.jpg
2024-05-29,Field_14,Tomato,Seedling,39.3,0.634,88.9,91.7,No_weed,Broadcast spray,Metribuzin,300,No,images/weed_17.jpg
2024-11-04,Field_2,Rice,Vegetative,22.2,0.238,55.9,13.7,No_weed,Spot treatment,Dicamba,150,Maybe,images/weed_18.jpg
2024-09-14,Field_1,Cotton,Vegetative,35.0,0.254,67.7,95.0,Chenopodium,Broadcast spray,"2,4-D",200,Yes,images/weed_19.jpg
2024-12-09,Field_3,Soybean,Vegetative,35.2,0.133,88.0,44.6,Amaranthus,Broadcast spray,Glyphosate,200,No,images/weed_20.jpg
2024-10-20,Field_7,Rice,Vegetative,9.1,0.235,68.7,18.5,Chenopodium,Spot treatment,Paraquat,100,Maybe,images/weed_21.jpg
2024-07-10,Field_8,Tomato,Seedling,41.1,0.323,18.7,54.2,Amaranthus,Broadcast spray,Metribuzin,200,No,images/weed_22.jpg
2024-10-03,Field_17,Soybean,Maturity,25.2,0.242,56.9,87.3,Amaranthus,Broadcast spray,Atrazine,400,No,images/weed_23.jpg
2024-06-09,Field_20,Maize,Vegetative,38.1,0.171,59.6,73.2,Digitaria,Broadcast spray,Glyphosate,300,Yes,images/weed_24.jpg
2024-11-09,Field_1,Maize,Vegetative,17.8,0.197,43.2,80.7,Echinochloa,Broadcast spray,Atrazine,400,No,images/weed_25.jpg
2024-01-22,Field_18,Wheat,Flowering,40.8,0.469,71.3,65.9,Chenopodium,Broadcast spray,Atrazine,300,No,images/weed_26.jpg
2024-09-09,Field_7,Tomato,Vegetative,20.6,0.265,89.1,69.2,Cyperus,Broadcast spray,"2,4-D",400,No,images/weed_27.jpg
2024-08-23,Field_23,Cotton,Flowering,5.4,0.391,88.3,84.9,Echinochloa,Broadcast spray,Glyphosate,300,No,images/weed_28.jpg
2024-12-10,Field_21,Soybean,Maturity,41.2,0.503,45.6,25.0,Digitaria,Broadcast spray,Atrazine,300,No,images/weed_29.jpg
2024-02-18,Field_23,Rice,Seedling,8.7,0.652,15.2,48.9,No_weed,Broadcast spray,Atrazine,200,No,images/weed_30.jpg
2024-02-28,Field_18,Tomato,Seedling,17.8,0.131,93.6,22.1,Echinochloa,Broadcast spray,Glyphosate,400,No,images/weed_31.jpg
2024-06-18,Field_14,Tomato,Maturity,43.0,0.74,80.5,98.8,Echinochloa,Broadcast spray,"2,4-D",200,Yes,images/weed_32.jpg
2024-07-06,Field_8,Maize,Seedling,43.0,0.602,16.2,94.4,Amaranthus,Broadcast spray,"2,4-D",400,No,images/weed_33.jpg
2024-09-27,Field_15,Wheat,Maturity,27.9,0.165,87.9,3.9,Chenopodium,Monitor,None,0,No,images/weed_34.jpg
2024-07-08,Field_19,Wheat,Maturity,30.3,0.799,83.3,70.6,Cyperus,Broadcast spray,"2,4-D",300,No,images/weed_35.jpg
2024-06-23,Field_9,Soybean,Maturity,22.9,0.837,51.7,92.5,Digitaria,Broadcast spray,Metribuzin,400,No,images/weed_36.jpg
2024-02-20,Field_26,Maize,Seedling,16.7,0.149,58.2,18.1,Amaranthus,Spot treatment,None,150,Maybe,images/weed_37.jpg
2024-12-29,Field_28,Tomato,Flowering,18.1,0.322,40.9,56.8,Cyperus,Broadcast spray,Metribuzin,200,No,images/weed_38.jpg
2024-02-24,Field_1,Cotton,Maturity,31.9,0.745,9.9,91.5,Cyperus,Broadcast spray,Glyphosate,200,No,images/weed_39.jpg
2024-08-31,Field_25,Maize,Vegetative,35.1,0.699,35.2,3.4,Digitaria,Monitor,None,0,No,images/weed_40.jpg
2024-11-15,Field_26,Soybean,Seedling,36.7,0.248,77.3,69.7,No_weed,Broadcast spray,Metribuzin,300,No,images/weed_41.jpg
2024-05-10,Field_6,Soybean,Maturity,36.6,0.267,5.4,29.7,Amaranthus,Broadcast spray,Glyphosate,200,No,images/weed_42.jpg
2024-11-02,Field_23,Maize,Maturity,8.6,0.396,35.0,92.4,Echinochloa,Broadcast spray,Metribuzin,300,Yes,images/weed_43.jpg
2024-05-14,Field_14,Soybean,Vegetative,24.8,0.488,40.8,97.1,No_weed,Broadcast spray,"2,4-D",400,Yes,images/weed_44.jpg
2024-01-21,Field_11,Maize,Flowering,7.3,0.595,53.4,94.4,Echinochloa,Broadcast spray,Glyphosate,200,Yes,images/weed_45.jpg
2024-11-24,Field_9,Rice,Flowering,27.0,0.395,87.8,47.4,Cyperus,Broadcast spray,Glyphosate,200,No,images/weed_46.jpg
2024-06-15,Field_5,Maize,Flowering,22.7,0.47,36.2,86.2,Echinochloa,Broadcast spray,Glyphosate,400,Yes,images/weed_47.jpg
2024-09-30,Field_7,Maize,Maturity,40.5,0.698,36.2,84.5,Digitaria,Broadcast spray,Glyphosate,300,No,images/weed_48.jpg
2024-03-29,Field_25,Soybean,Maturity,19.0,0.129,71.4,31.9,No_weed,Broadcast spray,"2,4-D",400,Yes,images/weed_49.jpg
2024-11-11,Field_11,Soybean,Maturity,9.7,0.302,45.7,82.9,Echinochloa,Broadcast spray,"2,4-D",200,Yes,images/weed_50.jpg
2024-01-14,Field_4,Wheat,Seedling,10.7,0.671,25.2,3.7,Chenopodium,Monitor,None,0,No,images/weed_51.jpg
2024-08-29,Field_3,Wheat,Vegetative,35.5,0.816,45.7,59.6,Digitaria,Broadcast spray,Atrazine,200,Yes,images/weed_52.jpg
2024-09-21,Field_13,Rice,Maturity,29.7,0.509,17.7,23.0,Digitaria,Broadcast spray,Metribuzin,300,No,images/weed_53.jpg
2024-12-11,Field_4,Wheat,Vegetative,9.0,0.526,20.9,12.1,Amaranthus,Spot treatment,Glyphosate,50,Maybe,images/weed_54.jpg
2024-02-22,Field_12,Maize,Vegetative,8.4,0.186,49.9,7.7,Cyperus,Spot treatment,Dicamba,50,Maybe,images/weed_55.jpg
2024-12-05,Field_28,Soybean,Flowering,33.0,0.458,42.7,69.6,Echinochloa,Broadcast spray,Metribuzin,300,No,images/weed_56.jpg
2024-04-01,Field_12,Wheat,Seedling,7.9,0.526,87.3,34.0,Chenopodium,Broadcast spray,Glyphosate,400,No,images/weed_57.jpg
2024-09-20,Field_20,Wheat,Maturity,37.9,0.294,37.6,72.5,Echinochloa,Broadcast spray,Glyphosate,200,No,images/weed_58.jpg
2024-02-04,Field_9,Rice,Flowering,33.2,0.315,57.3,6.5,No_weed,Spot treatment,Glyphosate,150,Maybe,images/weed_59.jpg
2024-07-24,Field_26,Tomato,Flowering,8.3,0.402,61.9,31.5,Digitaria,Broadcast spray,Metribuzin,300,No,images/weed_60.jpg
2024-03-21,Field_2,Rice,Maturity,8.4,0.116,6.2,53.9,Chenopodium,Broadcast spray,Atrazine,300,No,images/weed_61.jpg
2024-02-19,Field_24,Maize,Vegetative,44.5,0.358,64.7,79.1,Chenopodium,Broadcast spray,"2,4-D",300,No,images/weed_62.jpg
2024-12-25,Field_15,Soybean,Flowering,20.0,0.269,21.0,31.9,Chenopodium,Broadcast spray,Glyphosate,300,Yes,images/weed_63.jpg
2024-01-02,Field_18,Rice,Vegetative,19.8,0.362,91.5,62.6,Chenopodium,Broadcast spray,"2,4-D",300,Yes,images/weed_64.jpg
2024-02-23,Field_4,Wheat,Seedling,37.5,0.196,18.4,88.6,Chenopodium,Broadcast spray,Glyphosate,300,No,images/weed_65.jpg
2024-04-15,Field_30,Soybean,Vegetative,42.9,0.812,42.3,61.6,Cyperus,Broadcast spray,Glyphosate,300,No,images/weed_66.jpg
2024-09-16,Field_13,Soybean,Seedling,44.4,0.575,12.7,23.3,Amaranthus,Broadcast spray,Atrazine,400,No,images/weed_67.jpg
2024-11-05,Field_3,Wheat,Vegetative,35.1,0.643,94.7,2.4,Amaranthus,Monitor,None,0,No,images/weed_68.jpg
2024-07-09,Field_18,Rice,Flowering,20.1,0.731,50.2,87.0,No_weed,Broadcast spray,Atrazine,300,Yes,images/weed_69.jpg
2024-08-05,Field_10,Wheat,Flowering,8.3,0.499,58.6,2.1,Cyperus,Monitor,None,0,No,images/weed_70.jpg
2024-02-13,Field_27,Tomato,Seedling,36.1,0.17,11.0,87.5,Chenopodium,Broadcast spray,Metribuzin,400,No,images/weed_71.jpg
2024-06-10,Field_21,Soybean,Maturity,27.3,0.53,72.5,52.9,Echinochloa,Broadcast spray,Glyphosate,400,No,images/weed_72.jpg
2024-07-20,Field_20,Cotton,Seedling,22.0,0.569,23.9,93.9,Amaranthus,Broadcast spray,Metribuzin,400,No,images/weed_73.jpg
2024-09-26,Field_29,Cotton,Seedling,41.3,0.696,85.8,79.9,Amaranthus,Broadcast spray,Atrazine,200,No,images/weed_74.jpg
2024-12-16,Field_28,Maize,Vegetative,9.4,0.445,23.5,99.8,Cyperus,Broadcast spray,Atrazine,400,No,images/weed_75.jpg
2024-10-30,Field_12,Wheat,Vegetative,24.7,0.202,22.2,35.1,Echinochloa,Broadcast spray,Glyphosate,300,No,images/weed_76.jpg
2024-09-27,Field_19,Wheat,Seedling,5.5,0.327,8.3,76.7,Digitaria,Broadcast spray,"2,4-D",200,No,images/weed_77.jpg
2024-08-02,Field_7,Maize,Flowering,23.7,0.39,47.5,40.2,Echinochloa,Broadcast spray,Glyphosate,300,No,images/weed_78.jpg
2024-09-08,Field_23,Maize,Vegetative,7.3,0.617,55.8,48.0,Amaranthus,Broadcast spray,Atrazine,400,No,images/weed_79.jpg
2024-07-08,Field_3,Maize,Maturity,9.8,0.557,10.9,62.8,Cyperus,Broadcast spray,"2,4-D",300,Yes,images/weed_80.jpg
2024-10-22,Field_2,Soybean,Vegetative,9.7,0.385,74.8,87.4,Digitaria,Broadcast spray,Glyphosate,200,No,images/weed_81.jpg
2024-07-31,Field_22,Tomato,Vegetative,31.0,0.889,45.8,98.4,Chenopodium,Broadcast spray,Glyphosate,300,No,images/weed_82.jpg
2024-07-26,Field_8,Wheat,Maturity,34.8,0.585,52.2,76.8,Digitaria,Broadcast spray,Atrazine,300,Yes,images/weed_83.jpg
2024-08-24,Field_25,Soybean,Seedling,28.3,0.29,44.7,41.8,Echinochloa,Broadcast spray,Atrazine,400,No,images/weed_84.jpg
2024-12-03,Field_10,Maize,Maturity,43.5,0.181,41.1,42.1,Amaranthus,Broadcast spray,Glyphosate,300,No,images/weed_85.jpg
2024-02-22,Field_3,Wheat,Seedling,20.0,0.222,55.4,73.8,Amaranthus,Broadcast spray,Metribuzin,300,Yes,images/weed_86.jpg
2024-10-06,Field_28,Soybean,Seedling,16.4,0.297,19.0,23.9,Echinochloa,Broadcast spray,Glyphosate,200,No,images/weed_87.jpg
2024-08-04,Field_8,Tomato,Seedling,39.7,0.229,21.4,11.0,Echinochloa,Spot treatment,Dicamba,50,Maybe,images/weed_88.jpg
2024-09-08,Field_28,Soybean,Maturity,13.9,0.249,82.6,35.5,Cyperus,Broadcast spray,Atrazine,300,Yes,images/weed_89.jpg
2024-07-06,Field_4,Tomato,Seedling,43.5,0.328,90.2,28.7,Digitaria,Broadcast spray,"2,4-D",200,Yes,images/weed_90.jpg
2024-02-10,Field_13,Maize,Flowering,5.5,0.239,38.6,29.6,Cyperus,Broadcast spray,Atrazine,300,No,images/weed_91.jpg
2024-06-05,Field_9,Tomato,Maturity,43.8,0.817,29.4,23.4,Chenopodium,Broadcast spray,Glyphosate,200,Yes,images/weed_92.jpg
2024-01-15,Field_15,Wheat,Flowering,6.7,0.164,63.0,4.2,Chenopodium,Monitor,None,0,No,images/weed_93.jpg
2024-10-27,Field_21,Maize,Seedling,40.6,0.52,41.8,1.8,Amaranthus,Monitor,None,0,No,images/weed_94.jpg
2024-03-05,Field_27,Wheat,Vegetative,26.1,0.428,7.3,98.8,Echinochloa,Broadcast spray,Metribuzin,200,No,images/weed_95.jpg
2024-12-10,Field_12,Cotton,Seedling,44.7,0.886,19.1,42.8,Amaranthus,Broadcast spray,Glyphosate,300,Yes,images/weed_96.jpg
2024-11-22,Field_6,Rice,Flowering,8.0,0.19,69.4,38.4,Digitaria,Broadcast spray,Metribuzin,400,No,images/weed_97.jpg
2024-01-09,Field_12,Tomato,Flowering,27.2,0.418,64.3,68.0,No_weed,Broadcast spray,"2,4-D",400,No,images/weed_98.jpg
2024-12-09,Field_12,Rice,Maturity,43.8,0.876,7.4,21.8,Amaranthus,Broadcast spray,Glyphosate,400,No,images/weed_99.jpg
2024-05-08,Field_7,Rice,Vegetative,25.9,0.792,25.0,95.0,Echinochloa,Broadcast spray,Atrazine,200,Yes,images/weed_100.jpg
2024-05-15,Field_22,Tomato,Maturity,30.2,0.754,25.8,78.6,Cyperus,Broadcast spray,"2,4-D",200,No,images/weed_101.jpg
2024-03-03,Field_9,Maize,Flowering,32.8,0.306,65.5,8.9,Cyperus,Spot treatment,Glyphosate,100,Maybe,images/weed_102.jpg
2024-05-18,Field_23,Cotton,Seedling,23.2,0.237,6.8,41.8,Cyperus,Broadcast spray,Metribuzin,200,No,images/weed_103.jpg
2024-03-21,Field_30,Wheat,Vegetative,30.1,0.635,14.4,87.9,Amaranthus,Broadcast spray,Metribuzin,400,No,images/weed_104.jpg
2024-06-11,Field_22,Soybean,Seedling,28.4,0.844,77.0,94.5,Digitaria,Broadcast spray,"2,4-D",200,No,images/weed_105.jpg
2024-10-15,Field_21,Wheat,Seedling,41.0,0.545,21.1,46.7,Echinochloa,Broadcast spray,Glyphosate,200,No,images/weed_106.jpg
2024-09-17,Field_3,Soybean,Vegetative,6.8,0.557,63.7,61.3,Amaranthus,Broadcast spray,"2,4-D",400,No,images/weed_107.jpg
2024-08-18,Field_20,Wheat,Maturity,16.2,0.324,26.4,16.7,Digitaria,Spot treatment,Paraquat,150,Maybe,images/weed_108.jpg
2024-02-10,Field_21,Tomato,Seedling,43.0,0.716,13.9,99.1,Amaranthus,Broadcast spray,"2,4-D",300,No,images/weed_109.jpg
2024-01-28,Field_6,Cotton,Flowering,40.6,0.25,26.9,23.2,Amaranthus,Broadcast spray,Glyphosate,200,No,images/weed_110.jpg
2024-05-14,Field_18,Soybean,Seedling,23.2,0.359,70.0,94.3,Echinochloa,Broadcast spray,Metribuzin,300,No,images/weed_111.jpg
2024-07-19,Field_24,Maize,Vegetative,29.8,0.44,82.0,65.0,Amaranthus,Broadcast spray,"2,4-D",300,No,images/weed_112.jpg
2024-11-23,Field_8,Wheat,Vegetative,16.1,0.506,79.7,60.8,Cyperus,Broadcast spray,Atrazine,200,No,images/weed_113.jpg
2024-09-24,Field_6,Wheat,Vegetative,12.5,0.294,40.7,51.3,Cyperus,Broadcast spray,Metribuzin,200,Yes,images/weed_114.jpg
2024-02-02,Field_15,Soybean,Maturity,23.5,0.192,65.1,23.1,Chenopodium,Broadcast spray,Atrazine,200,No,images/weed_115.jpg
2024-02-17,Field_13,Maize,Seedling,19.1,0.588,23.4,17.7,Digitaria,Spot treatment,Dicamba,100,Maybe,images/weed_116.jpg
2024-03-02,Field_9,Maize,Maturity,28.3,0.331,31.4,22.0,Amaranthus,Broadcast spray,Glyphosate,400,No,images/weed_117.jpg
2024-08-03,Field_30,Tomato,Maturity,8.1,0.565,85.7,18.6,Amaranthus,Spot treatment,Glyphosate,100,Maybe,images/weed_118.jpg
2024-10-19,Field_21,Tomato,Vegetative,44.0,0.223,6.2,78.0,Cyperus,Broadcast spray,Metribuzin,200,No,images/weed_119.jpg
2024-04-08,Field_23,Tomato,Vegetative,44.4,0.485,12.7,35.0,Cyperus,Broadcast spray,Metribuzin,200,No,images/weed_120.jpg
2024-06-20,Field_18,Tomato,Maturity,32.9,0.526,23.7,5.8,Amaranthus,Spot treatment,None,100,Maybe,images/weed_121.jpg
2024-12-25,Field_8,Tomato,Seedling,26.4,0.141,7.4,96.9,No_weed,Broadcast spray,Atrazine,300,No,images/weed_122.jpg
2024-08-01,Field_22,Tomato,Flowering,17.4,0.369,21.3,88.4,Amaranthus,Broadcast spray,"2,4-D",400,No,images/weed_123.jpg
2024-02-04,Field_11,Cotton,Maturity,37.6,0.208,57.5,92.8,Cyperus,Broadcast spray,"2,4-D",400,No,images/weed_124.jpg
2024-08-14,Field_27,Maize,Seedling,32.4,0.151,42.9,99.5,Cyperus,Broadcast spray,"2,4-D",200,Yes,images/weed_125.jpg
2024-04-10,Field_25,Tomato,Vegetative,11.5,0.892,85.3,17.4,Chenopodium,Spot treatment,Dicamba,100,Maybe,images/weed_126.jpg
2024-05-10,Field_25,Maize,Vegetative,41.4,0.358,78.6,39.6,Cyperus,Broadcast spray,Metribuzin,300,No,images/weed_127.jpg
2024-09-13,Field_2,Maize,Seedling,37.9,0.748,35.8,75.8,Chenopodium,Broadcast spray,Metribuzin,200,No,images/weed_128.jpg
2024-01-05,Field_8,Rice,Flowering,43.0,0.304,28.3,69.6,Digitaria,Broadcast spray,Atrazine,400,No,images/weed_129.jpg
2024-08-05,Field_27,Cotton,Vegetative,34.0,0.645,39.2,15.4,Chenopodium,Spot treatment,None,100,Maybe,images/weed_130.jpg
2024-09-11,Field_2,Tomato,Vegetative,29.5,0.708,58.1,81.6,Amaranthus,Broadcast spray,"2,4-D",300,No,images/weed_131.jpg
2024-12-24,Field_26,Wheat,Vegetative,21.7,0.577,29.1,22.4,Chenopodium,Broadcast spray,Metribuzin,200,No,images/weed_132.jpg
2024-10-09,Field_11,Soybean,Seedling,42.3,0.477,61.2,22.4,Cyperus,Broadcast spray,Metribuzin,400,Yes,images/weed_133.jpg
2024-07-25,Field_13,Wheat,Maturity,39.6,0.429,41.8,53.7,Chenopodium,Broadcast spray,Glyphosate,400,No,images/weed_134.jpg
2024-01-15,Field_9,Cotton,Vegetative,6.8,0.379,54.7,59.3,Echinochloa,Broadcast spray,Metribuzin,300,Yes,images/weed_135.jpg
2024-12-11,Field_3,Soybean,Maturity,6.1,0.844,44.3,58.0,Cyperus,Broadcast spray,Metribuzin,200,Yes,images/weed_136.jpg
2024-02-11,Field_7,Cotton,Flowering,20.1,0.764,31.5,9.1,Echinochloa,Spot treatment,Glyphosate,100,Maybe,images/weed_137.jpg
2024-06-27,Field_30,Maize,Vegetative,37.4,0.872,90.4,87.7,Chenopodium,Broadcast spray,"2,4-D",300,Yes,images/weed_138.jpg
2024-03-03,Field_19,Soybean,Vegetative,44.5,0.199,73.7,26.6,Amaranthus,Broadcast spray,Metribuzin,200,No,images/weed_139.jpg
2024-12-17,Field_29,Maize,Flowering,11.0,0.685,17.6,13.0,Amaranthus,Spot treatment,None,100,Maybe,images/weed_140.jpg
2024-08-18,Field_23,Wheat,Vegetative,28.8,0.851,83.2,88.9,Digitaria,Broadcast spray,Metribuzin,300,No,images/weed_141.jpg
2024-08-28,Field_11,Wheat,Maturity,20.2,0.245,48.9,95.6,Amaranthus,Broadcast spray,Metribuzin,200,No,images/weed_142.jpg
2024-02-21,Field_7,Soybean,Seedling,43.8,0.153,85.5,86.2,Chenopodium,Broadcast spray,Glyphosate,300,No,images/weed_143.jpg
2024-04-05,Field_21,Soybean,Maturity,38.7,0.693,77.0,81.0,Digitaria,Broadcast spray,"2,4-D",400,No,images/weed_144.jpg
2024-08-09,Field_16,Tomato,Seedling,38.5,0.56,43.3,65.5,No_weed,Broadcast spray,Glyphosate,400,Yes,images/weed_145.jpg
2024-08-18,Field_13,Cotton,Seedling,23.7,0.773,7.0,55.1,Digitaria,Broadcast spray,"2,4-D",400,Yes,images/weed_146.jpg
2024-08-24,Field_29,Tomato,Maturity,21.6,0.212,29.2,8.7,Digitaria,Spot treatment,Paraquat,150,Maybe,images/weed_147.jpg
2024-05-22,Field_30,Cotton,Maturity,15.9,0.736,53.7,40.8,Chenopodium,Broadcast spray,"2,4-D",400,Yes,images/weed_148.jpg
2024-06-19,Field_21,Tomato,Maturity,7.3,0.261,62.0,37.3,Cyperus,Broadcast spray,Atrazine,300,No,images/weed_149.jpg
2024-01-29,Field_15,Maize,Maturity,39.6,0.231,28.2,26.0,Echinochloa,Broadcast spray,Metribuzin,300,No,images/weed_150.jpg
2024-02-05,Field_5,Soybean,Flowering,37.5,0.231,17.5,72.3,Cyperus,Broadcast spray,Glyphosate,300,No,images/weed_151.jpg
2024-01-13,Field_9,Wheat,Vegetative,45.0,0.752,80.1,49.6,Cyperus,Broadcast spray,Glyphosate,400,No,images/weed_152.jpg
2024-06-08,Field_5,Cotton,Seedling,44.9,0.632,93.6,8.1,Digitaria,Spot treatment,Paraquat,100,Maybe,images/weed_153.jpg
2024-11-22,Field_8,Cotton,Maturity,27.2,0.518,52.3,22.0,No_weed,Broadcast spray,"2,4-D",300,No,images/weed_154.jpg
2024-07-05,Field_24,Wheat,Maturity,35.8,0.387,20.5,68.3,No_weed,Broadcast spray,Atrazine,300,No,images/weed_155.jpg
2024-08-30,Field_18,Tomato,Maturity,42.8,0.802,29.5,7.6,Cyperus,Spot treatment,Glyphosate,150,Maybe,images/weed_156.jpg
2024-03-26,Field_18,Cotton,Flowering,39.0,0.414,6.7,85.1,Digitaria,Broadcast spray,"2,4-D",400,No,images/weed_157.jpg
2024-10-10,Field_9,Maize,Maturity,14.9,0.753,87.3,49.5,Cyperus,Broadcast spray,"2,4-D",300,Yes,images/weed_158.jpg
2024-03-06,Field_24,Soybean,Maturity,23.0,0.451,15.6,48.1,Amaranthus,Broadcast spray,Metribuzin,300,Yes,images/weed_159.jpg
2024-06-18,Field_19,Wheat,Maturity,10.2,0.402,56.9,59.2,Amaranthus,Broadcast spray,Glyphosate,200,Yes,images/weed_160.jpg
2024-02-14,Field_14,Soybean,Vegetative,43.2,0.47,29.7,82.5,Digitaria,Broadcast spray,Metribuzin,400,No,images/weed_161.jpg
2024-03-02,Field_29,Cotton,Flowering,29.2,0.341,54.9,34.8,Echinochloa,Broadcast spray,"2,4-D",300,Yes,images/weed_162.jpg
2024-05-13,Field_19,Cotton,Maturity,14.1,0.698,63.6,67.8,Chenopodium,Broadcast spray,Metribuzin,400,Yes,images/weed_163.jpg
2024-10-10,Field_13,Wheat,Seedling,31.9,0.502,79.7,56.6,Chenopodium,Broadcast spray,"2,4-D",200,No,images/weed_164.jpg
2024-01-28,Field_12,Maize,Seedling,29.7,0.286,23.6,26.7,Chenopodium,Broadcast spray,"2,4-D",200,No,images/weed_165.jpg
2024-04-17,Field_8,Rice,Seedling,19.3,0.82,6.0,87.9,Echinochloa,Broadcast spray,Glyphosate,400,Yes,images/weed_166.jpg
2024-02-13,Field_5,Wheat,Flowering,9.5,0.407,17.3,79.7,Digitaria,Broadcast spray,Metribuzin,200,Yes,images/weed_167.jpg
2024-12-05,Field_17,Rice,Flowering,31.9,0.535,86.0,65.8,Echinochloa,Broadcast spray,Metribuzin,300,No,images/weed_168.jpg
2024-10-12,Field_16,Tomato,Seedling,25.8,0.825,83.7,85.1,No_weed,Broadcast spray,Atrazine,300,No,images/weed_169.jpg
2024-11-26,Field_3,Rice,Maturity,35.9,0.599,58.8,86.7,Amaranthus,Broadcast spray,Atrazine,300,No,images/weed_170.jpg
2024-05-07,Field_25,Maize,Flowering,25.8,0.194,59.0,70.8,Chenopodium,Broadcast spray,Atrazine,400,No,images/weed_171.jpg
2024-12-13,Field_2,Tomato,Seedling,39.1,0.852,64.9,83.7,Cyperus,Broadcast spray,Glyphosate,400,No,images/weed_172.jpg
2024-08-18,Field_28,Rice,Seedling,27.1,0.602,20.8,69.7,Echinochloa,Broadcast spray,Glyphosate,300,No,images/weed_173.jpg
2024-07-08,Field_4,Tomato,Maturity,27.4,0.368,87.3,68.0,Chenopodium,Broadcast spray,"2,4-D",200,No,images/weed_174.jpg
2024-08-12,Field_5,Rice,Vegetative,40.1,0.211,42.7,61.9,Echinochloa,Broadcast spray,Atrazine,200,No,images/weed_175.jpg
2024-10-09,Field_21,Maize,Flowering,21.1,0.735,39.5,75.3,Chenopodium,Broadcast spray,Glyphosate,400,No,images/weed_176.jpg
2024-04-30,Field_6,Rice,Maturity,10.4,0.596,51.7,15.9,No_weed,Spot treatment,None,100,Maybe,images/weed_177.jpg
2024-04-25,Field_26,Rice,Seedling,6.2,0.527,9.2,88.1,Echinochloa,Broadcast spray,"2,4-D",400,No,images/weed_178.jpg
2024-08-20,Field_22,Rice,Seedling,35.2,0.815,20.0,87.2,Digitaria,Broadcast spray,Metribuzin,200,No,images/weed_179.jpg
2024-09-15,Field_14,Wheat,Maturity,29.8,0.731,71.4,2.9,Cyperus,Monitor,None,0,No,images/weed_180.jpg
2024-12-24,Field_20,Wheat,Flowering,33.2,0.221,12.5,82.6,No_weed,Broadcast spray,Atrazine,200,No,images/weed_181.jpg
2024-07-16,Field_3,Wheat,Vegetative,13.5,0.349,59.3,12.9,Digitaria,Spot treatment,None,50,Maybe,images/weed_182.jpg
2024-05-16,Field_13,Maize,Vegetative,10.5,0.299,27.1,33.5,Cyperus,Broadcast spray,Metribuzin,300,No,images/weed_183.jpg
2024-11-13,Field_13,Tomato,Seedling,5.6,0.695,40.0,74.4,Cyperus,Broadcast spray,Atrazine,200,Yes,images/weed_184.jpg
2024-06-13,Field_20,Cotton,Flowering,19.0,0.127,31.0,16.1,Chenopodium,Spot treatment,Paraquat,50,Maybe,images/weed_185.jpg
