temperature,humidity,rainfall,growth_duration,label
32.72,79.63,216.78,156,Monsoon
31.25,41.71,10.51,151,Summer
40.38,38.22,22.53,160,Summer
18.59,51.9,86.69,127,Winter
32.04,80.48,282.73,97,Monsoon
27.48,51.67,59.06,172,Spring
21.17,80.13,329.9,99,Monsoon
25.52,75.9,88.45,144,Autumn
22.32,77.17,65.97,167,Autumn
23.07,67.71,55.51,169,Autumn
42.61,53.57,11.19,139,Summer
36.79,36.33,17.79,144,Summer
24.57,56.63,69.48,133,Spring
19.78,52.86,50.28,114,Spring
10.05,57.32,29.07,145,Winter
23.41,79.41,282.1,106,Monsoon
17.7,53.35,58.26,179,Spring
32.17,81.31,263.81,132,Monsoon
24.35,78.4,65.56,161,Autumn
31.27,32.01,15.61,113,Summer
41.11,29.32,28.56,163,Summer
37.64,43.19,40.68,169,Summer
17.27,49.39,40.14,135,Winter
25.89,69.51,67.31,90,Autumn
25.12,84.74,288.49,158,Monsoon
28.13,35.81,12.38,112,Summer
35.15,74.64,92.77,115,Autumn
33.12,30.37,1.49,173,Summer
30.54,74.77,343.49,105,Monsoon
9.5,79.78,13.49,118,Winter
24.96,54.56,54.3,177,Spring
23.45,51.12,59.06,141,Spring
29.64,96.59,111.98,152,Monsoon
36.21,24.75,7.86,156,Summer
5.77,59.18,19.13,91,Winter
17.04,53.47,27.86,170,Winter
32.74,33.27,10.44,106,Summer
24.8,58.46,61.06,149,Spring
22.94,87.64,84.61,97,Autumn
28.79,97.21,351.94,132,Monsoon
37.95,39.13,27.28,143,Summer
27.42,39.06,26.16,166,Summer
29.41,32.5,19.44,126,Summer
24.75,64.55,65.67,154,Spring
23.8,75.7,98.82,167,Autumn
25.83,98.1,200.0,105,Monsoon
31.16,33.8,36.29,108,Summer
39.08,21.45,0.0,97,Summer
24.92,68.04,67.51,167,Autumn
23.65,81.88,267.98,161,Monsoon
25.67,55.36,20.97,159,Spring
28.34,67.34,271.79,157,Monsoon
33.61,82.68,248.25,133,Monsoon
26.42,55.41,37.16,91,Spring
24.13,61.19,55.92,156,Spring
29.5,93.21,278.49,155,Monsoon
35.65,77.02,261.81,174,Monsoon
17.42,55.58,11.83,123,Winter
25.73,80.62,53.22,109,Autumn
14.94,56.98,24.37,113,Winter
19.1,73.08,12.92,104,Winter
27.37,49.45,65.29,115,Spring
26.44,78.04,41.97,154,Autumn
28.99,70.28,246.8,127,Monsoon
21.03,70.39,44.5,165,Winter
21.05,51.29,57.75,152,Spring
25.87,49.23,19.93,124,Spring
34.62,78.73,276.48,153,Monsoon
23.03,70.66,45.38,145,Autumn
27.77,22.94,11.99,133,Summer
31.21,36.76,28.74,151,Summer
16.94,79.92,55.73,120,Winter
14.82,49.64,59.9,133,Winter
28.89,84.56,250.72,112,Monsoon
42.99,27.2,20.79,133,Summer
24.78,52.8,30.76,92,Spring
22.18,53.09,35.35,172,Spring
24.29,75.8,306.53,106,Monsoon
35.76,45.51,30.06,103,Summer
21.46,61.96,43.57,133,Spring
34.46,43.66,11.3,112,Summer
23.18,57.82,31.85,134,Winter
28.8,59.39,69.58,106,Spring
24.61,80.55,235.9,127,Monsoon
39.53,35.88,31.57,97,Summer
20.21,52.37,5.14,124,Summer
20.6,54.53,66.1,144,Spring
27.94,89.69,219.5,165,Monsoon
26.89,61.92,40.98,173,Spring
39.75,40.68,7.36,177,Summer
29.01,46.62,66.29,115,Spring
12.71,76.95,39.33,123,Winter
11.99,73.99,39.54,167,Winter
12.27,57.53,41.6,98,Winter
30.76,86.81,257.83,114,Monsoon
23.22,74.61,62.75,109,Autumn
8.76,66.01,12.08,105,Winter
25.1,59.02,35.5,92,Summer
19.73,57.61,41.08,140,Spring
21.15,80.57,179.79,151,Monsoon
26.23,58.47,65.49,130,Spring
26.89,75.68,78.67,129,Autumn
14.72,48.81,44.96,123,Winter
12.48,44.68,55.46,175,Winter
22.95,73.46,35.3,101,Autumn
21.77,49.49,26.49,93,Spring
23.04,82.48,59.72,124,Autumn
17.73,59.44,35.62,151,Winter
17.19,70.32,17.83,155,Winter
25.19,78.27,77.95,137,Autumn
27.06,55.52,75.89,178,Spring
36.21,42.85,6.52,92,Summer
23.55,73.07,119.34,129,Autumn
24.76,60.0,48.8,165,Spring
21.94,64.69,23.46,120,Winter
28.37,77.09,104.63,109,Autumn
23.76,75.52,95.77,112,Autumn
32.88,54.61,21.15,146,Summer
26.39,63.67,63.6,138,Spring
26.48,90.75,245.6,134,Monsoon
33.31,43.24,21.35,151,Summer
22.82,56.88,32.56,171,Spring
27.35,47.4,8.82,164,Summer
21.3,78.26,64.61,175,Autumn
28.94,89.36,333.35,153,Monsoon
16.89,51.87,43.88,137,Winter
22.35,82.59,271.59,94,Monsoon
27.5,71.19,75.9,177,Autumn
28.77,42.05,14.87,135,Summer
19.42,53.82,48.81,146,Winter
32.81,57.14,32.89,164,Spring
24.08,71.29,52.04,133,Autumn
25.44,88.74,114.07,159,Autumn
27.11,92.12,255.01,156,Monsoon
26.12,75.7,85.29,169,Autumn
13.57,55.12,60.03,140,Winter
16.18,70.25,21.75,152,Winter
30.87,49.81,59.9,145,Spring
10.8,51.55,49.65,118,Winter
22.16,82.99,232.93,128,Monsoon
26.18,47.01,76.22,160,Spring
23.77,53.5,37.37,121,Spring
23.02,71.47,30.1,98,Winter
38.49,31.96,8.44,101,Summer
22.01,60.74,8.13,173,Winter
32.58,45.07,4.66,91,Summer
28.37,58.07,47.34,149,Spring
21.83,73.4,72.7,109,Autumn
32.09,27.65,31.07,178,Summer
30.26,93.25,198.99,161,Monsoon
44.15,35.53,10.1,119,Summer
40.47,95.75,342.72,96,Monsoon
24.14,90.9,216.97,155,Monsoon
23.06,52.41,54.12,110,Spring
32.02,32.47,0.0,124,Summer
16.59,46.2,54.63,127,Winter
24.1,45.61,40.23,140,Summer
23.12,58.71,41.33,152,Spring
19.24,77.17,55.3,141,Autumn
32.17,53.45,57.88,114,Spring
35.77,44.62,42.13,134,Summer
40.12,46.64,14.71,147,Summer
32.11,67.88,60.66,177,Autumn
37.4,55.62,21.04,175,Summer
22.52,74.29,86.81,148,Autumn
29.23,81.34,66.71,146,Autumn
28.06,19.24,25.93,173,Summer
29.5,48.51,53.44,142,Spring
38.29,38.96,29.62,145,Summer
23.87,52.06,53.91,147,Spring
28.66,71.82,53.25,176,Autumn
25.73,80.67,83.09,124,Autumn
32.47,33.16,8.02,147,Summer
22.09,48.87,69.18,102,Spring
29.27,75.89,56.06,168,Autumn
39.66,57.64,2.34,115,Summer
22.95,68.58,120.93,158,Autumn
20.35,58.84,61.81,115,Spring
32.69,28.69,40.82,114,Summer
27.2,85.03,258.32,144,Monsoon
38.92,47.67,21.86,141,Summer
22.54,82.24,93.17,133,Autumn
14.87,52.83,26.2,168,Winter
25.68,49.08,56.15,135,Spring
38.33,37.97,32.03,176,Summer
23.55,68.46,98.21,158,Autumn
12.72,61.43,0.0,149,Winter
22.28,65.44,86.64,116,Winter
9.05,61.44,8.27,153,Winter
22.3,83.17,302.66,129,Monsoon
23.38,81.05,68.31,167,Autumn
28.71,27.31,26.69,96,Summer
25.66,75.06,57.8,113,Autumn
18.81,51.08,72.19,90,Spring
20.55,48.76,9.7,147,Winter
26.86,75.97,99.22,159,Autumn
18.98,69.17,29.62,92,Autumn
23.7,74.93,56.42,173,Autumn
25.73,48.13,43.24,130,Spring
28.59,54.79,7.54,176,Summer
32.72,100.0,175.52,98,Monsoon
24.55,89.72,278.51,113,Monsoon
24.95,74.39,97.22,98,Autumn
23.91,57.28,62.25,154,Spring
20.39,85.98,292.86,103,Monsoon
15.84,65.96,58.41,154,Winter
17.24,48.39,41.71,99,Spring
36.76,42.3,16.62,122,Summer
29.99,47.07,29.2,155,Summer
14.17,65.41,28.03,92,Winter
31.59,96.1,300.1,115,Monsoon
31.99,38.92,27.12,131,Summer
23.26,48.56,44.58,95,Spring
24.23,60.67,46.82,107,Spring
12.88,67.95,22.33,157,Winter
34.56,37.49,20.78,97,Summer
28.87,91.4,363.21,131,Monsoon
9.71,55.41,13.83,127,Winter
23.97,62.25,40.75,178,Spring
24.5,50.42,63.19,119,Spring
19.93,62.55,30.81,130,Winter
22.0,65.99,77.94,112,Autumn
28.03,53.03,21.56,125,Spring
23.52,74.35,80.15,170,Autumn
27.01,81.33,58.51,150,Autumn
23.18,70.33,39.97,141,Spring
32.6,78.67,387.86,119,Monsoon
19.82,62.12,44.55,132,Winter
8.24,57.72,43.55,146,Winter
24.6,55.93,67.97,115,Spring
39.43,47.36,7.47,125,Summer
25.41,63.21,93.02,102,Autumn
34.04,43.0,9.86,112,Summer
36.24,39.71,22.83,144,Summer
18.49,45.79,22.67,163,Winter
27.05,53.42,42.71,153,Spring
30.2,55.76,17.38,134,Spring
27.87,75.4,70.7,151,Autumn
23.34,67.55,86.32,146,Autumn
37.42,36.27,6.65,166,Summer
34.28,47.04,32.99,136,Summer
26.73,60.57,40.45,93,Spring
28.31,72.73,252.45,136,Monsoon
25.73,77.73,171.61,147,Monsoon
26.88,53.43,18.1,113,Winter
29.14,80.91,54.61,120,Autumn
26.96,82.56,183.45,178,Monsoon
26.84,92.12,273.24,111,Monsoon
29.11,81.77,270.55,154,Monsoon
21.85,80.33,83.29,100,Autumn
21.63,82.93,76.24,132,Autumn
16.51,69.45,37.71,167,Winter
22.16,75.21,83.98,112,Autumn
41.39,55.9,20.18,164,Summer
25.41,76.33,253.39,104,Monsoon
17.99,47.28,30.86,162,Winter
28.16,82.71,155.85,92,Monsoon
19.01,44.62,8.4,140,Winter
31.85,85.36,233.63,136,Monsoon
23.09,74.5,64.42,163,Autumn
19.06,63.43,47.08,167,Spring
24.1,83.55,97.05,95,Autumn
25.65,54.16,39.12,107,Spring
22.12,56.74,59.26,167,Spring
16.46,53.35,7.3,101,Winter
20.98,71.33,109.89,160,Autumn
24.04,67.53,57.41,97,Autumn
33.18,37.73,21.15,177,Summer
30.34,81.76,269.93,159,Monsoon
39.58,38.22,32.11,119,Summer
31.64,99.2,253.13,107,Monsoon
35.05,35.16,27.52,92,Summer
31.85,82.41,158.26,147,Monsoon
28.64,55.16,38.74,110,Spring
16.5,59.54,45.68,124,Winter
19.12,65.64,78.48,120,Autumn
27.6,78.89,223.07,121,Monsoon
22.39,64.98,50.5,95,Winter
27.55,96.08,215.47,160,Monsoon
21.39,77.94,61.86,141,Autumn
26.05,75.81,55.82,130,Autumn
28.47,89.16,266.78,115,Monsoon
31.12,72.49,202.86,115,Monsoon
5.0,39.44,23.45,99,Winter
23.77,65.46,66.4,143,Autumn
10.97,58.3,44.15,124,Winter
36.63,35.31,14.91,174,Summer
34.37,37.25,0.0,151,Summer
33.99,25.72,11.9,150,Summer
29.97,82.46,110.57,92,Autumn
24.52,56.09,60.47,141,Spring
22.75,60.25,21.45,174,Spring
19.56,73.96,47.42,154,Winter
26.58,73.53,58.88,108,Autumn
37.26,85.18,270.19,171,Monsoon
21.63,56.37,44.95,122,Spring
26.38,60.99,42.58,140,Spring
13.51,75.13,25.19,138,Winter
21.91,57.24,56.5,154,Spring
27.33,72.04,79.16,124,Autumn
20.89,56.67,8.09,110,Spring
35.87,49.3,21.85,106,Summer
33.87,16.38,0.0,142,Summer
21.23,72.93,80.88,150,Autumn
28.52,73.7,197.92,154,Monsoon
18.01,56.21,69.87,104,Winter
25.26,55.11,45.66,166,Spring
35.46,28.4,7.1,154,Summer
26.25,78.94,248.25,158,Monsoon
23.23,80.36,72.43,118,Autumn
41.8,45.56,9.16,126,Summer
31.7,24.12,20.32,133,Summer
10.38,52.08,2.91,117,Winter
25.43,99.17,223.0,147,Monsoon
13.94,61.4,8.58,178,Winter
29.39,85.67,187.93,129,Monsoon
25.68,89.13,309.67,152,Monsoon
29.33,35.52,24.97,158,Summer
19.89,77.88,90.5,136,Autumn
23.48,65.1,86.31,169,Autumn
22.66,66.38,117.68,128,Autumn
35.5,36.62,15.82,171,Summer
30.75,70.4,93.95,159,Autumn
24.3,84.65,190.47,133,Monsoon
23.71,45.97,38.27,101,Spring
30.99,56.78,22.4,124,Summer
15.86,51.74,40.52,177,Winter
5.0,65.07,19.67,177,Winter
15.88,63.99,7.23,171,Winter
8.56,63.34,35.84,165,Winter
17.95,64.06,49.68,117,Winter
24.88,55.28,47.39,165,Spring
21.74,36.89,12.66,123,Summer
26.44,85.59,273.41,110,Monsoon
31.9,43.33,33.25,94,Summer
22.37,75.24,52.5,131,Winter
31.08,85.97,235.71,152,Monsoon
23.12,55.79,36.76,168,Spring
28.51,52.96,54.88,103,Spring
33.77,71.85,317.49,171,Monsoon
15.62,46.36,33.09,102,Winter
27.47,48.65,40.39,123,Spring
25.36,50.94,57.27,156,Spring
23.05,75.43,76.41,98,Autumn
21.34,57.72,7.16,111,Winter
24.26,73.93,80.9,102,Autumn
14.81,33.83,4.58,128,Winter
24.88,91.3,313.22,96,Monsoon
42.34,28.74,22.34,165,Summer
25.52,79.98,258.19,111,Monsoon
25.09,44.84,54.1,130,Spring
9.55,68.83,39.28,110,Winter
26.06,69.17,52.31,168,Autumn
33.78,44.68,17.23,144,Summer
21.96,52.63,57.05,94,Spring
18.83,68.55,0.0,103,Winter
40.89,30.77,18.07,111,Summer
27.94,74.09,73.06,165,Autumn
15.95,34.45,45.86,153,Winter
28.44,75.36,216.95,146,Monsoon
26.95,90.27,277.86,178,Monsoon
22.66,70.87,85.95,140,Autumn
23.61,41.39,26.96,168,Summer
20.63,55.3,10.59,159,Winter
12.73,54.89,55.58,95,Winter
25.05,45.95,49.89,152,Spring
32.96,40.57,19.56,148,Summer
29.77,100.0,196.47,154,Monsoon
30.61,56.78,27.61,96,Spring
27.21,46.91,26.05,176,Summer
21.92,70.95,25.06,161,Winter
15.15,58.21,27.02,164,Winter
27.4,26.14,30.32,113,Summer
18.17,76.4,0.0,171,Winter
34.12,81.66,230.46,110,Monsoon
32.06,30.66,13.82,123,Summer
22.94,75.36,260.3,120,Monsoon
22.92,71.61,88.63,101,Autumn
15.17,65.71,22.4,92,Winter
23.5,79.47,67.25,115,Autumn
23.71,68.34,84.39,158,Autumn
25.47,79.97,340.16,120,Monsoon
28.6,52.08,44.28,173,Spring
12.76,54.43,39.49,128,Winter
8.52,58.27,25.05,179,Winter
24.48,70.91,105.66,175,Autumn
11.73,63.58,61.8,167,Winter
24.08,81.5,46.09,115,Autumn
27.53,64.83,80.27,106,Autumn
36.19,69.72,217.65,165,Monsoon
29.91,46.38,13.78,165,Summer
25.17,61.03,55.36,111,Spring
22.23,54.3,62.48,90,Spring
15.56,62.38,38.65,130,Winter
21.31,68.88,320.29,167,Monsoon
20.71,69.84,53.22,90,Winter
23.95,77.07,66.54,169,Autumn
26.06,52.97,39.93,177,Spring
11.42,72.43,46.8,123,Winter
23.98,56.7,72.89,164,Spring
32.07,26.32,25.28,145,Summer
30.41,10.0,0.8,106,Summer
34.86,41.73,27.49,111,Summer
26.98,99.13,207.13,95,Monsoon
12.35,65.96,35.9,130,Winter
21.27,75.76,67.14,177,Autumn
22.61,77.55,66.72,128,Autumn
40.97,47.87,33.61,103,Summer
27.78,61.64,58.86,93,Spring
10.35,46.36,22.56,148,Winter
7.35,55.69,24.79,119,Winter
22.33,82.03,66.12,179,Autumn
5.0,57.91,42.33,97,Winter
21.13,55.73,39.9,169,Spring
27.3,59.07,43.65,163,Spring
20.17,77.76,53.56,98,Autumn
22.64,74.55,95.06,134,Autumn
5.67,47.52,21.37,167,Winter
31.31,36.15,28.45,101,Summer
38.28,49.11,11.86,113,Summer
19.59,60.17,45.08,112,Spring
19.68,54.79,30.42,170,Winter
24.46,62.74,57.88,150,Autumn
26.61,80.12,95.92,127,Autumn
6.42,61.49,27.88,138,Winter
38.1,59.2,0.0,150,Summer
16.37,62.2,46.25,134,Winter
28.68,91.62,232.22,116,Monsoon
24.82,93.44,185.43,169,Monsoon
34.26,37.07,7.93,108,Summer
15.46,53.34,11.44,112,Winter
16.55,58.16,43.54,137,Winter
27.14,91.55,280.17,110,Monsoon
31.97,73.57,241.65,176,Monsoon
26.64,55.3,51.79,143,Spring
27.74,68.12,270.15,138,Monsoon
20.92,77.09,89.86,162,Autumn
26.76,68.33,62.82,124,Spring
9.98,71.45,60.83,148,Winter
37.36,43.29,29.11,150,Summer
33.69,27.4,17.34,111,Summer
13.93,54.63,26.34,141,Winter
25.65,69.25,92.57,128,Autumn
32.82,27.38,15.03,168,Summer
24.43,69.99,93.38,169,Autumn
27.82,87.74,310.65,178,Monsoon
23.26,75.63,88.24,127,Autumn
9.21,54.72,20.53,94,Winter
34.84,89.79,217.72,172,Monsoon
22.99,77.14,214.64,90,Monsoon
30.35,80.31,320.53,148,Monsoon
33.82,34.44,4.88,117,Summer
31.11,40.37,31.11,145,Summer
9.06,51.04,82.44,133,Winter
35.07,73.08,245.55,109,Monsoon
16.88,73.66,47.27,161,Winter
34.4,37.88,10.61,115,Summer
30.53,70.08,79.29,101,Autumn
23.79,77.61,126.31,96,Autumn
23.59,81.26,93.72,144,Autumn
15.88,67.7,0.0,161,Winter
25.26,56.03,73.68,164,Spring
21.16,54.02,19.41,178,Spring
19.73,56.44,0.0,150,Winter
26.61,51.79,46.53,131,Spring
27.88,45.08,16.3,125,Summer
28.14,72.99,168.13,142,Monsoon
31.13,82.72,233.42,122,Monsoon
25.28,69.6,69.51,158,Autumn
27.37,72.95,64.97,159,Autumn
23.81,75.08,116.81,154,Autumn
39.41,34.5,12.35,154,Summer
28.84,74.86,215.88,163,Monsoon
21.17,72.17,93.23,166,Autumn
24.46,69.53,72.52,175,Autumn
24.13,71.02,68.35,167,Autumn
23.97,67.74,90.06,98,Autumn
25.21,64.32,68.31,154,Autumn
28.57,78.28,57.36,94,Autumn
29.19,67.93,220.17,138,Monsoon
36.7,32.6,18.52,123,Summer
12.62,52.41,10.02,152,Winter
23.97,38.01,37.01,110,Summer
7.02,60.85,26.07,166,Winter
22.49,75.91,67.58,163,Autumn
37.54,19.99,16.09,114,Summer
19.9,66.57,13.2,116,Winter
25.16,48.71,44.67,94,Spring
24.84,56.89,14.67,129,Spring
35.44,92.18,270.38,132,Monsoon
24.2,53.62,37.22,101,Spring
24.3,46.55,16.27,114,Spring
29.5,38.01,18.16,175,Summer
12.66,68.04,55.74,90,Winter
35.82,36.19,22.37,150,Summer
24.35,58.41,56.52,108,Spring
24.06,84.99,70.17,101,Autumn
29.56,89.62,188.92,143,Monsoon
23.08,50.3,42.6,176,Winter
27.76,55.0,47.12,107,Spring
13.23,55.22,0.0,154,Winter
33.65,38.61,19.28,125,Summer
26.37,83.35,89.84,169,Autumn
24.24,82.81,95.31,107,Autumn
8.35,42.52,57.49,91,Winter
28.18,57.16,76.86,122,Spring
27.04,80.71,251.39,162,Monsoon
21.13,57.92,80.12,126,Spring
38.54,48.61,11.86,137,Summer
22.07,38.78,54.97,178,Spring
22.07,71.38,87.93,95,Autumn
23.64,86.45,57.98,153,Autumn
19.67,68.71,58.35,143,Autumn
37.35,44.52,38.32,165,Summer
5.08,49.46,35.21,172,Winter
25.94,98.3,243.76,150,Monsoon
33.52,75.87,289.51,150,Monsoon
28.2,81.78,214.73,167,Monsoon
30.72,93.58,233.94,161,Monsoon
13.58,54.66,36.11,124,Winter
30.58,55.07,56.99,138,Spring
36.19,36.43,20.28,176,Summer
14.18,50.77,35.85,115,Winter
36.61,13.75,11.74,148,Summer
20.97,51.41,49.37,138,Winter
11.71,51.96,36.59,110,Winter
23.18,54.25,63.41,118,Spring
29.0,65.46,66.71,98,Autumn
24.07,80.35,86.63,93,Autumn
32.24,84.73,266.36,117,Monsoon
21.64,61.32,40.96,154,Winter
32.79,33.4,22.82,108,Summer
19.53,49.31,23.36,144,Winter
13.05,74.48,91.01,155,Autumn
30.54,82.73,314.77,149,Monsoon
23.06,46.06,26.84,175,Winter
17.28,79.11,87.91,136,Autumn
22.43,79.1,96.39,99,Autumn
21.68,75.69,112.09,152,Autumn
24.97,74.42,61.95,143,Autumn
21.85,78.0,84.18,120,Autumn
32.75,100.0,276.08,135,Monsoon
9.15,47.9,26.55,119,Winter
24.22,68.34,100.48,136,Autumn
22.02,76.51,96.68,108,Autumn
19.69,73.19,87.16,97,Autumn
21.1,60.46,29.92,141,Winter
13.87,66.7,17.0,137,Winter
12.67,62.32,46.26,99,Winter
22.05,55.44,34.23,141,Spring
27.43,85.65,266.1,94,Monsoon
17.16,80.04,21.58,101,Winter
26.37,98.32,279.63,97,Monsoon
20.76,69.47,78.12,102,Autumn
18.83,68.34,43.41,154,Winter
