record_id,district_code,latitude,longitude,field_id,area_m2,crop_name,crop_type,season,agro_climatic_zone,soil_n,soil_p,soil_k,soil_ph,organic_carbon,soil_texture,soil_moisture_pct,groundwater_depth_m,avg_rainfall_mm,rainfall_mm,rainfall_30d_mm,rainfall_60d_mm,rainfall_effective_mm,avg_temp_c,temperature_avg_c,humidity_pct,et0_mm,kc_value,ndvi_mean,ndvi_max,ndvi_trend,ndvi_t1,ndvi_t2,ndvi_t3,ndvi_t4,ndvi_t5,ndvi_t6,evi_t1,evi_t2,ndwi_t1,ndwi_t2,sowing_day_of_year,growth_stage,irrigation_method,recommended_crop,yield_kg,water_required_m3,season_target,sowing_day_of_year_num
2880,GJ021,29.44,71.19,FLD02880,19787,Sugarcane,Commercial,Year-round,Semi-Arid,269,50,176,6.7,0.67,Sandy Loam,20,16.7,769,640,214,402,560,29.2,29.2,60,7.1,1.17,0.63,0.69,0.018,0.6,0.59,0.59,0.66,0.67,0.69,0.49,0.49,0.29,0.34,152,Mature,Drip,Sugarcane,97555,0,Kharif,152
2885,UP045,25.7,82.71,FLD02885,8643,Sugarcane,Commercial,Year-round,Humid,319,52,206,7.6,0.83,Loam,27,7.3,1888,1641,554,1075,1530,27.8,27.8,77,7.1,1.17,0.65,0.71,0.02,0.61,0.6,0.65,0.68,0.66,0.71,0.54,0.53,0.31,0.3,144,Grain filling,Sprinkler,Sugarcane,45552,0,Kharif,144
2886,TN030,17.85,86.83,FLD02886,13571,Sugarcane,Commercial,Year-round,Plateau,191,35,195,7.4,0.69,Sandy Clay,35,13.1,1119,1056,344,674,919,27.4,27.4,62,5.7,1.17,0.64,0.7,0.02,0.59,0.62,0.59,0.67,0.7,0.69,0.49,0.52,0.29,0.28,145,Flowering,Surface,Sugarcane,63603,0,Kharif,145
2887,GJ026,19.22,87.79,FLD02887,7635,Sugarcane,Commercial,Year-round,Semi-Arid,186,37,174,6.0,0.77,Laterite,38,17.1,714,656,201,423,593,30.5,30.5,61,6.9,1.17,0.64,0.7,0.012,0.61,0.58,0.64,0.64,0.7,0.67,0.52,0.48,0.27,0.32,151,Tuber bulking,Sprinkler,Sugarcane,35988,0,Kharif,151
2890,MP036,18.23,82.84,FLD02890,9719,Sugarcane,Commercial,Year-round,Sub-Humid,195,39,206,7.3,0.82,Sandy Loam,30,11.5,990,897,312,546,804,27.6,27.6,75,6.4,1.17,0.64,0.7,0.024,0.57,0.61,0.63,0.64,0.7,0.69,0.49,0.52,0.31,0.29,147,Nut development,Drip,Sugarcane,47327,0,Kharif,147
2894,PB032,28.44,76.16,FLD02894,11589,Sugarcane,Commercial,Year-round,Sub-Humid,193,44,199,6.7,0.55,Laterite,24,8.8,1079,996,306,745,867,28.2,28.2,73,6.2,1.17,0.62,0.67,0.018,0.57,0.6,0.59,0.66,0.67,0.66,0.5,0.52,0.33,0.25,158,Grand growth,Sprinkler,Sugarcane,53995,0,Kharif,158
2896,MH019,16.8,85.97,FLD02896,14392,Sugarcane,Commercial,Year-round,Coastal,190,29,204,7.3,0.63,Laterite,37,6.7,2701,2275,1005,1469,2144,28.2,28.2,77,6.8,1.17,0.64,0.71,0.03,0.56,0.59,0.62,0.67,0.7,0.71,0.47,0.52,0.34,0.33,162,Flowering,Drip,Sugarcane,77726,0,Kharif,162
2898,TN022,19.56,80.05,FLD02898,12413,Sugarcane,Commercial,Year-round,Sub-Humid,247,44,219,6.6,0.91,Sandy,29,11.9,1010,918,320,576,853,29.0,29.0,70,6.0,1.17,0.65,0.71,0.014,0.62,0.61,0.65,0.65,0.71,0.69,0.53,0.51,0.32,0.27,161,Mature,Drip,Sugarcane,65242,0,Kharif,161
2899,UP036,11.69,75.61,FLD02899,16348,Sugarcane,Commercial,Year-round,Coastal,233,46,194,6.6,0.52,Loam,26,8.6,1848,1445,608,1032,1335,30.7,30.7,77,6.4,1.17,0.64,0.69,0.024,0.57,0.59,0.64,0.65,0.67,0.69,0.48,0.52,0.34,0.3,140,Tuber development,Sprinkler,Sugarcane,88600,0,Kharif,140
2901,UP037,11.37,71.16,FLD02901,8329,Sugarcane,Commercial,Year-round,Sub-Humid,230,42,216,6.6,0.75,Loam,32,10.7,1029,821,257,614,751,29.1,29.1,73,5.9,1.17,0.64,0.71,0.016,0.61,0.57,0.59,0.69,0.71,0.69,0.51,0.5,0.28,0.26,151,Grand growth,Drip,Sugarcane,46458,0,Kharif,151
2902,AP040,16.24,70.05,FLD02902,7785,Sugarcane,Commercial,Year-round,Sub-Humid,237,51,228,7.5,0.97,Sandy Clay,28,12.5,1188,1086,366,657,991,29.6,29.6,68,7.0,1.17,0.64,0.7,0.026,0.57,0.58,0.64,0.69,0.69,0.7,0.49,0.5,0.26,0.33,152,Tuber bulking,Surface,Sugarcane,46199,0,Kharif,152
2904,MH020,18.16,73.89,FLD02904,13725,Sugarcane,Commercial,Year-round,Semi-Arid,295,41,227,7.5,0.73,Sandy Clay,27,14.9,543,461,186,325,420,31.0,31.0,67,5.6,1.17,0.63,0.7,0.024,0.56,0.6,0.62,0.64,0.7,0.68,0.48,0.52,0.26,0.29,162,Reproductive,Sprinkler,Sugarcane,79351,0,Kharif,162
2905,TN048,12.52,82.79,FLD02905,10823,Sugarcane,Commercial,Year-round,Humid,192,35,198,6.6,0.78,Sandy Loam,25,7.5,2362,2216,793,1663,1907,25.5,25.5,76,6.8,1.17,0.65,0.71,0.022,0.6,0.6,0.63,0.68,0.69,0.71,0.5,0.5,0.34,0.31,156,Pod formation,Sprinkler,Sugarcane,53857,0,Kharif,156
2907,HR015,17.8,81.61,FLD02907,12440,Sugarcane,Commercial,Year-round,Sub-Humid,180,30,197,7.6,0.88,Clay,23,8.3,1085,837,347,597,770,28.8,28.8,69,5.9,1.17,0.65,0.69,0.016,0.61,0.61,0.62,0.68,0.67,0.69,0.51,0.54,0.32,0.27,168,Boll formation,Sprinkler,Sugarcane,65119,0,Kharif,168
2908,MH041,30.24,81.61,FLD02908,16233,Sugarcane,Commercial,Year-round,Mountain,290,52,210,6.8,0.84,Laterite,24,9.3,3174,2599,957,1963,2404,24.1,24.1,79,5.5,1.17,0.64,0.7,0.02,0.57,0.6,0.63,0.64,0.7,0.67,0.47,0.5,0.34,0.26,151,Tuber development,Surface,Sugarcane,92985,0,Kharif,151
2909,RJ031,23.53,74.15,FLD02909,12762,Sugarcane,Commercial,Year-round,Sub-Humid,245,51,230,7.6,0.64,Laterite,33,10.4,971,872,340,649,773,27.0,27.0,68,5.8,1.17,0.65,0.7,0.024,0.57,0.61,0.64,0.68,0.7,0.69,0.47,0.51,0.27,0.32,144,Bulbing,Surface,Sugarcane,66343,0,Kharif,144
2911,HR002,25.89,70.4,FLD02911,6616,Sugarcane,Commercial,Year-round,Sub-Humid,232,45,230,7.4,0.7,Clay,22,11.1,1008,849,375,540,784,29.6,29.6,74,5.7,1.17,0.64,0.67,0.012,0.6,0.62,0.62,0.67,0.67,0.66,0.52,0.54,0.31,0.3,161,Tuber bulking,Sprinkler,Sugarcane,38697,0,Kharif,161
2917,GJ023,10.66,89.6,FLD02917,7384,Sugarcane,Commercial,Year-round,Arid,273,29,174,6.0,0.8,Sandy Clay,25,16.4,461,417,171,284,395,36.0,36.0,57,5.6,1.17,0.65,0.7,0.018,0.6,0.61,0.63,0.69,0.7,0.69,0.49,0.51,0.32,0.3,155,Grain filling,Drip,Sugarcane,37313,0,Kharif,155
2919,MP026,29.71,71.57,FLD02919,11471,Sugarcane,Commercial,Year-round,Sub-Humid,202,33,240,7.4,0.91,Loam,23,9.1,863,745,299,506,704,29.6,29.6,76,6.5,1.17,0.64,0.67,0.008,0.62,0.6,0.64,0.64,0.67,0.66,0.52,0.52,0.32,0.3,150,Flush,Surface,Sugarcane,63058,0,Kharif,150
2920,KA024,17.26,73.31,FLD02920,10536,Sugarcane,Commercial,Year-round,Plateau,301,37,184,7.0,0.57,Laterite,38,8.6,850,772,303,476,696,26.5,26.5,69,6.8,1.17,0.64,0.68,0.016,0.59,0.62,0.61,0.65,0.68,0.67,0.5,0.51,0.26,0.32,166,Boll formation,Drip,Sugarcane,52222,0,Kharif,166
2923,MP048,8.12,79.64,FLD02923,10521,Sugarcane,Commercial,Year-round,Coastal,316,52,236,6.6,0.55,Laterite,31,8.2,1195,971,302,773,870,29.0,29.0,70,6.7,1.17,0.65,0.71,0.02,0.59,0.6,0.62,0.69,0.71,0.69,0.49,0.52,0.28,0.33,145,Tuber development,Sprinkler,Sugarcane,62634,0,Kharif,145
2925,PB029,22.1,70.03,FLD02925,14635,Sugarcane,Commercial,Year-round,Arid,317,40,226,6.1,0.88,Sandy Clay,31,19.5,385,341,142,259,298,30.1,30.1,50,6.9,1.17,0.64,0.71,0.024,0.58,0.58,0.61,0.66,0.71,0.7,0.5,0.48,0.34,0.28,147,Flowering,Sprinkler,Sugarcane,98498,0,Kharif,147
2926,KA016,16.72,74.2,FLD02926,16518,Sugarcane,Commercial,Year-round,Coastal,272,29,191,6.9,0.59,Sandy Clay,27,9.9,927,729,303,521,650,30.1,30.1,79,6.4,1.17,0.65,0.71,0.018,0.62,0.62,0.59,0.63,0.7,0.71,0.52,0.51,0.29,0.3,149,Bulbing,Sprinkler,Sugarcane,89534,0,Kharif,149
2930,KA043,28.65,78.39,FLD02930,10575,Sugarcane,Commercial,Year-round,Mountain,204,50,196,6.7,0.83,Laterite,25,12.9,1755,1515,656,971,1369,23.9,23.9,80,6.0,1.17,0.65,0.71,0.016,0.6,0.62,0.61,0.68,0.71,0.68,0.51,0.51,0.32,0.26,170,Tillering,Drip,Sugarcane,55309,0,Kharif,170
2931,GJ044,28.07,93.85,FLD02931,15134,Sugarcane,Commercial,Year-round,Mountain,309,44,188,6.4,0.94,Laterite,35,9.8,3173,2401,1030,1638,2066,17.7,17.7,64,6.3,1.17,0.65,0.7,0.008,0.62,0.6,0.61,0.68,0.7,0.66,0.52,0.51,0.24,0.34,162,Pod formation,Sprinkler,Sugarcane,77643,0,Kharif,162
2933,GJ009,24.76,79.04,FLD02933,16224,Sugarcane,Commercial,Year-round,Sub-Humid,206,44,227,6.9,0.86,Clay,30,9.5,939,794,259,569,694,29.8,29.8,75,6.0,1.17,0.64,0.68,0.02,0.57,0.6,0.64,0.68,0.67,0.67,0.48,0.52,0.31,0.24,150,Tuber development,Sprinkler,Sugarcane,86923,0,Kharif,150
2937,UP021,18.97,82.12,FLD02937,15068,Sugarcane,Commercial,Year-round,Humid,220,47,239,5.8,0.54,Sandy Clay,33,8.5,1619,1272,465,764,1195,25.5,25.5,85,6.3,1.17,0.65,0.7,0.014,0.61,0.6,0.62,0.69,0.7,0.68,0.51,0.5,0.3,0.3,155,Tuber development,Surface,Sugarcane,80697,0,Kharif,155
2938,UP029,23.48,79.9,FLD02938,13826,Sugarcane,Commercial,Year-round,Semi-Arid,195,51,202,5.9,0.87,Clay,25,13.2,827,654,235,477,576,28.5,28.5,63,6.1,1.17,0.63,0.69,0.016,0.61,0.58,0.59,0.66,0.66,0.69,0.54,0.51,0.24,0.29,165,Boll formation,Sprinkler,Sugarcane,70906,0,Kharif,165
2939,KA019,11.57,72.36,FLD02939,5726,Sugarcane,Commercial,Year-round,Coastal,197,29,214,6.1,0.94,Loam,33,10.3,1214,924,403,596,801,30.5,30.5,77,7.1,1.17,0.65,0.7,0.018,0.61,0.57,0.64,0.66,0.69,0.7,0.5,0.49,0.31,0.26,143,Bearing,Surface,Sugarcane,27584,0,Kharif,143
2941,TN036,18.79,72.43,FLD02941,11788,Sugarcane,Commercial,Year-round,Arid,204,52,212,6.0,0.87,Clay,28,20.9,485,449,189,288,382,32.9,32.9,45,6.6,1.17,0.63,0.69,0.018,0.57,0.61,0.59,0.69,0.68,0.66,0.49,0.52,0.32,0.25,155,Pod formation,Drip,Sugarcane,65007,0,Kharif,155
2943,GJ003,8.34,86.19,FLD02943,16609,Sugarcane,Commercial,Year-round,Coastal,207,30,191,6.7,0.74,Clay,30,7.7,2173,1891,716,1373,1623,29.2,29.2,72,5.6,1.17,0.65,0.71,0.022,0.58,0.62,0.64,0.68,0.71,0.69,0.5,0.53,0.33,0.24,163,Tillering,Sprinkler,Sugarcane,84121,0,Kharif,163
2944,UP004,20.09,78.72,FLD02944,7097,Sugarcane,Commercial,Year-round,Sub-Humid,223,52,234,6.4,0.65,Sandy Clay,22,10.5,972,829,329,541,727,28.7,28.7,69,7.0,1.17,0.63,0.69,0.024,0.56,0.61,0.61,0.64,0.69,0.68,0.48,0.53,0.34,0.33,142,Vegetative,Surface,Sugarcane,39296,0,Kharif,142
2948,PB007,25.94,73.86,FLD02948,13490,Sugarcane,Commercial,Year-round,Plateau,235,46,197,6.7,0.77,Sandy Clay,37,8.8,1152,954,309,600,899,31.5,31.5,70,5.7,1.17,0.64,0.69,0.012,0.61,0.61,0.64,0.64,0.69,0.67,0.5,0.53,0.33,0.33,141,Fruiting,Sprinkler,Sugarcane,72130,0,Kharif,141
2951,KA001,21.7,84.04,FLD02951,15715,Sugarcane,Commercial,Year-round,Plateau,208,29,232,6.1,0.82,Clay Loam,23,13.2,731,692,237,488,624,29.9,29.9,71,6.3,1.17,0.64,0.7,0.022,0.57,0.59,0.63,0.64,0.7,0.68,0.5,0.49,0.34,0.28,161,Bulbing,Surface,Sugarcane,86431,0,Kharif,161
2952,UP044,23.98,87.89,FLD02952,11745,Sugarcane,Commercial,Year-round,Arid,286,29,233,6.4,0.7,Laterite,36,15.8,269,214,73,145,193,33.1,33.1,58,5.6,1.17,0.65,0.71,0.026,0.58,0.58,0.62,0.68,0.71,0.71,0.49,0.51,0.25,0.34,164,Boll formation,Sprinkler,Sugarcane,87527,56,Kharif,164
2953,MH043,27.32,81.18,FLD02953,13734,Sugarcane,Commercial,Year-round,Humid,199,46,197,7.0,0.6,Sandy Clay,27,7.7,2713,2293,715,1720,2127,26.2,26.2,85,6.4,1.17,0.64,0.69,0.018,0.6,0.59,0.61,0.65,0.67,0.69,0.5,0.5,0.31,0.32,150,Tuber bulking,Drip,Sugarcane,76052,0,Kharif,150
2954,RJ049,28.33,85.27,FLD02954,14085,Sugarcane,Commercial,Year-round,Plateau,283,28,188,5.8,0.56,Loam,36,9.7,703,543,211,336,485,30.7,30.7,74,6.2,1.17,0.64,0.7,0.026,0.57,0.61,0.62,0.67,0.67,0.7,0.47,0.5,0.31,0.32,165,Reproductive,Surface,Sugarcane,71097,0,Kharif,165
2955,AP044,16.21,87.84,FLD02955,7298,Sugarcane,Commercial,Year-round,Coastal,183,46,192,7.1,0.83,Sandy Clay,21,6.4,858,743,250,465,695,30.9,30.9,72,5.6,1.17,0.64,0.69,0.012,0.6,0.59,0.63,0.69,0.68,0.66,0.5,0.51,0.33,0.32,143,Flowering,Surface,Sugarcane,36942,0,Kharif,143
2956,UP016,17.27,87.77,FLD02956,18496,Sugarcane,Commercial,Year-round,Semi-Arid,187,35,203,6.6,0.75,Loam,31,16.0,591,540,180,371,482,29.2,29.2,58,5.7,1.17,0.64,0.71,0.024,0.56,0.59,0.63,0.68,0.71,0.68,0.49,0.49,0.35,0.33,141,Tillering,Drip,Sugarcane,90546,0,Kharif,141
2960,HR011,13.38,71.58,FLD02960,5082,Sugarcane,Commercial,Year-round,Coastal,295,29,233,6.8,0.81,Clay,32,9.2,966,732,294,521,679,29.4,29.4,74,6.5,1.17,0.65,0.69,0.014,0.61,0.61,0.6,0.68,0.69,0.68,0.52,0.52,0.25,0.3,145,Flowering,Surface,Sugarcane,29471,0,Kharif,145
2962,GJ040,16.84,76.88,FLD02962,8441,Sugarcane,Commercial,Year-round,Semi-Arid,253,32,222,5.9,0.57,Sandy Clay,23,15.8,801,694,276,536,637,29.4,29.4,55,6.5,1.17,0.64,0.68,0.018,0.59,0.57,0.64,0.65,0.68,0.68,0.51,0.48,0.33,0.3,140,Tuber development,Drip,Sugarcane,47691,0,Kharif,140
2964,KA021,12.67,78.09,FLD02964,5179,Sugarcane,Commercial,Year-round,Arid,235,33,204,7.8,0.64,Loam,38,22.5,469,362,135,219,309,35.7,35.7,50,5.7,1.17,0.64,0.68,0.014,0.61,0.61,0.6,0.65,0.68,0.68,0.54,0.53,0.27,0.29,152,Tillering,Drip,Sugarcane,27752,0,Kharif,152
2965,GJ046,13.22,75.73,FLD02965,6217,Sugarcane,Commercial,Year-round,Arid,285,44,224,6.6,0.81,Laterite,36,22.3,256,220,94,169,203,34.8,34.8,53,6.7,1.17,0.62,0.69,0.026,0.56,0.57,0.63,0.64,0.66,0.69,0.47,0.49,0.35,0.28,153,Grand growth,Drip,Sugarcane,40670,222,Kharif,153
2966,RJ003,28.76,70.19,FLD02966,9498,Sugarcane,Commercial,Year-round,Plateau,236,31,206,7.2,0.55,Loam,28,9.8,849,675,286,479,623,30.6,30.6,69,5.8,1.17,0.64,0.69,0.014,0.62,0.58,0.6,0.66,0.67,0.69,0.53,0.49,0.32,0.3,153,Tillering,Surface,Sugarcane,45622,0,Kharif,153
2968,TN022,19.66,72.08,FLD02968,6712,Sugarcane,Commercial,Year-round,Coastal,310,34,207,6.1,0.97,Sandy Clay,36,6.9,1582,1434,558,888,1266,30.0,30.0,72,6.9,1.17,0.63,0.67,0.01,0.62,0.59,0.62,0.64,0.66,0.67,0.54,0.5,0.25,0.31,160,Nut development,Drip,Sugarcane,37986,0,Kharif,160
2970,MP042,15.25,68.52,FLD02970,8552,Sugarcane,Commercial,Year-round,Coastal,262,31,180,7.7,0.6,Sandy Loam,34,11.5,1342,1168,462,709,1003,30.7,30.7,82,7.1,1.17,0.64,0.7,0.022,0.59,0.61,0.63,0.66,0.66,0.7,0.49,0.51,0.34,0.26,145,Mature,Surface,Sugarcane,45494,0,Kharif,145
2973,RJ049,14.96,70.65,FLD02973,19677,Sugarcane,Commercial,Year-round,Arid,277,51,215,5.9,0.92,Clay Loam,25,22.2,302,281,113,219,239,30.6,30.6,53,6.4,1.17,0.63,0.7,0.018,0.58,0.62,0.59,0.64,0.7,0.67,0.51,0.55,0.26,0.29,160,Fruiting,Drip,Sugarcane,152285,0,Kharif,160
2974,AP018,17.01,72.98,FLD02974,7455,Sugarcane,Commercial,Year-round,Plateau,314,40,194,7.0,0.95,Clay,34,11.3,749,608,212,372,517,31.0,31.0,70,7.0,1.17,0.63,0.68,0.02,0.58,0.59,0.63,0.64,0.68,0.68,0.5,0.49,0.3,0.33,143,Bulbing,Drip,Sugarcane,39561,0,Kharif,143
2976,GJ048,28.31,73.9,FLD02976,18018,Sugarcane,Commercial,Year-round,Sub-Humid,280,33,224,7.3,0.81,Clay Loam,31,11.9,958,848,353,591,804,28.3,28.3,70,5.9,1.17,0.63,0.69,0.022,0.57,0.59,0.63,0.64,0.69,0.68,0.47,0.49,0.32,0.34,152,Grand growth,Drip,Sugarcane,92471,0,Kharif,152
2979,TN024,26.14,80.91,FLD02979,16828,Sugarcane,Commercial,Year-round,Sub-Humid,294,44,237,6.3,0.87,Sandy,31,11.5,992,766,299,459,717,28.1,28.1,69,6.9,1.17,0.64,0.71,0.026,0.58,0.57,0.63,0.67,0.67,0.71,0.51,0.48,0.34,0.29,164,Grand growth,Sprinkler,Sugarcane,98340,0,Kharif,164
2980,UP049,29.26,88.67,FLD02980,19026,Sugarcane,Commercial,Year-round,Mountain,285,33,220,7.4,0.76,Sandy Clay,32,13.5,2251,1865,571,1152,1737,21.6,21.6,77,6.2,1.17,0.64,0.69,0.024,0.56,0.59,0.62,0.68,0.69,0.68,0.48,0.5,0.26,0.31,165,Flowering,Sprinkler,Sugarcane,108254,0,Kharif,165
2981,PB009,22.12,79.4,FLD02981,10301,Sugarcane,Commercial,Year-round,Semi-Arid,244,50,206,7.3,0.78,Sandy Clay,35,17.2,637,550,211,367,504,31.0,31.0,62,6.1,1.17,0.65,0.72,0.028,0.58,0.62,0.64,0.65,0.7,0.72,0.49,0.52,0.31,0.25,152,Fruiting,Sprinkler,Sugarcane,57900,0,Kharif,152
2982,TN018,20.54,77.2,FLD02982,10633,Sugarcane,Commercial,Year-round,Coastal,236,35,221,6.6,0.91,Clay,25,9.3,2288,1958,841,1554,1678,28.1,28.1,79,7.1,1.17,0.64,0.69,0.014,0.62,0.61,0.62,0.64,0.66,0.69,0.52,0.53,0.25,0.32,167,Mature,Drip,Sugarcane,54578,0,Kharif,167
2983,TN049,22.2,73.45,FLD02983,16078,Sugarcane,Commercial,Year-round,Humid,180,50,216,7.6,0.93,Loam,22,9.8,1679,1318,397,920,1172,25.7,25.7,81,6.6,1.17,0.64,0.72,0.03,0.57,0.6,0.61,0.64,0.68,0.72,0.49,0.5,0.26,0.25,149,Pod formation,Drip,Sugarcane,81455,0,Kharif,149
2986,AP035,19.05,71.12,FLD02986,13318,Sugarcane,Commercial,Year-round,Coastal,263,50,212,5.9,0.66,Sandy Loam,31,11.1,2246,1785,536,1217,1530,29.6,29.6,71,5.9,1.17,0.64,0.68,0.022,0.57,0.58,0.62,0.68,0.68,0.68,0.47,0.48,0.3,0.34,149,Flush,Drip,Sugarcane,73773,0,Kharif,149
2989,KA016,18.15,86.87,FLD02989,7388,Sugarcane,Commercial,Year-round,Coastal,311,46,190,7.6,0.53,Clay,25,9.8,2455,2213,728,1439,1895,30.8,30.8,76,6.9,1.17,0.65,0.7,0.018,0.6,0.61,0.62,0.68,0.7,0.69,0.51,0.54,0.29,0.25,153,Grand growth,Drip,Sugarcane,40685,0,Kharif,153
2990,MH002,17.29,82.96,FLD02990,12335,Sugarcane,Commercial,Year-round,Arid,315,52,230,6.8,0.91,Sandy Loam,25,17.8,424,397,169,276,348,34.8,34.8,48,6.2,1.17,0.64,0.71,0.024,0.58,0.6,0.59,0.69,0.71,0.7,0.48,0.51,0.3,0.28,156,Bearing,Drip,Sugarcane,70579,0,Kharif,156
2991,KA012,11.54,77.8,FLD02991,12846,Sugarcane,Commercial,Year-round,Humid,233,44,227,5.9,0.95,Sandy Clay,30,5.7,2903,2200,954,1588,2068,27.8,27.8,76,6.8,1.17,0.65,0.72,0.024,0.6,0.57,0.63,0.69,0.66,0.72,0.51,0.49,0.25,0.31,163,Grand growth,Drip,Sugarcane,71759,0,Kharif,163
2993,MH015,22.27,74.95,FLD02993,6807,Sugarcane,Commercial,Year-round,Humid,203,40,194,7.6,0.8,Sandy Clay,29,8.7,2226,1857,568,1447,1701,27.7,27.7,79,6.5,1.17,0.63,0.69,0.018,0.59,0.58,0.6,0.64,0.69,0.68,0.5,0.48,0.31,0.31,152,Boll formation,Drip,Sugarcane,37051,0,Kharif,152
2994,KA028,11.57,87.1,FLD02994,13343,Sugarcane,Commercial,Year-round,Semi-Arid,233,29,194,6.5,0.96,Loam,20,17.5,555,433,158,329,387,29.6,29.6,64,5.8,1.17,0.65,0.71,0.02,0.61,0.62,0.63,0.66,0.66,0.71,0.51,0.53,0.32,0.25,147,Vegetative,Drip,Sugarcane,64547,0,Kharif,147
2995,MH008,16.62,79.55,FLD02995,10561,Sugarcane,Commercial,Year-round,Sub-Humid,245,49,204,6.0,0.7,Laterite,38,9.1,1080,974,394,616,911,27.5,27.5,68,5.8,1.17,0.64,0.7,0.018,0.61,0.58,0.6,0.66,0.7,0.7,0.53,0.49,0.33,0.29,151,Grain filling,Surface,Sugarcane,52829,0,Kharif,151
